policy,bot,trades,wins,losses,trail_stops,timeouts,win_rate,net_r,avg_r,profit_factor,avg_final_rr
challenge20_current,LTA,1,0,1,0,0,0.0,-1.0,-1.0,0.0,1.3
challenge20_current,ORB,1,0,0,0,0,0.0,-0.38,-0.377,0.0,1.3
dynamic_aggressive,LTA,1,0,1,0,0,0.0,-1.0,-1.001,0.0,6.0
dynamic_aggressive,ORB,1,0,1,0,0,0.0,-1.0,-1.0,0.0,6.0
dynamic_balanced,LTA,1,0,1,0,0,0.0,-1.0,-1.001,0.0,4.0
dynamic_balanced,ORB,1,0,1,0,0,0.0,-1.0,-1.0,0.0,5.0
dynamic_capped,LTA,1,0,1,0,0,0.0,-1.0,-1.001,0.0,4.0
dynamic_capped,ORB,1,0,1,0,0,0.0,-1.0,-1.0,0.0,5.0
dynamic_conservative,LTA,1,0,1,0,0,0.0,-1.0,-1.001,0.0,3.0
dynamic_conservative,ORB,1,0,1,0,0,0.0,-1.0,-1.0,0.0,3.0
dynamic_score,LTA,1,0,1,0,0,0.0,-1.0,-1.001,0.0,6.0
dynamic_score,ORB,1,0,1,0,0,0.0,-1.0,-1.0,0.0,6.0
fixed_current,LTA,1,0,1,0,0,0.0,-1.0,-1.001,0.0,6.0
fixed_current,ORB,1,0,1,0,0,0.0,-1.0,-1.0,0.0,6.0
production_current,LTA,1,0,1,0,0,0.0,-1.0,-1.0,0.0,6.0
production_current,ORB,1,0,0,0,0,0.0,-0.38,-0.377,0.0,6.0
