slug,timeframe,lookback,fast,slow,rr,return_pct,profit_factor,win_rate,equity_dd_pct,trades,net_profit,commission,swap,score,report
symmetric-h4,,,,,,-11.235299999999999,0.98,34.97,47.17,1178,-1123.53,-1170.6400000000021,-2695.809999999993,-0.23342365910536356,Backtest Reports\Training\symmetric-h4.htm
buy-h4,,,,,,-18.474,0.97,34.74,49.59,1255,-1847.4,-1181.010000000004,-2581.7299999999955,-0.36135874168179066,Backtest Reports\Training\buy-h4.htm
symmetric-majority,,,,,,-27.1059,0.95,34.46,55.8,1242,-2710.59,-1086.760000000004,-2494.5699999999943,-0.461480376344086,Backtest Reports\Training\symmetric-majority.htm
buy-majority,,,,,,-30.089699999999997,0.94,34.29,55.19,1318,-3008.97,-1126.8600000000035,-2456.3999999999933,-0.512489907591955,Backtest Reports\Training\buy-majority.htm
baseline,,,,,,-32.7202,0.94,34.88,57.07,1207,-3272.02,-1210.6699999999998,-4284.039999999984,-0.5389344314000349,Backtest Reports\Training\baseline.htm
buy-all,,,,,,-31.046599999999998,0.95,33.84,52.26,1253,-3104.66,-1282.1700000000044,-1619.1099999999976,-0.5643756218905472,Backtest Reports\Training\buy-all.htm
symmetric-all,,,,,,-37.1663,0.89,33.33,55.25,747,-3716.63,-728.6600000000007,-1552.2199999999978,-0.5986969592760181,Backtest Reports\Training\symmetric-all.htm
buy-any,,,,,,-44.983999999999995,0.91,34.08,65.21,1297,-4498.4,-1162.7300000000018,-3484.059999999988,-0.6277478914276952,Backtest Reports\Training\buy-any.htm
symmetric-any,,,,,,-45.7729,0.91,34.06,65.84,1292,-4577.29,-1149.8300000000022,-3469.449999999989,-0.6326448815309842,Backtest Reports\Training\symmetric-any.htm
buy-h1,,,,,,-52.4357,0.9,33.66,71.97,1438,-5243.57,-1157.260000000004,-2683.4899999999916,-0.6557194664443519,Backtest Reports\Training\buy-h1.htm
symmetric-d1,,,,,,-38.4264,0.92,33.83,52.58,1076,-3842.64,-1070.3300000000017,-2334.329999999994,-0.6723523773297833,Backtest Reports\Training\symmetric-d1.htm
symmetric-h1,,,,,,-57.9175,0.88,33.31,74.85,1411,-5791.75,-1053.0299999999995,-2499.099999999993,-0.6809271877087508,Backtest Reports\Training\symmetric-h1.htm
buy-d1,,,,,,-42.1849,0.92,33.7,56.81,1169,-4218.49,-1144.99,-2244.9499999999953,-0.6831562753036436,Backtest Reports\Training\buy-d1.htm
