policy,trades,wins,losses,trail_stops,timeouts,win_rate,net_r,avg_r,profit_factor,avg_final_rr
dynamic_aggressive,234,9,105,111,9,3.85,9.23,0.039,1.08,5.03
dynamic_balanced,262,16,121,112,13,6.11,-3.82,-0.015,0.97,3.75
dynamic_capped,217,18,103,91,5,8.29,-3.34,-0.015,0.97,3.75
dynamic_conservative,246,47,110,82,7,19.11,9.28,0.038,1.08,2.64
dynamic_score,262,24,121,104,13,9.16,-5.32,-0.02,0.96,4.11
fixed_current,230,7,101,113,9,3.04,12.57,0.055,1.12,5.62
