policy,bot,trades,wins,losses,trail_stops,timeouts,win_rate,net_r,avg_r,profit_factor,avg_final_rr
dynamic_aggressive,LTA,185,6,81,90,8,3.24,9.53,0.052,1.11,5.26
dynamic_aggressive,ORB,49,3,24,21,1,6.12,-0.3,-0.006,0.99,4.16
dynamic_balanced,LTA,189,13,81,87,8,6.88,11.77,0.062,1.13,4.01
dynamic_balanced,ORB,73,3,40,25,5,4.11,-15.58,-0.213,0.64,3.08
dynamic_capped,LTA,161,11,73,75,2,6.83,2.34,0.015,1.03,3.97
dynamic_capped,ORB,56,7,30,16,3,12.5,-5.67,-0.101,0.82,3.11
dynamic_conservative,LTA,187,31,82,67,7,16.58,10.2,0.055,1.11,2.8
dynamic_conservative,ORB,59,16,28,15,0,27.12,-0.92,-0.016,0.97,2.14
dynamic_score,LTA,189,23,81,77,8,12.17,10.77,0.057,1.12,3.93
dynamic_score,ORB,73,1,40,27,5,1.37,-16.08,-0.22,0.62,4.58
fixed_current,LTA,185,2,81,94,8,1.08,8.03,0.043,1.09,6.0
fixed_current,ORB,45,5,20,19,1,11.11,4.55,0.101,1.21,4.07
