month,trades,wins,losses,win_rate_pct,profit_factor,net_r,return_pct,max_drawdown_pct
2026-01,0,0,0,0.0,0.0,0.0,0.0,0.0
2026-02,0,0,0,0.0,0.0,0.0,0.0,0.0
2026-03,0,0,0,0.0,0.0,0.0,0.0,0.0
2026-04,2,0,2,0.0,0.0,-2.0,-5.910000000000004,5.910000000000002
2026-05,2,1,1,50.0,1.278385502287558,0.3179231982345958,0.8351565068626776,3.0
2026-06,1,1,0,100.0,inf,2.0,6.000000000000005,0.0
2026-07,6,4,2,66.66666666666666,3.7479012586819187,6.0,18.786457166399995,3.0000000000000075
