symbol,session_date,phase,side,signal_time,entry_time,exit_time,entry,initial_stop,final_stop,target,exit_price,initial_risk,pnl_r,mae_r,exit_reason,stop_locked,asia_high,asia_low,asia_range,liquidity_level
XAUUSD..,2026-04-01,london_v2_reversal,sell,2026-04-01T10:55:00+00:00,2026-04-01T11:19:00+00:00,2026-04-01T11:25:00+00:00,4727.6,4734.5905,4734.5905,4713.619000000001,4734.5905,6.990499999999884,-1.0,1.1887561690865645,stop,False,4724.03,4661.68,62.349999999999454,4724.03
XAUUSD..,2026-04-21,london_v2_reversal,buy,2026-04-21T08:40:00+00:00,2026-04-21T08:49:00+00:00,2026-04-21T08:52:00+00:00,4790.860000000001,4784.518,4784.518,4803.544000000002,4784.518,6.342000000000553,-1.0,1.1620939766635379,stop,False,4832.98,4788.58,44.399999999999636,4788.58
XAUUSD..,2026-05-05,london_v2_reversal,sell,2026-05-05T09:25:00+00:00,2026-05-05T09:30:00+00:00,2026-05-05T10:02:00+00:00,4540.955,4552.5997,4552.5997,4517.6656,4552.5997,11.64469999999983,-1.0,1.0987831373929995,stop,False,4546.58,4513.59,32.98999999999978,4546.58
XAUUSD..,2026-05-14,london_v2_reversal,sell,2026-05-14T11:00:00+00:00,2026-05-14T11:25:00+00:00,2026-05-14T20:59:00+00:00,4702.09,4720.034900000001,4720.034900000001,4666.200199999999,4678.44,17.944900000000416,1.3179231982345958,0.4569543435739195,force_exit,False,4712.64,4668.81,43.82999999999993,4712.64
XAUUSD..,2026-06-09,london_v2_reversal,sell,2026-06-09T09:35:00+00:00,2026-06-09T09:49:00+00:00,2026-06-09T10:00:00+00:00,4340.09,4345.5751,4345.5751,4329.1198,4329.1198,5.485099999999875,2.0,0.0674554702739967,target,False,4342.12,4312.95,29.170000000000073,4342.12
XAUUSD..,2026-07-01,london_v2_reversal,buy,2026-07-01T11:20:00+00:00,2026-07-01T11:37:00+00:00,2026-07-01T13:02:00+00:00,3973.5550000000003,3966.9308,3966.9308,3986.8034000000007,3986.8034000000007,6.624200000000201,2.0,0.3358896168594391,target,False,4018.78,3970.14,48.64000000000033,3970.14
XAUUSD..,2026-07-02,london_v2_reversal,sell,2026-07-02T09:45:00+00:00,2026-07-02T09:49:00+00:00,2026-07-02T10:19:00+00:00,4073.215,4077.4111000000003,4077.4111000000003,4064.8228,4064.8228,4.196100000000115,2.0,0.8257667834416711,target,False,4074.1,4030.73,43.36999999999989,4074.1
XAUUSD..,2026-07-06,london_v2_reversal,buy,2026-07-06T10:45:00+00:00,2026-07-06T11:11:00+00:00,2026-07-06T11:16:00+00:00,4158.15,4154.3550000000005,4154.3550000000005,4165.739999999998,4154.3550000000005,3.7949999999991633,-1.0,1.090909090909178,stop,False,4203.0,4157.5,45.5,4157.5
XAUUSD..,2026-07-13,london_v2_reversal,buy,2026-07-13T09:30:00+00:00,2026-07-13T09:53:00+00:00,2026-07-13T11:23:00+00:00,4054.6549999999997,4042.1634000000004,4042.1634000000004,4079.6381999999985,4079.6381999999985,12.49159999999938,2.0,0.46151013481060543,target,False,4103.5,4050.28,53.2199999999998,4050.28
XAUUSD..,2026-07-14,london_v2_reversal,sell,2026-07-14T11:10:00+00:00,2026-07-14T11:16:00+00:00,2026-07-14T14:24:00+00:00,4020.12,4026.8831,4026.8831,4006.5937999999996,4026.8831,6.763100000000122,-1.0,1.2154189646759779,stop,False,4023.3,3983.53,39.76999999999998,4023.3
XAUUSD..,2026-07-16,london_v2_reversal,buy,2026-07-16T10:50:00+00:00,2026-07-16T11:14:00+00:00,2026-07-16T11:26:00+00:00,4025.7200000000003,4021.9581,4021.9581,4033.243800000001,4033.243800000001,3.7619000000004235,2.0,0.13822802307354742,target,False,4067.0,4024.27,42.73000000000002,4024.27
