name,sample,trades,win_rate,pf,net_r,return,dd,positive_folds
London only,2024-07-30_to_2026-07-30,35,45.714285714285715,1.6996005942329744,13.279102246012132,43.818035341731964,11.938596133580479,4
New York only,2024-07-30_to_2026-07-30,25,36.0,0.9535876264682085,0.0,-2.0141747812925437,19.48803382561173,3
"London + New York, max 1/day",2024-07-30_to_2026-07-30,55,43.63636363636363,1.5365338090825844,15.279102246012132,50.17021545857876,19.295815512128446,3
"London + New York, max 2/day",2024-07-30_to_2026-07-30,60,41.66666666666667,1.394110273355462,13.279102246012132,41.16799008482417,21.7169410467646,3
