date,side,asia_open,asia_high,asia_low,london_open,ny_open,or_high,or_low,or_range,trend_points,london_agrees,proximity_points,entry,initial_stop,target,exit,exit_time_utc,exit_reason,result_r
2019-08-06,LONG,7345.45,7446.55,7217.39,7423.03,7482.76,7519.97,7482.76,37.210000000000036,137.3100000000004,True,73.42000000000007,7513.219999999999,7473.219999999999,7673.219999999999,7473.219999999999,2019-08-06T14:15:00+00:00,stop,-1.0
2019-08-08,LONG,7542.36,7603.05,7518.84,7596.47,7593.92,7609.01,7576.52,32.48999999999978,51.5600000000004,False,5.960000000000036,7591.52,7551.52,7751.52,7724.89,2019-08-08T19:59:00+00:00,time,3.3342499999999973
2019-08-19,LONG,7616.2,7682.94,7613.12,7681.84,7708.83,7734.62,7708.83,25.789999999999964,92.63000000000011,True,51.68000000000029,7730.509999999999,7690.509999999999,7890.509999999999,7690.509999999999,2019-08-19T14:12:00+00:00,stop,-1.0
2019-08-21,LONG,7644.31,7694.06,7642.03,7689.02,7732.84,7755.6,7721.4,34.20000000000073,88.52999999999975,True,61.539999999999964,7753.400000000001,7713.400000000001,7913.400000000001,7713.400000000001,2019-08-21T18:00:00+00:00,stop,-1.0
2019-08-26,LONG,7406.29,7517.41,7348.63,7506.42,7548.32,7557.88,7527.63,30.25,142.02999999999975,True,40.470000000000255,7532.96,7492.96,7692.96,7576.6,2019-08-26T19:59:00+00:00,time,1.0910000000000082
2019-08-29,LONG,7575.6,7584.22,7540.78,7568.82,7678.7,7708.62,7676.15,32.470000000000255,103.09999999999945,True,124.39999999999964,7703.86,7663.86,7863.86,7663.86,2019-08-29T14:37:00+00:00,stop,-1.0
2019-09-04,LONG,7606.57,7707.33,7603.63,7703.34,7680.94,7692.01,7675.19,16.82000000000062,74.36999999999989,False,15.319999999999709,7689.02,7649.02,7849.02,7719.09,2019-09-04T19:59:00+00:00,time,0.7517499999999927
2019-09-05,LONG,7717.66,7833.1,7711.62,7789.86,7798.73,7824.72,7798.73,25.99000000000069,81.06999999999971,True,8.38000000000011,7826.18,7786.18,7986.18,7860.77,2019-09-05T19:59:00+00:00,time,0.8647500000000037
2019-10-09,LONG,7609.8,7634.69,7592.32,7605.98,7669.17,7682.33,7656.11,26.220000000000255,59.36999999999989,True,47.64000000000033,7672.56,7632.56,7832.56,7686.18,2019-10-09T19:59:00+00:00,time,0.34049999999999725
2019-10-11,LONG,7774.91,7798.59,7754.49,7789.72,7830.14,7853.14,7829.0,24.140000000000327,55.23000000000047,True,54.55000000000018,7855.07,7815.07,8015.07,7855.07,2019-10-11T16:32:00+00:00,stop,0.0
2019-11-04,LONG,8162.87,8187.3,8160.22,8184.88,8213.89,8227.71,8208.65,19.05999999999949,51.01999999999953,True,40.409999999998945,8219.3,8179.299999999999,8379.3,8208.32,2019-11-04T20:59:00+00:00,time,-0.2744999999999891
2019-12-06,LONG,8308.02,8341.5,8304.86,8332.14,8368.44,8381.38,8365.12,16.2599999999984,60.42000000000007,True,39.8799999999992,8382.78,8342.78,8542.78,8396.02,2019-12-06T20:59:00+00:00,time,0.3309999999999945
2019-12-27,LONG,8747.08,8811.41,8747.08,8802.39,8808.29,8809.6,8791.17,18.43000000000029,61.210000000000946,True,1.8099999999994907,8797.19,8757.19,8957.19,8757.19,2019-12-27T20:48:00+00:00,stop,-1.0
2020-01-09,LONG,8931.5,8971.87,8916.32,8968.91,8985.07,9004.48,8981.81,22.670000000000073,53.56999999999971,True,32.60999999999876,8993.019999999999,8953.019999999999,9153.019999999999,8953.019999999999,2020-01-09T17:33:00+00:00,stop,-1.0
2020-01-28,LONG,8947.28,9031.73,8945.27,9024.67,9016.05,9030.66,8993.52,37.13999999999942,68.76999999999862,False,1.069999999999709,9008.78,8968.78,9168.78,9090.16,2020-01-28T20:59:00+00:00,time,2.03449999999998
2020-02-04,LONG,9092.98,9191.01,9067.84,9180.39,9253.47,9262.88,9221.74,41.13999999999942,160.48999999999978,True,71.86999999999898,9248.55,9207.41,9413.109999999997,9334.36,2020-02-04T20:59:00+00:00,time,2.0858045697618506
