proximity_threshold,minimum_trend,require_london_agreement,direction_mode,maximum_opening_range,stop_range_multiple,minimum_stop_points,reward_risk,trailing_mode,exit_minute,outcome_index,robust_lcb_score,train_trades,train_pf,train_mean_r,train_win_rate,validation_trades,validation_pf,validation_mean_r,validation_win_rate,positive_preholdout_years,tested_preholdout_years,preholdout_return_pct,preholdout_pf,preholdout_dd_pct,stability_score,yearly_returns_json
200.0,50.0,False,long,400.0,1.0,40.0,4.0,be_1r,960,290,-0.007707871496677399,274,1.2009340524673462,0.09765743464231491,32.846715328467155,83,1.4923774003982544,0.25152552127838135,33.734939759036145,4,5,55.28086693682215,1.2713176316863273,11.108931216271348,0.010074266070779908,"{""2020"": 12.905827212001775, ""2021"": 8.86232734120098, ""2022"": 8.840020204548882, ""2023"": -6.010363517771533, ""2024"": 21.846482320336147}"
200.0,50.0,False,long,400.0,1.0,40.0,3.0,be_1r,960,275,-0.01162245124578476,274,1.1859016418457031,0.09035137295722961,33.21167883211679,83,1.4798351526260376,0.24511845409870148,34.93975903614458,4,5,51.77548801335381,1.2568864993925688,11.108931216271314,0.006159686321672613,"{""2020"": 10.612936539369343, ""2021"": 8.451526557902312, ""2022"": 8.713319081494863, ""2023"": -5.043441656512481, ""2024"": 21.31569670651632}"
200.0,50.0,False,long,400.0,1.0,20.0,4.0,be_1r,960,215,-0.011761069297790527,274,1.193924069404602,0.09688717126846313,31.386861313868614,83,1.4634122848510742,0.24106164276599884,32.53012048192771,4,5,53.367660514800285,1.2585398801792667,11.108931216271325,0.0060210682696668245,"{""2020"": 13.627591666463612, ""2021"": 7.658832450740327, ""2022"": 9.532242652370314, ""2023"": -6.010363517771533, ""2024"": 20.787102815134205}"
200.0,50.0,False,long,200.0,1.0,40.0,4.0,be_1r,960,290,-0.014433108270168304,272,1.186608076095581,0.0913616493344307,32.720588235294116,82,1.4815126657485962,0.24897508323192596,32.926829268292686,4,5,51.67521935864323,1.257827559519106,11.108931216271294,0.0033490292972891064,"{""2020"": 10.792170807216973, ""2021"": 8.86232734120098, ""2022"": 8.840020204548882, ""2023"": -6.010363517771533, ""2024"": 21.287757257408835}"
200.0,50.0,False,long,200.0,1.0,40.0,3.0,be_1r,960,275,-0.01836208999156952,272,1.1715755462646484,0.08400186151266098,33.088235294117645,82,1.4689704179763794,0.24248988926410675,34.146341463414636,4,5,48.251235917279736,1.2433964272253477,11.108931216271364,-0.000579952424112247,"{""2020"": 8.542204252633656, ""2021"": 8.451526557902312, ""2022"": 8.713319081494863, ""2023"": -5.043441656512481, ""2024"": 20.759405552388266}"
200.0,50.0,False,long,200.0,1.0,20.0,4.0,be_1r,960,215,-0.018526598811149597,272,1.1799880266189575,0.09058572351932526,31.25,82,1.4527428150177002,0.23838359117507935,31.70731707317073,4,5,49.80643790821131,1.2453870416510884,11.108931216271355,-0.0007444612436923077,"{""2020"": 11.500423451884846, ""2021"": 7.658832450740327, ""2022"": 9.532242652370314, ""2023"": -6.010363517771533, ""2024"": 20.233235519697867}"
200.0,0.0,True,long,100.0,1.0,40.0,4.0,be_1r,960,290,-0.033188000321388245,412,1.2041558027267456,0.09561682492494583,35.43689320388349,94,1.34218430519104,0.18165643513202667,29.78723404255319,5,5,67.63452817043334,1.2325175401167487,11.82630903498244,-0.006840618391353123,"{""2020"": 8.035259372705173, ""2021"": 24.10352203026558, ""2022"": 6.839184213435456, ""2023"": 7.748632927542398, ""2024"": 17.17698989958045}"
200.0,50.0,False,long,400.0,1.0,20.0,3.0,be_1r,960,200,-0.026194773614406586,274,1.1534101963043213,0.07664588838815689,31.751824817518248,83,1.451095461845398,0.23465457558631897,33.734939759036145,4,5,44.85683360600574,1.2247868489586176,12.368572039450129,-0.010931917693306842,"{""2020"": 8.263962597973418, ""2021"": 7.252573152597797, ""2022"": 9.404735710267587, ""2023"": -5.043441656512481, ""2024"": 20.260932052643852}"
150.0,0.0,True,long,100.0,0.75,40.0,4.0,none,960,137,-0.026608452200889587,400,1.141619324684143,0.08743405342102051,36.0,84,1.3679091930389404,0.24095742404460907,32.142857142857146,4,5,62.50496366444316,1.1828460605848186,13.488963120559719,-0.013586378442009023,"{""2020"": -4.394871933903255, ""2021"": 26.158561713433805, ""2022"": 10.44532785012484, ""2023"": 11.024868556163803, ""2024"": 20.592501701067988}"
200.0,0.0,True,long,100.0,1.0,40.0,3.0,be_1r,960,275,-0.04411150515079498,412,1.1884044408798218,0.08823951333761215,35.67961165048544,94,1.2966561317443848,0.157486692070961,30.851063829787233,5,5,59.54133704311471,1.2106475326990738,10.849074905009811,-0.0158096549608146,"{""2020"": 2.9585158760375707, ""2021"": 23.835409310489442, ""2022"": 7.178462404105734, ""2023"": 9.805993785331847, ""2024"": 14.71054928472011}"
