case,group,stage,report,from,to,model,minimum_reward_risk,stop_buffer_atr,maximum_holding_bars,maximum_trades_per_day,dynamic,dynamic_trigger,dynamic_lock,session,safe_filter,allow_long,allow_short,risk_percent,initial_balance,final_balance,net_profit,return_pct,profit_factor,win_rate_pct,max_drawdown_pct,trades,sharpe_ratio,recovery_factor,history_quality,analysed_sharpe,analysed_recovery
current-dynamic5020,baseline,Locked,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\04 Engineered Liquidity XAU\Backtest Reports\Locked\engineered-xau-locked-current-dynamic5020.htm,2025.09.01,2026.09.01,0,2.00,0.08,24,2,true,0.50,0.20,0,false,true,true,1.00,10000.0,13029.92,3029.92,30.3,1.53,42.5,10.09,80,5.76,2.29,99%,1.47,2.86
current-native,baseline,Locked,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\04 Engineered Liquidity XAU\Backtest Reports\Locked\engineered-xau-locked-current-native.htm,2025.09.01,2026.09.01,0,2.00,0.08,24,2,false,0.50,0.20,0,false,true,true,1.00,10000.0,12297.01,2297.01,22.97,1.37,35.0,13.21,80,3.91,1.3,99%,1.1,1.67
safe-on,safe-filter,Locked,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\04 Engineered Liquidity XAU\Backtest Reports\Locked\engineered-xau-locked-safe-on.htm,2025.09.01,2026.09.01,0,2.00,0.08,24,2,true,0.50,0.20,0,true,true,true,1.00,10000.0,11980.84,1980.84,19.81,1.37,39.73,12.82,73,4.47,1.14,99%,1.02,1.42
combo-rr25-stop000-dyn6020,combined-finalist,Locked,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\04 Engineered Liquidity XAU\Backtest Reports\Locked\engineered-xau-locked-combo-rr25-stop000-dyn6020.htm,2025.09.01,2026.09.01,0,2.50,0.00,24,2,true,0.60,0.20,0,false,true,true,1.00,10000.0,12371.17,2371.17,23.71,1.49,38.81,8.76,67,5.28,2.14,99%,1.3,2.96
combo-rr25-stop000-dyn6020-long,combined-finalist,Locked,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\04 Engineered Liquidity XAU\Backtest Reports\Locked\engineered-xau-locked-combo-rr25-stop000-dyn6020-long.htm,2025.09.01,2026.09.01,0,2.50,0.00,24,2,true,0.60,0.20,0,false,true,false,1.00,10000.0,11952.68,1952.68,19.53,1.8,41.03,8.68,39,8.35,1.91,99%,1.44,3.19
combo-rr25-stop000-dyn6020-long-safe,combined-finalist,Locked,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\04 Engineered Liquidity XAU\Backtest Reports\Locked\engineered-xau-locked-combo-rr25-stop000-dyn6020-long-safe.htm,2025.09.01,2026.09.01,0,2.50,0.00,24,2,true,0.60,0.20,0,true,true,false,1.00,10000.0,11952.68,1952.68,19.53,1.8,41.03,8.68,39,8.35,1.91,99%,1.44,3.19
combo-rr25-stop003-dyn6020,combined-finalist,Locked,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\04 Engineered Liquidity XAU\Backtest Reports\Locked\engineered-xau-locked-combo-rr25-stop003-dyn6020.htm,2025.09.01,2026.09.01,0,2.50,0.03,24,2,true,0.60,0.20,0,false,true,true,1.00,10000.0,12962.94,2962.94,29.63,1.57,39.44,8.83,71,6.02,2.52,99%,1.48,3.8
combo-rr25-stop003-dyn6020-long,combined-finalist,Locked,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\04 Engineered Liquidity XAU\Backtest Reports\Locked\engineered-xau-locked-combo-rr25-stop003-dyn6020-long.htm,2025.09.01,2026.09.01,0,2.50,0.03,24,2,true,0.60,0.20,0,false,true,false,1.00,10000.0,12400.25,2400.25,24.0,1.92,41.46,7.46,41,9.75,2.76,99%,1.55,4.57
combo-rr25-stop003-dyn6020-long-safe,combined-finalist,Locked,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\04 Engineered Liquidity XAU\Backtest Reports\Locked\engineered-xau-locked-combo-rr25-stop003-dyn6020-long-safe.htm,2025.09.01,2026.09.01,0,2.50,0.03,24,2,true,0.60,0.20,0,true,true,false,1.00,10000.0,12400.25,2400.25,24.0,1.92,41.46,7.46,41,9.75,2.76,99%,1.55,4.57
