policy,bot,symbol,timeframe,month,opened_at,closed_at,direction,entry,stop_loss,final_rr,exit_price,result,r_multiple,setup_score,atr,atr_percentile,session_metric,stop_mode,rr_mode,entry_model
fixed_current,LTA,AUDUSD,M15,2026-05,2026-05-20 00:00:00,2026-05-20 08:30:00,SELL,0.70968,0.71129,6.0,0.71129,loss,-1.0,90,0.000246,0.0729,,structure,static,Entry Model 3 - Confirmation of Internal Structure
fixed_current,LTA,AUDUSD,M15,2026-05,2026-05-21 01:30:00,2026-05-21 08:15:00,SELL,0.71346,0.71571,6.0,0.71346,trail_stop,0.5,94,0.000454,0.25,,structure,static,Entry Model 3 - Confirmation of Internal Structure
fixed_current,LTA,AUDUSD,M15,2026-06,2026-06-01 03:00:00,2026-06-01 05:00:00,SELL,0.71812,0.71875,6.0,0.71875,loss,-1.0,97,0.000359,0.2292,,structure,static,Entry Model 1 - Double Wick Confirmation
fixed_current,LTA,AUDUSD,M15,2026-06,2026-06-01 06:00:00,2026-06-01 08:15:00,SELL,0.71861,0.71905,6.0,0.71817,trail_stop,1.0,95,0.00035,0.1979,,structure,static,Entry Model 1 - Double Wick Confirmation
fixed_current,LTA,AUDUSD,M15,2026-06,2026-06-03 06:00:00,2026-06-03 10:00:00,SELL,0.71601,0.71735,6.0,0.71735,loss,-1.0,90,0.000386,0.6354,,structure,static,Entry Model 1 - Double Wick Confirmation
fixed_current,LTA,AUDUSD,M15,2026-06,2026-06-05 05:15:00,2026-06-05 06:30:00,SELL,0.71242,0.71305,6.0,0.71242,trail_stop,0.5,95,0.000399,0.4167,,structure,static,Entry Model 1 - Double Wick Confirmation + Entry Model 3 - Confirmation of Internal Structure
fixed_current,LTA,AUDUSD,M15,2026-06,2026-06-09 00:45:00,2026-06-09 03:15:00,BUY,0.70428,0.70335,6.0,0.70428,trail_stop,0.5,91,0.000293,0.1354,,structure,static,Entry Model 1 - Double Wick Confirmation
fixed_current,LTA,AUDUSD,M15,2026-06,2026-06-10 05:15:00,2026-06-10 09:00:00,BUY,0.70172,0.70079,6.0,0.70079,loss,-1.0,96,0.000516,0.4062,,structure,static,Entry Model 1 - Double Wick Confirmation
fixed_current,LTA,AUDUSD,M15,2026-06,2026-06-12 06:00:00,2026-06-12 07:00:00,BUY,0.70371,0.70244,6.0,0.70244,loss,-1.0,97,0.000563,0.5417,,structure,static,Entry Model 1 - Double Wick Confirmation + Entry Model 3 - Confirmation of Internal Structure
fixed_current,LTA,AUDUSD,M15,2026-06,2026-06-16 00:00:00,2026-06-16 03:30:00,SELL,0.70689,0.70747,6.0,0.70631,trail_stop,1.0,98,0.000211,0.0938,,structure,static,Entry Model 3 - Confirmation of Internal Structure
fixed_current,LTA,AUDUSD,M15,2026-06,2026-06-17 00:45:00,2026-06-17 01:00:00,SELL,0.70684,0.70704,6.0,0.70704,loss,-1.0,92,0.000229,0.1667,,structure,static,Entry Model 1 - Double Wick Confirmation
fixed_current,LTA,AUDUSD,M30,2026-05,2026-05-20 01:30:00,2026-05-20 14:00:00,BUY,0.71008,0.70858,6.0,0.71158,trail_stop,1.0,92,0.000591,0.0833,,structure,static,Entry Model 2 - Internal Swing Confirmation
fixed_current,LTA,AUDUSD,M30,2026-05,2026-05-27 01:30:00,2026-05-28 12:30:00,SELL,0.71558,0.71798,6.0,0.71318,trail_stop,1.0,91,0.000458,0.3542,,structure,static,Entry Model 3 - Confirmation of Internal Structure
fixed_current,LTA,AUDUSD,M30,2026-05,2026-05-29 06:00:00,2026-05-29 08:00:00,SELL,0.71604,0.71677,6.0,0.71604,trail_stop,0.5,96,0.000534,0.2917,,structure,static,Entry Model 1 - Double Wick Confirmation + Entry Model 3 - Confirmation of Internal Structure
