policy,trades,wins,losses,trail_stops,timeouts,win_rate,net_r,avg_r,profit_factor,avg_final_rr
dynamic_aggressive,159,4,65,90,0,2.52,36.0,0.226,1.55,5.6
dynamic_balanced,159,7,64,87,1,4.4,34.42,0.216,1.54,4.31
dynamic_capped,159,7,67,85,0,4.4,30.0,0.189,1.45,4.31
dynamic_conservative,159,25,65,69,0,15.72,34.5,0.217,1.53,2.87
dynamic_score,159,5,64,89,1,3.14,33.92,0.213,1.53,5.05
fixed_current,159,19,65,75,0,11.95,47.5,0.299,1.73,4.89
