policy,bot,trades,wins,losses,trail_stops,timeouts,win_rate,net_r,avg_r,profit_factor,avg_final_rr
dynamic_aggressive,LTA,64,2,28,34,0,3.12,6.0,0.094,1.21,5.53
dynamic_aggressive,ORB,95,2,37,56,0,2.11,30.0,0.316,1.81,5.64
dynamic_balanced,LTA,64,2,28,34,0,3.12,5.0,0.078,1.18,4.38
dynamic_balanced,ORB,95,5,36,53,1,5.26,29.42,0.31,1.82,4.26
dynamic_capped,LTA,64,2,30,32,0,3.12,2.0,0.031,1.07,4.38
dynamic_capped,ORB,95,5,37,53,0,5.26,28.0,0.295,1.76,4.26
dynamic_conservative,LTA,64,7,28,29,0,10.94,5.0,0.078,1.18,2.97
dynamic_conservative,ORB,95,18,37,40,0,18.95,29.5,0.311,1.8,2.8
dynamic_score,LTA,64,3,28,33,0,4.69,5.0,0.078,1.18,4.3
dynamic_score,ORB,95,2,36,56,1,2.11,28.92,0.304,1.8,5.56
fixed_current,LTA,64,2,28,34,0,3.12,7.0,0.109,1.25,6.0
fixed_current,ORB,95,17,37,41,0,17.89,40.5,0.426,2.09,4.14
