event_time,kind,score,symbol,timeframe,direction,reasons
2026-06-30 03:45:00,MARKET,93,XAUUSD,M15,BUY,"same_direction_position,same_direction_pending"
2026-06-30 07:15:00,MARKET,91,BTCUSD,M15,SELL,"daily_cap,two_loss_stop"
2026-06-30 08:00:00,MARKET,91,BTCUSD,M15,SELL,"daily_cap,two_loss_stop"
2026-06-30 11:45:00,PENDING,89,ETHUSD,M15,BUY,"daily_cap,two_loss_stop"
2026-06-30 13:00:00,PENDING,89,BTCUSD,H1,BUY,daily_cap
2026-06-30 14:15:00,PENDING,89,XAUUSD,M15,SELL,daily_cap
2026-06-30 16:15:00,PENDING,89,ETHUSD,M15,BUY,daily_cap
2026-06-30 18:30:00,MARKET,98,BTCUSD,M30,BUY,daily_cap
2026-07-01 01:45:00,PENDING,89,XAUUSD,M15,BUY,same_direction_pending
2026-07-01 03:30:00,PENDING,89,USDCAD,M15,BUY,daily_cap
2026-07-01 04:00:00,PENDING,89,XAGUSD,M15,BUY,"daily_cap,same_direction_pending"
2026-07-01 04:00:00,PENDING,89,XAUUSD,M15,BUY,daily_cap
2026-07-01 05:30:00,MARKET,95,XAGUSD,M15,BUY,daily_cap
2026-07-01 05:30:00,MARKET,93,XAUUSD,M15,BUY,daily_cap
2026-07-01 07:00:00,MARKET,98,XAUUSD,M15,SELL,daily_cap
2026-07-01 07:00:00,PENDING,89,XAUUSD,M30,BUY,daily_cap
2026-07-01 07:45:00,MARKET,100,XAUUSD,M15,BUY,daily_cap
2026-07-01 11:30:00,MARKET,100,XAUUSD,M15,BUY,daily_cap
2026-07-01 12:15:00,PENDING,89,XAUUSD,M15,SELL,daily_cap
2026-07-01 12:30:00,MARKET,100,EURUSD,M15,SELL,daily_cap
2026-07-01 12:30:00,MARKET,98,USDCHF,M30,BUY,daily_cap
2026-07-01 14:00:00,PENDING,89,USDJPY,M15,BUY,daily_cap
2026-07-01 14:30:00,PENDING,89,XAUUSD,M30,SELL,daily_cap
2026-07-01 15:30:00,PENDING,88,ETHUSD,M30,SELL,daily_cap
2026-07-01 16:00:00,PENDING,89,ETHUSD,H1,SELL,daily_cap
2026-07-01 16:15:00,PENDING,89,USDJPY,M15,BUY,daily_cap
2026-07-01 17:00:00,MARKET,94,USDJPY,M15,BUY,daily_cap
2026-07-01 17:45:00,MARKET,91,ETHUSD,M15,BUY,daily_cap
