session,buffer_pips,minimum_asia_range_pips,maximum_asia_range_pips,stop_mode,stop_value,reward_risk,management,score,train_pf,train_return,train_trades,validation_pf,validation_return,validation_trades
new_york_0800,0.0,15.0,40.0,asia_fraction,1.0,2.0,be_1r,0.022264925139178073,1.1325208290693989,22.00835722081045,400,1.1184825576817166,5.239093384633531,132
new_york_0800,2.0,15.0,40.0,asia_fraction,1.0,2.0,be_1r,0.019954872314941623,1.184319490892276,32.20298328823041,397,1.1086145603251865,4.732586815154294,132
new_york_0800,0.0,15.0,40.0,asia_fraction,1.0,1.5,be_1r,0.0037977580751839962,1.0673808690546989,9.780319063796128,400,1.0773471656922682,3.252293313868293,132
new_york_0800,2.0,15.0,40.0,asia_fraction,1.0,1.5,be_1r,-0.0010312038187307512,1.1157037221955663,18.556485488026887,397,1.0619157316832786,2.4874920961535762,132
new_york_0800,0.0,15.0,40.0,asia_fraction,1.0,2.0,none,-0.0036953928154605624,1.0885293636863786,14.943848693177575,400,1.0505249364948432,2.0513179267428905,132
new_york_0800,2.0,15.0,40.0,asia_fraction,1.0,2.0,none,-0.0048220099453527565,1.127589343820426,23.026353260754195,397,1.0481997775663638,1.9103858711507105,132
new_york_0800,2.0,15.0,40.0,asia_fraction,1.0,2.0,trail_1_5r,-0.010117737974961813,1.1300747887076446,22.968684926363835,397,1.033965352930881,1.1564554328175047,132
new_york_0800,0.0,15.0,40.0,asia_fraction,1.0,2.0,trail_1_5r,-0.010844264241610146,1.0772491385439749,12.387946891227731,400,1.0304909331996157,0.9770745232317024,132
new_york_0800,0.0,15.0,40.0,asia_fraction,1.0,3.0,trail_1_5r,-0.011013804343291678,1.050011724765379,6.973975387481501,400,1.0254769282119653,0.6782843237257197,132
new_york_0800,2.0,15.0,40.0,asia_fraction,1.0,3.0,trail_1_5r,-0.015014644446107495,1.0964894835190275,15.886453667476363,397,1.0195797618822284,0.3689845128658664,132
new_york_0800,0.0,15.0,40.0,asia_fraction,1.0,3.0,be_1r,-0.01698363630506907,1.1224967119403004,19.67120981494086,400,1.015507213626943,0.09831099030706003,132
new_york_0800,2.0,15.0,40.0,asia_fraction,1.0,3.0,be_1r,-500.0001301416108,1.1645991230372856,27.713088183079005,397,0.9996454740233918,-0.6516568024005798,132
london_0800,5.0,15.0,40.0,fixed_pips,50.0,3.0,be_1r,-500.0059295392954,0.9666950803701907,-2.5942939825539746,369,0.9741085271317479,-0.3863078269445541,108
london_0800,5.0,15.0,40.0,fixed_pips,50.0,2.0,be_1r,-500.0063360433604,0.9644118363370696,-2.73679434474261,369,0.9741085271317479,-0.3863078269445541,108
london_0800,5.0,15.0,40.0,fixed_pips,50.0,3.0,trail_1_5r,-500.006379403794,0.9642586013179075,-2.7559874545429963,369,0.9741085271317479,-0.3863078269445541,108
london_0800,5.0,15.0,40.0,fixed_pips,50.0,3.0,none,-500.006379403794,0.9642586013179075,-2.7559874545429963,369,0.9741085271317479,-0.3863078269445541,108
london_0800,5.0,15.0,40.0,fixed_pips,50.0,2.0,trail_1_5r,-500.00678590785907,0.9619811120221085,-2.898251266130414,369,0.9741085271317479,-0.3863078269445541,108
london_0800,5.0,15.0,40.0,fixed_pips,50.0,2.0,none,-500.00678590785907,0.9619811120221085,-2.898251266130414,369,0.9741085271317479,-0.3863078269445541,108
new_york_0800,0.0,15.0,40.0,asia_fraction,1.0,1.5,none,-500.0084142028645,1.0362338594789275,4.58736006936562,400,0.9792953353651724,-1.676197982296923,132
new_york_0800,0.0,15.0,40.0,asia_fraction,1.0,1.5,trail_1_5r,-500.0084142028645,1.0362338594789275,4.58736006936562,400,0.9792953353651724,-1.676197982296923,132
new_york_0800,0.0,15.0,40.0,fixed_pips,30.0,1.5,be_1r,-500.0095202020202,1.1926597149492224,30.284466283911616,400,0.9672629385202849,-1.6010232316122752,132
london_0800,5.0,15.0,40.0,fixed_pips,50.0,1.5,be_1r,-500.01054200542006,0.9407878714076977,-4.207620893846342,369,0.9741085271317479,-0.3863078269445541,108
london_0800,5.0,15.0,40.0,fixed_pips,50.0,1.5,none,-500.0109918699187,0.9384166894415609,-4.366636243162613,369,0.9741085271317479,-0.3863078269445541,108
london_0800,5.0,15.0,40.0,fixed_pips,50.0,1.5,trail_1_5r,-500.0109918699187,0.9384166894415609,-4.366636243162613,369,0.9741085271317479,-0.3863078269445541,108
new_york_0800,2.0,15.0,40.0,asia_fraction,1.0,1.5,none,-500.0115558256285,1.0793730344536292,12.70962303315013,397,0.9712774567190825,-2.067933445561798,132
new_york_0800,2.0,15.0,40.0,asia_fraction,1.0,1.5,trail_1_5r,-500.0115558256285,1.0793730344536292,12.70962303315013,397,0.9712774567190825,-2.067933445561798,132
new_york_0800,2.0,15.0,40.0,asia_fraction,0.5,3.0,be_1r,-500.0116113901472,0.9783031924545319,-8.189874184978995,397,1.1236042942083582,7.237127629379692,132
new_york_0800,0.0,15.0,40.0,fixed_pips,30.0,2.0,be_1r,-500.0117171717172,1.1922726651791709,30.005074983598877,400,0.9597082320249684,-1.8917289326655706,132
new_york_0800,0.0,15.0,40.0,fixed_pips,50.0,2.0,be_1r,-500.0123787878788,1.1499875735232707,14.56847971257611,400,0.9325629385059165,-1.7716691347614888,132
new_york_0800,0.0,15.0,40.0,fixed_pips,50.0,2.0,none,-500.0123787878788,1.144976164658174,14.204878654614127,400,0.9325629385059165,-1.7716691347614888,132
new_york_0800,0.0,15.0,40.0,fixed_pips,50.0,3.0,be_1r,-500.0123787878788,1.1158561842431787,10.915044464641888,400,0.9325629385059165,-1.7716691347614888,132
new_york_0800,0.0,15.0,40.0,fixed_pips,50.0,3.0,trail_1_5r,-500.0123787878788,1.0964553231549605,8.99629453618016,400,0.9325629385059165,-1.7716691347614888,132
new_york_0800,0.0,15.0,40.0,fixed_pips,50.0,3.0,none,-500.0123787878788,1.1112588743171143,10.563038157039584,400,0.9325629385059165,-1.7716691347614888,132
new_york_0800,0.0,15.0,40.0,fixed_pips,50.0,2.0,trail_1_5r,-500.0123787878788,1.1218533829969637,11.690001973044307,400,0.9325629385059165,-1.7716691347614888,132
new_york_0800,0.0,15.0,40.0,fixed_pips,50.0,1.5,trail_1_5r,-500.013196969697,1.1451025336661949,14.2422836885705,400,0.9281056541476846,-1.8760768559394236,132
new_york_0800,0.0,15.0,40.0,fixed_pips,50.0,1.5,be_1r,-500.013196969697,1.1497597547841452,14.57162203407638,400,0.9281056541476846,-1.8760768559394236,132
new_york_0800,0.0,15.0,40.0,fixed_pips,50.0,1.5,none,-500.013196969697,1.1451025336661949,14.2422836885705,400,0.9281056541476846,-1.8760768559394236,132
