time,balance,drawdown_pct,symbol,r_multiple
,2000.0,0.0,START,0.0
2026-05-25T04:55:00+00:00,2026.66,0.0,USDSGD,0.3333
2026-05-25T18:30:00+00:00,2148.26,0.0,USDSGD,1.5
2026-05-26T01:15:00+00:00,2250.9,0.0,USDSGD,1.1944
2026-05-26T15:30:00+00:00,2160.86,4.0,EURJPY,-1.0
2026-05-26T17:10:00+00:00,2224.47,1.17,USDSGD,0.7359
2026-05-27T05:55:00+00:00,2254.13,0.0,USDSGD,0.3333
2026-05-27T13:15:00+00:00,2359.32,0.0,USDSGD,1.1667
2026-05-27T14:15:00+00:00,2390.78,0.0,EURJPY,0.3333
2026-05-28T01:05:00+00:00,2534.22,0.0,USDSGD,1.5
2026-05-28T10:30:00+00:00,2568.01,0.0,USDSGD,0.3333
2026-05-28T14:25:00+00:00,2773.45,0.0,EURJPY,2.0
2026-05-29T00:55:00+00:00,2939.86,0.0,USDSGD,1.5
2026-05-29T03:20:00+00:00,2822.26,4.0,USDSGD,-1.0
2026-05-29T13:05:00+00:00,3001.85,0.0,EURJPY,1.5908
2026-06-01T13:05:00+00:00,3161.94,0.0,EURJPY,1.3333
2026-06-01T13:45:00+00:00,3035.47,4.0,USDSGD,-1.0
2026-06-01T18:05:00+00:00,3217.59,0.0,USDSGD,1.5
2026-06-02T01:15:00+00:00,3260.49,0.0,USDSGD,0.3333
2026-06-02T10:20:00+00:00,3456.12,0.0,USDSGD,1.5
2026-06-03T00:50:00+00:00,3317.88,4.0,USDSGD,-1.0
2026-06-03T04:25:00+00:00,3185.16,7.84,USDSGD,-1.0
2026-06-04T08:45:00+00:00,3057.75,11.53,USDSGD,-1.0
2026-06-04T15:30:00+00:00,3192.86,7.62,EURJPY,1.1046
2026-06-04T16:00:00+00:00,3341.86,3.31,USDSGD,1.1667
2026-06-05T03:30:00+00:00,3542.37,0.0,USDSGD,1.5
2026-06-05T07:15:00+00:00,3707.69,0.0,USDSGD,1.1667
2026-06-05T13:05:00+00:00,3559.38,4.0,EURJPY,-1.0
2026-06-08T01:15:00+00:00,3552.75,4.18,USDSGD,-0.0466
2026-06-08T11:50:00+00:00,3410.64,8.01,USDSGD,-1.0
2026-06-08T15:40:00+00:00,3274.21,11.69,EURJPY,-1.0
2026-06-09T01:05:00+00:00,3317.86,10.51,USDSGD,0.3333
2026-06-09T06:25:00+00:00,3185.15,14.09,USDSGD,-1.0
2026-06-09T14:45:00+00:00,3057.74,17.53,EURJPY,-1.0
2026-06-10T01:05:00+00:00,3241.21,12.58,USDSGD,1.5
2026-06-10T06:05:00+00:00,3284.42,11.42,USDSGD,0.3333
2026-06-10T15:35:00+00:00,3328.21,10.24,EURJPY,0.3333
2026-06-11T10:30:00+00:00,3195.08,13.83,USDSGD,-1.0
2026-06-11T12:50:00+00:00,3067.28,17.27,USDSGD,-1.0
2026-06-11T15:15:00+00:00,3108.17,16.17,EURJPY,0.3333
2026-06-12T00:20:00+00:00,2983.84,19.52,USDSGD,-1.0
2026-06-12T05:10:00+00:00,2864.49,22.74,USDSGD,-1.0
2026-06-15T02:05:00+00:00,2833.66,23.57,USDSGD,-0.2691
2026-06-15T13:05:00+00:00,2720.31,26.63,EURJPY,-1.0
2026-06-15T14:30:00+00:00,2611.5,29.57,USDSGD,-1.0
2026-06-15T15:15:00+00:00,2735.06,26.23,EURJPY,1.1829
2026-06-16T01:20:00+00:00,2771.53,25.25,USDSGD,0.3333
2026-06-16T13:10:00+00:00,2660.67,28.24,USDSGD,-1.0
2026-06-16T14:20:00+00:00,2696.14,27.28,EURJPY,0.3333
2026-06-17T01:05:00+00:00,2782.59,24.95,USDSGD,0.8016
2026-06-17T12:50:00+00:00,2949.54,20.45,USDSGD,1.5
2026-06-18T01:15:00+00:00,2971.78,19.85,USDSGD,0.1885
2026-06-18T13:10:00+00:00,2852.91,23.05,EURJPY,-1.0
2026-06-18T15:20:00+00:00,2890.95,22.03,USDSGD,0.3333
2026-06-19T01:15:00+00:00,3025.86,18.39,USDSGD,1.1667
2026-06-19T10:25:00+00:00,2904.83,21.65,USDSGD,-1.0
2026-06-19T14:40:00+00:00,2788.63,24.79,EURJPY,-1.0
2026-06-22T00:40:00+00:00,2955.95,20.28,USDSGD,1.5
2026-06-22T08:15:00+00:00,2837.71,23.46,USDSGD,-1.0
2026-06-22T13:25:00+00:00,3064.73,17.34,EURJPY,2.0
2026-06-24T04:45:00+00:00,2942.14,20.65,USDSGD,-1.0
2026-06-24T10:30:00+00:00,2824.45,23.82,USDSGD,-1.0
2026-06-24T13:05:00+00:00,2862.11,22.81,EURJPY,0.3333
2026-06-25T04:00:00+00:00,3033.84,18.17,USDSGD,1.5
2026-06-25T04:45:00+00:00,3126.5,15.68,USDSGD,0.7636
2026-06-26T00:15:00+00:00,3001.44,19.05,USDSGD,-1.0
2026-06-26T04:55:00+00:00,3141.51,15.27,USDSGD,1.1667
2026-06-26T13:25:00+00:00,3015.85,18.66,EURJPY,-1.0
2026-06-29T00:40:00+00:00,3196.8,13.78,USDSGD,1.5
2026-06-29T03:40:00+00:00,3388.61,8.61,USDSGD,1.5
2026-06-29T14:05:00+00:00,3659.7,1.29,EURJPY,2.0
2026-06-30T01:55:00+00:00,3513.31,5.24,USDSGD,-1.0
2026-06-30T09:20:00+00:00,3372.78,9.03,USDSGD,-1.0
2026-06-30T14:40:00+00:00,3417.75,7.82,EURJPY,0.3333
2026-06-30T17:00:00+00:00,3281.04,11.51,EURJPY,-1.0
2026-07-01T00:40:00+00:00,3477.9,6.2,USDSGD,1.5
2026-07-01T07:35:00+00:00,3338.78,9.95,USDSGD,-1.0
2026-07-02T01:05:00+00:00,3252.2,12.28,USDSGD,-0.6483
2026-07-02T12:30:00+00:00,3295.56,11.12,USDSGD,0.3333
2026-07-02T14:55:00+00:00,3163.74,14.67,EURJPY,-1.0
