case,group,stage,report,from,to,model,risk_percent,initial_balance,final_balance,net_profit,return_pct,profit_factor,win_rate_pct,max_drawdown_pct,trades,sharpe_ratio,recovery_factor,history_quality,analysed_sharpe,analysed_recovery
final-current-standard,combined-finalist,ThreeYear,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\06 Asia Breakout\Backtest Reports\ThreeYear\asia-xau-threeyear-final-current-standard.htm,2023.09.01,2026.09.01,0,1.00,10000.0,12123.79,2123.79,21.24,1.08,39.23,16.65,413,0.71,0.9,98%,0.74,0.94
final-current-safe,combined-finalist,ThreeYear,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\06 Asia Breakout\Backtest Reports\ThreeYear\asia-xau-threeyear-final-current-safe.htm,2023.09.01,2026.09.01,0,1.00,10000.0,14457.3,4457.3,44.57,1.56,46.92,6.27,130,4.79,5.12,98%,2.28,5.87
combo-opposite010-buffer000-safe,combined-finalist,ThreeYear,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\06 Asia Breakout\Backtest Reports\ThreeYear\asia-xau-threeyear-combo-opposite010-buffer000-safe.htm,2023.09.01,2026.09.01,0,1.00,10000.0,13751.64,3751.64,37.52,1.65,47.66,6.75,107,3.61,4.74,98%,2.35,5.33
combo-opposite010-window0812-safe,combined-finalist,ThreeYear,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\06 Asia Breakout\Backtest Reports\ThreeYear\asia-xau-threeyear-combo-opposite010-window0812-safe.htm,2023.09.01,2026.09.01,0,1.00,10000.0,13666.89,3666.89,36.67,1.72,47.92,6.12,96,3.96,4.97,98%,2.38,6.29
combo-opposite003-safe,combined-finalist,ThreeYear,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\06 Asia Breakout\Backtest Reports\ThreeYear\asia-xau-threeyear-combo-opposite003-safe.htm,2023.09.01,2026.09.01,0,1.00,10000.0,13821.74,3821.74,38.22,1.65,47.75,5.87,111,3.69,5.23,98%,2.38,6.25
