starting_balance,ending_balance,net_profit,return_pct,trades,wins,losses,win_rate,net_r,avg_r,avg_spread_r,max_drawdown_pct,timeframe
300.0,303.66,3.66,1.22,58,24,34,41.38,1.4,0.0242,0.0231,25.71,M15
300.0,491.18,191.18,63.73,50,25,25,50.0,11.51,0.2301,0.0099,18.42,M30
