starting_balance,ending_balance,net_profit,return_pct,trades,wins,losses,win_rate,net_r,max_drawdown_pct,skipped_guardrail,skipped_same_symbol_overlap,policy
300.0,546.8,246.8,82.27,31,8,17,25.81,13.51,10.54,48,1,dynamic_conservative
300.0,519.02,219.02,73.01,31,9,16,29.03,12.53,10.64,47,1,dynamic_capped
300.0,476.5,176.5,58.83,31,14,16,45.16,10.4,16.18,51,1,production_current
300.0,440.0,140.0,46.67,31,10,17,32.26,8.81,15.46,48,1,fixed_current
300.0,406.69,106.69,35.56,31,16,14,51.61,6.72,16.18,51,1,challenge20_current
300.0,359.23,59.23,19.74,31,8,17,25.81,4.51,19.48,48,1,dynamic_aggressive
300.0,352.92,52.92,17.64,31,7,19,22.58,4.51,23.31,49,1,dynamic_balanced
300.0,338.17,38.17,12.72,31,7,19,22.58,3.51,23.31,49,1,dynamic_score
