policy,bot,trades,wins,losses,trail_stops,timeouts,win_rate,net_r,avg_r,profit_factor,avg_final_rr
challenge20_current,LTA,12,5,1,1,0,41.67,2.07,0.173,1.5,1.3
challenge20_current,ORB,71,28,16,11,0,39.44,16.54,0.233,1.79,1.3
dynamic_aggressive,LTA,12,0,5,7,0,0.0,3.41,0.284,1.63,5.42
dynamic_aggressive,ORB,68,4,25,39,0,5.88,9.96,0.146,1.4,5.38
dynamic_balanced,LTA,12,1,5,6,0,8.33,4.41,0.367,1.82,4.33
dynamic_balanced,ORB,69,6,29,34,0,8.7,2.87,0.042,1.1,4.12
dynamic_capped,LTA,11,1,5,5,0,9.09,4.44,0.404,1.83,4.27
dynamic_capped,ORB,68,6,23,39,0,8.82,12.96,0.191,1.56,4.13
dynamic_conservative,LTA,12,3,5,4,0,25.0,4.41,0.367,1.82,3.0
dynamic_conservative,ORB,68,15,22,31,0,22.06,18.96,0.279,1.86,2.65
dynamic_score,LTA,12,2,5,5,0,16.67,4.41,0.367,1.82,3.92
dynamic_score,ORB,69,1,29,39,0,1.45,0.87,0.013,1.03,5.48
fixed_current,LTA,12,0,5,7,0,0.0,3.41,0.284,1.63,6.0
fixed_current,ORB,68,17,24,27,0,25.0,20.6,0.303,1.86,2.77
production_current,LTA,12,0,1,5,0,0.0,5.27,0.439,2.25,6.0
production_current,ORB,71,15,16,22,0,21.13,16.12,0.227,1.77,2.71
