policy,bot,symbol,trades,wins,losses,trail_stops,timeouts,win_rate,net_r,avg_r,profit_factor,avg_final_rr
challenge20_current,LTA,EURUSD,5,3,0,0,0,60.0,2.08,0.416,2.29,1.3
challenge20_current,LTA,US30,7,2,1,1,0,28.57,-0.01,-0.001,1.0,1.3
challenge20_current,ORB,BTCUSD,24,5,5,5,0,20.83,-0.04,-0.002,0.99,1.3
challenge20_current,ORB,EURUSD,3,1,0,0,0,33.33,0.66,0.221,2.15,1.3
challenge20_current,ORB,XAGUSD,22,11,5,4,0,50.0,8.59,0.39,2.45,1.3
challenge20_current,ORB,XAUUSD,22,11,6,2,0,50.0,7.33,0.333,2.04,1.3
dynamic_aggressive,LTA,EURUSD,5,0,1,4,0,0.0,2.65,0.53,3.19,5.4
dynamic_aggressive,LTA,US30,7,0,4,3,0,0.0,0.75,0.108,1.18,5.43
dynamic_aggressive,ORB,BTCUSD,24,1,11,12,0,4.17,-2.0,-0.083,0.82,5.5
dynamic_aggressive,ORB,XAGUSD,22,2,5,15,0,9.09,8.97,0.408,2.79,5.55
dynamic_aggressive,ORB,XAUUSD,22,1,9,12,0,4.55,2.99,0.136,1.33,5.09
dynamic_balanced,LTA,EURUSD,5,1,1,3,0,20.0,3.65,0.73,4.02,4.4
dynamic_balanced,LTA,US30,7,0,4,3,0,0.0,0.75,0.108,1.18,4.29
dynamic_balanced,ORB,BTCUSD,24,2,12,10,0,8.33,-0.0,-0.0,1.0,4.21
dynamic_balanced,ORB,EURUSD,1,0,1,0,0,0.0,-1.09,-1.093,0.0,3.0
dynamic_balanced,ORB,XAGUSD,22,2,6,14,0,9.09,4.97,0.226,1.83,4.32
dynamic_balanced,ORB,XAUUSD,22,2,10,10,0,9.09,-1.01,-0.046,0.9,3.86
dynamic_capped,LTA,EURUSD,4,1,1,2,0,25.0,3.69,0.922,4.15,4.25
dynamic_capped,LTA,US30,7,0,4,3,0,0.0,0.75,0.108,1.18,4.29
dynamic_capped,ORB,BTCUSD,24,2,10,12,0,8.33,1.0,0.042,1.1,4.21
dynamic_capped,ORB,XAGUSD,22,3,4,15,0,13.64,11.97,0.544,3.98,4.32
dynamic_capped,ORB,XAUUSD,22,1,9,12,0,4.55,-0.01,-0.0,1.0,3.86
dynamic_conservative,LTA,EURUSD,5,1,1,3,0,20.0,2.65,0.53,3.19,3.0
dynamic_conservative,LTA,US30,7,2,4,1,0,28.57,1.75,0.251,1.42,3.0
dynamic_conservative,ORB,BTCUSD,24,4,9,11,0,16.67,2.0,0.083,1.22,2.71
dynamic_conservative,ORB,XAGUSD,22,5,4,13,0,22.73,10.97,0.499,3.73,2.73
dynamic_conservative,ORB,XAUUSD,22,6,9,7,0,27.27,5.99,0.272,1.67,2.5
dynamic_score,LTA,EURUSD,5,1,1,3,0,20.0,2.65,0.53,3.19,4.0
dynamic_score,LTA,US30,7,1,4,2,0,14.29,1.75,0.251,1.42,3.86
dynamic_score,ORB,BTCUSD,24,0,12,12,0,0.0,-1.0,-0.042,0.92,5.58
dynamic_score,ORB,EURUSD,1,0,1,0,0,0.0,-1.09,-1.093,0.0,4.0
dynamic_score,ORB,XAGUSD,22,1,6,15,0,4.55,4.97,0.226,1.83,5.59
dynamic_score,ORB,XAUUSD,22,0,10,12,0,0.0,-2.01,-0.091,0.8,5.32
fixed_current,LTA,EURUSD,5,0,1,4,0,0.0,2.65,0.53,3.19,6.0
fixed_current,LTA,US30,7,0,4,3,0,0.0,0.75,0.108,1.18,6.0
fixed_current,ORB,BTCUSD,24,3,10,11,0,12.5,3.0,0.125,1.3,3.0
fixed_current,ORB,XAGUSD,22,2,5,15,0,9.09,10.96,0.498,3.18,4.0
fixed_current,ORB,XAUUSD,22,12,9,1,0,54.55,6.64,0.302,1.74,1.3
production_current,LTA,EURUSD,5,0,0,2,0,0.0,2.88,0.577,2.7,6.0
production_current,LTA,US30,7,0,1,3,0,0.0,2.38,0.34,1.94,6.0
production_current,ORB,BTCUSD,24,2,5,8,0,8.33,1.44,0.06,1.19,3.0
production_current,ORB,EURUSD,3,1,0,0,0,33.33,0.66,0.22,2.15,1.3
production_current,ORB,XAGUSD,22,1,5,12,0,4.55,6.7,0.304,2.13,4.0
production_current,ORB,XAUUSD,22,11,6,2,0,50.0,7.33,0.333,2.04,1.3
