policy,trades,wins,losses,trail_stops,timeouts,win_rate,net_r,avg_r,profit_factor,avg_final_rr
challenge20_current,83,33,17,12,0,39.76,18.61,0.224,1.74,1.3
dynamic_aggressive,80,4,30,46,0,5.0,13.37,0.167,1.44,5.39
dynamic_balanced,81,7,34,40,0,8.64,7.27,0.09,1.21,4.15
dynamic_capped,79,7,28,44,0,8.86,17.4,0.22,1.61,4.15
dynamic_conservative,80,18,27,35,0,22.5,23.37,0.292,1.85,2.7
dynamic_score,81,3,34,44,0,3.7,5.27,0.065,1.15,5.25
fixed_current,80,17,29,34,0,21.25,24.01,0.3,1.82,3.26
production_current,83,15,17,27,0,18.07,21.39,0.258,1.85,3.19
