calc_time,funding_interval_hours,last_funding_rate
1782864000000,8,0.00005532
1782892800000,8,0.00001853
1782921600000,8,0.00007073
1782950400000,8,0.00008001
1782979200000,8,0.00005238
1783008000000,8,0.00005261
1783036800000,8,0.00010000
1783065600007,8,0.00010000
1783094400000,8,0.00003740
1783123200000,8,0.00010000
1783152000000,8,0.00010000
1783180800007,8,0.00009480
1783209600003,8,0.00009533
1783238400001,8,0.00008873
1783267200000,8,0.00008608
1783296000000,8,0.00007700
1783324800000,8,0.00006120
1783353600000,8,0.00010000
1783382400000,8,0.00010000
1783411200000,8,0.00005792
1783440000000,8,0.00006825
1783468800000,8,0.00004846
1783497600000,8,0.00000724
1783526400000,8,0.00007171
1783555200000,8,0.00006160
1783584000001,8,0.00006615
1783612800001,8,0.00004912
1783641600000,8,0.00009058
1783670400005,8,0.00007247
1783699200005,8,0.00009508
1783728000000,8,0.00010000
1783756800000,8,0.00000942
1783785600000,8,0.00004156
1783814400000,8,0.00004651
1783843200003,8,0.00006315
1783872000000,8,0.00007578
1783900800000,8,0.00001521
1783929600001,8,0.00004856
1783958400004,8,0.00010000
1783987200000,8,0.00008256
1784016000002,8,0.00003489
1784044800001,8,0.00005590
1784073600005,8,0.00010000
1784102400002,8,0.00010000
1784131200000,8,0.00004457
1784160000000,8,0.00002426
1784188800003,8,0.00007584
1784217600002,8,0.00006102
1784246400000,8,0.00007639
1784275200010,8,0.00001520
1784304000004,8,0.00006045
1784332800000,8,0.00003074
1784361600000,8,0.00006955
1784390400001,8,0.00003326
1784419200003,8,0.00000406
1784448000000,8,0.00006905
1784476800001,8,0.00005235
1784505600000,8,0.00004890
1784534400001,8,0.00005278
1784563200004,8,0.00006518
1784592000001,8,0.00005400
1784620800000,8,0.00008926
1784649600002,8,0.00001894
1784678400000,8,0.00003928
1784707200000,8,0.00005448
1784736000001,8,0.00001443
1784764800000,8,-0.00000343
1784793600000,8,0.00000271
1784822400000,8,0.00008458
1784851200000,8,0.00007598
1784880000000,8,0.00005149
1784908800008,8,0.00005879
1784937600002,8,0.00006074
1784966400000,8,0.00005425
1784995200000,8,0.00000729
1785024000000,8,0.00003878
1785052800002,8,0.00005884
1785081600000,8,0.00005819
1785110400010,8,0.00006147
1785139200000,8,0.00006452
1785168000001,8,0.00005040
1785196800000,8,0.00004208
1785225600000,8,0.00000125
1785254400000,8,0.00006689
1785283200000,8,0.00010000
1785312000002,8,0.00010000
1785340800000,8,0.00003665
1785369600000,8,0.00008462
1785398400000,8,0.00007278
1785427200000,8,0.00009029
1785456000003,8,0.00010000
1785484800000,8,0.00009405
1785513600000,8,0.00005664
