timestamp,percentage,depth,notional
2025-08-11 00:00:07,-5,9184.70700000,1073728054.84590000
2025-08-11 00:00:07,-4,8575.11300000,1004248057.28160000
2025-08-11 00:00:07,-3,7638.93800000,896484198.87150000
2025-08-11 00:00:07,-2,5222.04300000,615680943.88630000
2025-08-11 00:00:07,-1,1542.11200000,183108922.17310000
2025-08-11 00:00:07,1,2640.36400000,316114160.63670000
2025-08-11 00:00:07,2,3778.62100000,453804333.85560000
2025-08-11 00:00:07,3,4499.38400000,541865016.25520000
2025-08-11 00:00:07,4,4835.59800000,583335014.10840000
2025-08-11 00:00:07,5,5071.64300000,612781434.92890000
2025-08-11 00:00:53,-5,9262.58100000,1082798705.27310000
2025-08-11 00:00:53,-4,8697.23200000,1018401747.02470000
2025-08-11 00:00:53,-3,7771.43900000,911910952.06000000
2025-08-11 00:00:53,-2,5578.88100000,657401881.16510000
2025-08-11 00:00:53,-1,1764.75500000,209350073.40640000
2025-08-11 00:00:53,1,2817.89400000,337199188.18480000
2025-08-11 00:00:53,2,3904.99000000,468579104.45330000
2025-08-11 00:00:53,3,4681.93200000,563388829.23890000
2025-08-11 00:00:53,4,5059.64300000,609918554.15110000
2025-08-11 00:00:53,5,5305.16400000,640517633.34300000
2025-08-11 00:01:08,-5,9279.38700000,1084971898.41280000
2025-08-11 00:01:08,-4,8718.16700000,1021030062.74750000
2025-08-11 00:01:08,-3,7779.62300000,913039106.60060000
2025-08-11 00:01:08,-2,5488.75200000,646999174.30700000
2025-08-11 00:01:08,-1,1713.38500000,203353629.74940000
2025-08-11 00:01:08,1,2843.53700000,340323682.12230000
2025-08-11 00:01:08,2,3921.50800000,470631589.39220000
2025-08-11 00:01:08,3,4719.85300000,568094653.53620000
2025-08-11 00:01:08,4,5056.05600000,609531492.61290000
2025-08-11 00:01:08,5,5302.22600000,640214174.27750000
2025-08-11 00:01:32,-5,9360.38100000,1094401461.08870000
2025-08-11 00:01:32,-4,8778.24000000,1028084264.53160000
2025-08-11 00:01:32,-3,7830.00900000,918986281.18150000
2025-08-11 00:01:32,-2,5527.79600000,651631612.67090000
2025-08-11 00:01:32,-1,1833.15800000,217514859.47830000
2025-08-11 00:01:32,1,2886.51000000,345446335.29050000
2025-08-11 00:01:32,2,3976.77000000,477226699.37700000
2025-08-11 00:01:32,3,4776.31300000,574831984.82490000
2025-08-11 00:01:32,4,5114.38300000,616496767.13460000
2025-08-11 00:01:32,5,5358.15100000,646878204.44080000
2025-08-11 00:02:01,-5,9347.57900000,1092930937.10100000
2025-08-11 00:02:01,-4,8767.92200000,1026892461.27790000
2025-08-11 00:02:01,-3,7813.37900000,917060975.00080000
2025-08-11 00:02:01,-2,5466.99600000,644533421.13520000
2025-08-11 00:02:01,-1,1749.00400000,207593113.88760000
2025-08-11 00:02:01,1,2941.72000000,352065861.74370000
2025-08-11 00:02:01,2,4099.29300000,492055443.65890000
2025-08-11 00:02:01,3,4814.81100000,579448979.11370000
2025-08-11 00:02:01,4,5152.54100000,621076435.25430000
2025-08-11 00:02:01,5,5395.63700000,651378090.32970000
2025-08-11 00:02:32,-5,9355.32500000,1093835762.70990000
2025-08-11 00:02:32,-4,8776.15000000,1027853476.85550000
2025-08-11 00:02:32,-3,7823.27700000,918216011.92550000
2025-08-11 00:02:32,-2,5528.52200000,651722857.55980000
2025-08-11 00:02:32,-1,1754.21600000,208204496.32110000
2025-08-11 00:02:32,1,2922.45300000,349764357.79710000
2025-08-11 00:02:32,2,4000.74600000,480106069.25110000
2025-08-11 00:02:32,3,4800.09600000,577692759.47500000
2025-08-11 00:02:32,4,5133.95100000,618841869.83510000
2025-08-11 00:02:32,5,5377.67500000,649220062.97530000
2025-08-11 00:03:01,-5,9339.81500000,1092011671.47770000
2025-08-11 00:03:01,-4,8755.26500000,1025410845.41720000
2025-08-11 00:03:01,-3,7801.38000000,915646508.99400000
2025-08-11 00:03:01,-2,5457.33700000,643384545.75440000
2025-08-11 00:03:01,-1,1712.08500000,203224835.90050000
2025-08-11 00:03:01,1,2958.00900000,354030288.94320000
2025-08-11 00:03:01,2,4103.17000000,492526101.84960000
2025-08-11 00:03:01,3,4832.60300000,581631635.17880000
2025-08-11 00:03:01,4,5153.31600000,621171329.75910000
2025-08-11 00:03:01,5,5394.59500000,651247748.95390000
2025-08-11 00:03:31,-5,9349.29300000,1093071232.78930000
2025-08-11 00:03:31,-4,8768.86400000,1026951447.22540000
2025-08-11 00:03:31,-3,7820.89000000,917885216.18660000
2025-08-11 00:03:31,-2,5635.63600000,664195092.86770000
2025-08-11 00:03:31,-1,1826.06700000,216663377.22540000
2025-08-11 00:03:31,1,2901.89200000,347277998.35450000
2025-08-11 00:03:31,2,3985.85100000,478283049.62420000
2025-08-11 00:03:31,3,4794.68500000,577016064.30680000
2025-08-11 00:03:31,4,5131.23900000,618493777.35070000
2025-08-11 00:03:31,5,5375.23800000,648903537.42830000
2025-08-11 00:04:02,-5,9316.37800000,1089230703.07070000
2025-08-11 00:04:02,-4,8741.21300000,1023705624.00890000
2025-08-11 00:04:02,-3,7795.47500000,914890937.01650000
2025-08-11 00:04:02,-2,5496.53500000,647915001.39770000
2025-08-11 00:04:02,-1,1739.21300000,206402825.27500000
2025-08-11 00:04:02,1,2847.78100000,340833036.22950000
2025-08-11 00:04:02,2,3933.37500000,472047343.56010000
2025-08-11 00:04:02,3,4729.53400000,569241020.59870000
2025-08-11 00:04:02,4,5066.34200000,610751832.68080000
2025-08-11 00:04:02,5,5306.76000000,640717046.01040000
2025-08-11 00:04:31,-5,9334.22100000,1091274471.66000000
