timestamp,percentage,depth,notional
2026-08-10 00:00:01,-5.00,9469.46100000,604031383.33940000
2026-08-10 00:00:01,-4.00,8816.16900000,563555439.83550000
2026-08-10 00:00:01,-3.00,8248.95200000,528060405.76380000
2026-08-10 00:00:01,-2.00,6662.16000000,427915946.10450000
2026-08-10 00:00:01,-1.00,3293.14500000,212510455.86050000
2026-08-10 00:00:01,-0.20,575.72500000,37296788.02380000
2026-08-10 00:00:01,0.20,559.25300000,36310637.34020000
2026-08-10 00:00:01,1.00,2566.87700000,167431863.33010000
2026-08-10 00:00:01,2.00,7046.98300000,462149647.40970000
2026-08-10 00:00:01,3.00,8063.58600000,529728916.66660000
2026-08-10 00:00:01,4.00,9281.55200000,611490717.36410000
2026-08-10 00:00:01,5.00,10504.77500000,694409809.43660000
2026-08-10 00:00:30,-5.00,9671.32400000,617019969.59580000
2026-08-10 00:00:30,-4.00,9027.00000000,577104835.17040000
2026-08-10 00:00:30,-3.00,8462.22400000,541773561.57570000
2026-08-10 00:00:30,-2.00,6911.45800000,443930019.60100000
2026-08-10 00:00:30,-1.00,3823.67900000,246621041.02440000
2026-08-10 00:00:30,-0.20,690.17800000,44702333.99990000
2026-08-10 00:00:30,0.20,561.17800000,36431064.31810000
2026-08-10 00:00:30,1.00,2396.10300000,156146796.95130000
2026-08-10 00:00:30,2.00,7241.97600000,474802044.76690000
2026-08-10 00:00:30,3.00,8232.37700000,540617062.42440000
2026-08-10 00:00:30,4.00,9482.38000000,624509193.53320000
2026-08-10 00:00:30,5.00,10691.30400000,706443932.37060000
2026-08-10 00:01:00,-5.00,9731.14600000,620897255.77600000
2026-08-10 00:01:00,-4.00,9077.80400000,580420653.97380000
2026-08-10 00:01:00,-3.00,8524.80300000,545823892.42970000
2026-08-10 00:01:00,-2.00,6976.65500000,448145537.46060000
2026-08-10 00:01:00,-1.00,3872.95700000,249817913.08100000
2026-08-10 00:01:00,-0.20,757.71600000,49078407.74040000
2026-08-10 00:01:00,0.20,630.86600000,40955672.60720000
2026-08-10 00:01:00,1.00,2434.38800000,158630190.83300000
2026-08-10 00:01:00,2.00,7281.53700000,477368400.33460000
2026-08-10 00:01:00,3.00,8274.74900000,543371210.69850000
2026-08-10 00:01:00,4.00,9523.21300000,627161090.39840000
2026-08-10 00:01:00,5.00,10731.66000000,709063787.95550000
2026-08-10 00:01:30,-5.00,9752.99200000,622283872.78760000
2026-08-10 00:01:30,-4.00,9098.25400000,581720297.81770000
2026-08-10 00:01:30,-3.00,8530.91800000,546220895.50160000
2026-08-10 00:01:30,-2.00,6963.70300000,447320876.06810000
2026-08-10 00:01:30,-1.00,3819.79500000,246395298.29330000
2026-08-10 00:01:30,-0.20,745.04200000,48256265.59570000
2026-08-10 00:01:30,0.20,606.23600000,39356651.76980000
2026-08-10 00:01:30,1.00,2359.02000000,153746361.10710000
2026-08-10 00:01:30,2.00,7191.97800000,471555031.91740000
2026-08-10 00:01:30,3.00,8195.90800000,538268478.61920000
2026-08-10 00:01:30,4.00,9444.08300000,622040793.54320000
