version,return_pct,profit_factor,win_rate_pct,max_drawdown_pct,trades,sharpe,recovery_factor,history_quality
raw-no-london-locked,-0.10169999999999998,1.0,38.38,10.07,99,-0.07,-0.01,100%
raw-with-london-locked,10.538,1.33,46.3,4.52,54,12.22,2.14,100%
raw-with-london-full,32.6238,1.33,45.62,6.07,160,9.33,5.23,98%
pipeline-selected-locked,7.0665,1.14,35.62,8.75,73,6.24,0.7,100%
pipeline-selected-full,90.16370000000002,1.42,42.22,11.57,225,14.87,4.1,98%
raw-with-london-safe-locked,0.0,0.0,0.0,0.0,0,0.0,0.0,100%
raw-with-london-safe-full,2.1247,1.34,45.45,2.87,11,3.21,0.71,98%
pipeline-selected-safe-locked,-2.0202999999999998,0.0,0.0,4.05,2,-0.14,-0.49,100%
pipeline-selected-safe-full,-1.3762,0.89,29.41,7.97,17,-3.43,-0.17,98%
