params,lock_trigger_r,lock_profit_r,full_trades,full_wr,full_pf,full_net_r,full_return,full_dd,train_trades,train_pf,train_net_r,validation_trades,validation_pf,validation_net_r,test_trades,test_wr,test_pf,test_net_r,test_return,test_dd,score
"{""breakout_fraction"": 0.03, ""distribution_rr"": 3.0, ""enable_distribution"": true, ""enable_fade"": true, ""fade_rr"": 3.0, ""london_window_minutes"": 240, ""max_trades_per_day"": 1, ""ny_window_minutes"": 180, ""retest_tolerance_fraction"": 0.04, ""stop_buffer_fraction"": 0.03, ""sweep_max_fraction"": 0.6, ""sweep_min_fraction"": 0.02, ""trade_london"": true, ""trade_new_york"": false, ""use_regime_filter"": true, ""volume_factor"": 0.0}",1.0,0.15,66,53.03030303030303,1.0265142584652707,2.7500000000003824,3.0237298094196507,25.39721248802126,20,2.1499764059176467,7.500000000000263,19,1.3642197274728163,3.9000000000000927,27,40.74074074074074,0.45262486196704055,-8.649999999999974,-24.011090183563223,24.351508395782183,4.300635776308199
"{""breakout_fraction"": 0.03, ""distribution_rr"": 2.0, ""enable_distribution"": true, ""enable_fade"": true, ""fade_rr"": 2.0, ""london_window_minutes"": 240, ""max_trades_per_day"": 1, ""ny_window_minutes"": 180, ""retest_tolerance_fraction"": 0.04, ""stop_buffer_fraction"": 0.03, ""sweep_max_fraction"": 0.6, ""sweep_min_fraction"": 0.02, ""trade_london"": true, ""trade_new_york"": false, ""use_regime_filter"": true, ""volume_factor"": 0.0}",0.75,0.15,66,59.09090909090909,1.1174789508579108,4.750000000000238,11.139251097431302,22.599213680006486,20,1.873325127061408,4.650000000000306,19,1.3080377453751533,2.9000000000000337,27,48.148148148148145,0.7694624576883318,-2.800000000000101,-9.440683766171432,22.599213680006493,4.125132934910036
"{""breakout_fraction"": 0.03, ""distribution_rr"": 1.0, ""enable_distribution"": true, ""enable_fade"": true, ""fade_rr"": 1.0, ""london_window_minutes"": 240, ""max_trades_per_day"": 1, ""ny_window_minutes"": 180, ""retest_tolerance_fraction"": 0.04, ""stop_buffer_fraction"": 0.03, ""sweep_max_fraction"": 0.6, ""sweep_min_fraction"": 0.02, ""trade_london"": true, ""trade_new_york"": false, ""use_regime_filter"": true, ""volume_factor"": 0.0}",0.3,0.15,66,81.81818181818183,1.4011102560421007,5.449999999999896,16.497806856354313,8.321997149999868,20,1.9380916260160377,2.949999999999979,19,1.3278291257021413,1.0999999999999348,27,77.77777777777779,1.1977832750857265,1.3999999999999824,3.756565252736954,4.291129308254715,4.123879874798736
"{""breakout_fraction"": 0.03, ""distribution_rr"": 1.5, ""enable_distribution"": true, ""enable_fade"": true, ""fade_rr"": 1.5, ""london_window_minutes"": 240, ""max_trades_per_day"": 1, ""ny_window_minutes"": 180, ""retest_tolerance_fraction"": 0.1, ""stop_buffer_fraction"": 0.03, ""sweep_max_fraction"": 0.6, ""sweep_min_fraction"": 0.02, ""trade_london"": true, ""trade_new_york"": false, ""use_regime_filter"": true, ""volume_factor"": 0.0}",0.5,0.15,69,66.66666666666666,1.1307897136190306,4.149999999999806,10.39322437556336,14.804175062157851,21,1.2521467065241039,1.4500000000000877,20,1.9988424832257476,5.34999999999981,28,53.57142857142857,0.7748311203064551,-2.650000000000092,-8.740148466763674,14.804175062157835,4.045847626645488
"{""breakout_fraction"": 0.03, ""distribution_rr"": 1.5, ""enable_distribution"": true, ""enable_fade"": true, ""fade_rr"": 1.5, ""london_window_minutes"": 240, ""max_trades_per_day"": 1, ""ny_window_minutes"": 180, ""retest_tolerance_fraction"": 0.04, ""stop_buffer_fraction"": 0.12, ""sweep_max_fraction"": 0.6, ""sweep_min_fraction"": 0.02, ""trade_london"": true, ""trade_new_york"": false, ""use_regime_filter"": true, ""volume_factor"": 0.0}",0.5,0.0,66,19.696969696969695,0.9901127790221379,0.499999999999724,-0.6484317281154062,20.555854370598006,20,2.1661863466139364,4.999999999999855,19,1.204222412320833,1.4999999999999405,27,7.4074074074074066,0.34450597178675585,-6.000000000000072,-16.980867817275037,20.55585437059803,4.018560733062762
"{""breakout_fraction"": 0.03, ""distribution_rr"": 1.5, ""enable_distribution"": true, ""enable_fade"": true, ""fade_rr"": 1.5, ""london_window_minutes"": 240, ""max_trades_per_day"": 1, ""ny_window_minutes"": 180, ""retest_tolerance_fraction"": 0.04, ""stop_buffer_fraction"": 0.03, ""sweep_max_fraction"": 0.6, ""sweep_min_fraction"": 0.0, ""trade_london"": true, ""trade_new_york"": false, ""use_regime_filter"": true, ""volume_factor"": 0.0}",1.0,0.15,68,54.41176470588235,1.2112090730002982,8.299999999999807,23.375895076788233,14.126597429999999,20,1.1809157511685013,2.100000000000085,20,1.9730537881059325,7.099999999999749,28,46.42857142857143,0.9056010404701239,-0.9000000000000272,-4.187451429967249,13.929540625305812,3.9205672535054954
"{""breakout_fraction"": 0.03, ""distribution_rr"": 1.5, ""enable_distribution"": true, ""enable_fade"": true, ""fade_rr"": 1.5, ""london_window_minutes"": 240, ""max_trades_per_day"": 1, ""ny_window_minutes"": 180, ""retest_tolerance_fraction"": 0.04, ""stop_buffer_fraction"": 0.03, ""sweep_max_fraction"": 0.35, ""sweep_min_fraction"": 0.02, ""trade_london"": true, ""trade_new_york"": false, ""use_regime_filter"": true, ""volume_factor"": 0.0}",0.3,0.15,66,81.81818181818183,1.5226581852535013,6.900000000000043,21.30771566615517,8.321997149999849,20,1.265448258233523,0.9000000000000672,19,1.6377015572797229,2.099999999999877,27,77.77777777777779,1.5813923574723148,3.9000000000000985,11.53493414313056,4.204913730612223,3.8828911185467287
"{""breakout_fraction"": 0.03, ""distribution_rr"": 1.5, ""enable_distribution"": true, ""enable_fade"": true, ""fade_rr"": 1.5, ""london_window_minutes"": 240, ""max_trades_per_day"": 1, ""ny_window_minutes"": 180, ""retest_tolerance_fraction"": 0.04, ""stop_buffer_fraction"": 0.03, ""sweep_max_fraction"": 0.6, ""sweep_min_fraction"": 0.02, ""trade_london"": true, ""trade_new_york"": false, ""use_regime_filter"": true, ""volume_factor"": 0.0}",0.3,0.15,66,81.81818181818183,1.5226581852535013,6.900000000000043,21.30771566615517,8.321997149999849,20,1.265448258233523,0.9000000000000672,19,1.6377015572797229,2.099999999999877,27,77.77777777777779,1.5813923574723148,3.9000000000000985,11.53493414313056,4.204913730612223,3.8828911185467287
"{""breakout_fraction"": 0.03, ""distribution_rr"": 1.5, ""enable_distribution"": true, ""enable_fade"": true, ""fade_rr"": 1.5, ""london_window_minutes"": 240, ""max_trades_per_day"": 1, ""ny_window_minutes"": 180, ""retest_tolerance_fraction"": 0.04, ""stop_buffer_fraction"": 0.03, ""sweep_max_fraction"": 0.5, ""sweep_min_fraction"": 0.02, ""trade_london"": true, ""trade_new_york"": false, ""use_regime_filter"": true, ""volume_factor"": 0.0}",0.3,0.15,66,81.81818181818183,1.5226581852535013,6.900000000000043,21.30771566615517,8.321997149999849,20,1.265448258233523,0.9000000000000672,19,1.6377015572797229,2.099999999999877,27,77.77777777777779,1.5813923574723148,3.9000000000000985,11.53493414313056,4.204913730612223,3.8828911185467287
"{""breakout_fraction"": 0.03, ""distribution_rr"": 1.5, ""enable_distribution"": true, ""enable_fade"": true, ""fade_rr"": 1.5, ""london_window_minutes"": 240, ""max_trades_per_day"": 1, ""ny_window_minutes"": 180, ""retest_tolerance_fraction"": 0.04, ""stop_buffer_fraction"": 0.03, ""sweep_max_fraction"": 0.8, ""sweep_min_fraction"": 0.02, ""trade_london"": true, ""trade_new_york"": false, ""use_regime_filter"": true, ""volume_factor"": 0.0}",0.3,0.15,66,81.81818181818183,1.5226581852535013,6.900000000000043,21.30771566615517,8.321997149999849,20,1.265448258233523,0.9000000000000672,19,1.6377015572797229,2.099999999999877,27,77.77777777777779,1.5813923574723148,3.9000000000000985,11.53493414313056,4.204913730612223,3.8828911185467287
"{""breakout_fraction"": 0.03, ""distribution_rr"": 1.5, ""enable_distribution"": true, ""enable_fade"": true, ""fade_rr"": 1.5, ""london_window_minutes"": 240, ""max_trades_per_day"": 1, ""ny_window_minutes"": 180, ""retest_tolerance_fraction"": 0.02, ""stop_buffer_fraction"": 0.03, ""sweep_max_fraction"": 0.6, ""sweep_min_fraction"": 0.02, ""trade_london"": true, ""trade_new_york"": false, ""use_regime_filter"": true, ""volume_factor"": 0.0}",0.3,0.15,65,83.07692307692308,1.6694921533921752,7.900000000000027,25.05950068675775,8.732700000000005,20,1.2654482582335707,0.9000000000002161,18,1.5899952411562215,1.9499999999998248,27,81.48148148148148,1.918687133760507,5.0499999999999865,15.50189829564359,3.000000000000002,3.839164774700713
