symbol,trades,wins,losses,win_rate_pct,profit_factor,net_r,ending_balance,return_pct,max_drawdown_pct,london_trades,new_york_trades,new_york_limit_trades,new_york_stop_trades,new_york_limit_win_rate_pct,new_york_limit_profit_factor_r,new_york_limit_net_r,new_york_stop_win_rate_pct,new_york_stop_profit_factor_r,new_york_stop_net_r,both_filled_days,limit_only_days,stop_only_days,max_concurrent_trades,max_planned_exposure_pct,locked_stop_exits,params,score
XAUUSD..,65,55,10,84.61538461538461,2.447943949886615,15.34999999999978,1162.1763196241443,16.217631962414437,4.100911096003217,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,1.0,49,"{""breakout_fraction"": 0.03, ""distribution_rr"": 3.0, ""enable_distribution"": true, ""enable_fade"": false, ""fade_rr"": 3.0, ""london_window_minutes"": 240, ""max_trades_per_day"": 2, ""ny_window_minutes"": 180, ""retest_tolerance_fraction"": 0.04, ""stop_buffer_fraction"": 0.03, ""sweep_max_fraction"": 0.6, ""sweep_min_fraction"": 0.02, ""trade_london"": true, ""trade_new_york"": false, ""use_regime_filter"": false, ""volume_factor"": 0.0}",5.399303883434598
XAUUSD..,65,55,10,84.61538461538461,2.3992696124349937,14.89999999999985,1157.9701351848823,15.797013518488235,3.609428401910645,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,1.0,46,"{""breakout_fraction"": 0.03, ""distribution_rr"": 2.0, ""enable_distribution"": true, ""enable_fade"": false, ""fade_rr"": 2.0, ""london_window_minutes"": 240, ""max_trades_per_day"": 2, ""ny_window_minutes"": 180, ""retest_tolerance_fraction"": 0.04, ""stop_buffer_fraction"": 0.03, ""sweep_max_fraction"": 0.6, ""sweep_min_fraction"": 0.02, ""trade_london"": true, ""trade_new_york"": false, ""use_regime_filter"": false, ""volume_factor"": 0.0}",5.305760112466755
XAUUSD..,65,55,10,84.61538461538461,2.2508664080102827,13.099999999999334,1137.9426378660592,13.79426378660591,2.9701000000000017,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,1.0,44,"{""breakout_fraction"": 0.03, ""distribution_rr"": 1.5, ""enable_distribution"": true, ""enable_fade"": false, ""fade_rr"": 1.5, ""london_window_minutes"": 240, ""max_trades_per_day"": 2, ""ny_window_minutes"": 180, ""retest_tolerance_fraction"": 0.04, ""stop_buffer_fraction"": 0.03, ""sweep_max_fraction"": 0.6, ""sweep_min_fraction"": 0.02, ""trade_london"": true, ""trade_new_york"": false, ""use_regime_filter"": false, ""volume_factor"": 0.0}",4.957843200635919
XAUUSD..,128,101,27,78.90625,1.868377290350809,25.149999999999704,1279.030595714978,27.903059571497813,6.092315903257369,0,63,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,1.0,81,"{""breakout_fraction"": 0.03, ""distribution_rr"": 2.0, ""enable_distribution"": true, ""enable_fade"": false, ""fade_rr"": 2.0, ""london_window_minutes"": 240, ""max_trades_per_day"": 2, ""ny_window_minutes"": 180, ""retest_tolerance_fraction"": 0.04, ""stop_buffer_fraction"": 0.03, ""sweep_max_fraction"": 0.6, ""sweep_min_fraction"": 0.02, ""trade_london"": true, ""trade_new_york"": true, ""use_regime_filter"": false, ""volume_factor"": 0.0}",4.021591910538743
XAUUSD..,128,101,27,78.90625,1.854757720104411,24.437953527519536,1267.923402192931,26.79234021929311,6.092315903257395,0,63,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,1.0,88,"{""breakout_fraction"": 0.03, ""distribution_rr"": 3.0, ""enable_distribution"": true, ""enable_fade"": false, ""fade_rr"": 3.0, ""london_window_minutes"": 240, ""max_trades_per_day"": 2, ""ny_window_minutes"": 180, ""retest_tolerance_fraction"": 0.04, ""stop_buffer_fraction"": 0.03, ""sweep_max_fraction"": 0.6, ""sweep_min_fraction"": 0.02, ""trade_london"": true, ""trade_new_york"": true, ""use_regime_filter"": false, ""volume_factor"": 0.0}",3.9776641808471913
XAUUSD..,128,101,27,78.90625,1.6774964252304059,19.19999999999923,1206.8230846880986,20.68230846880985,6.092315903257384,0,63,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,1.0,78,"{""breakout_fraction"": 0.03, ""distribution_rr"": 1.5, ""enable_distribution"": true, ""enable_fade"": false, ""fade_rr"": 1.5, ""london_window_minutes"": 240, ""max_trades_per_day"": 2, ""ny_window_minutes"": 180, ""retest_tolerance_fraction"": 0.04, ""stop_buffer_fraction"": 0.03, ""sweep_max_fraction"": 0.6, ""sweep_min_fraction"": 0.02, ""trade_london"": true, ""trade_new_york"": true, ""use_regime_filter"": false, ""volume_factor"": 0.0}",3.5003770552979248
XAUUSD..,29,22,7,75.86206896551724,1.6334744785490265,4.849999999999973,1047.9152372079775,4.791523720797741,5.385892177877515,0,14,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,1.0,19,"{""breakout_fraction"": 0.03, ""distribution_rr"": 3.0, ""enable_distribution"": true, ""enable_fade"": false, ""fade_rr"": 3.0, ""london_window_minutes"": 240, ""max_trades_per_day"": 2, ""ny_window_minutes"": 180, ""retest_tolerance_fraction"": 0.04, ""stop_buffer_fraction"": 0.03, ""sweep_max_fraction"": 0.6, ""sweep_min_fraction"": 0.02, ""trade_london"": true, ""trade_new_york"": true, ""use_regime_filter"": true, ""volume_factor"": 0.0}",3.499378486135209
XAUUSD..,63,46,17,73.01587301587301,1.5763900253445187,10.249999999999854,1104.545408255082,10.454540825508207,4.887323297953113,0,63,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,1.0,35,"{""breakout_fraction"": 0.03, ""distribution_rr"": 2.0, ""enable_distribution"": true, ""enable_fade"": false, ""fade_rr"": 2.0, ""london_window_minutes"": 240, ""max_trades_per_day"": 2, ""ny_window_minutes"": 180, ""retest_tolerance_fraction"": 0.04, ""stop_buffer_fraction"": 0.03, ""sweep_max_fraction"": 0.6, ""sweep_min_fraction"": 0.02, ""trade_london"": false, ""trade_new_york"": true, ""use_regime_filter"": false, ""volume_factor"": 0.0}",3.3965091238866125
XAUUSD..,63,46,17,73.01587301587301,1.511617290339114,9.087953527519756,1090.9905672514358,9.099056725143573,4.185609532963479,0,63,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,1.0,39,"{""breakout_fraction"": 0.03, ""distribution_rr"": 3.0, ""enable_distribution"": true, ""enable_fade"": false, ""fade_rr"": 3.0, ""london_window_minutes"": 240, ""max_trades_per_day"": 2, ""ny_window_minutes"": 180, ""retest_tolerance_fraction"": 0.04, ""stop_buffer_fraction"": 0.03, ""sweep_max_fraction"": 0.6, ""sweep_min_fraction"": 0.02, ""trade_london"": false, ""trade_new_york"": true, ""use_regime_filter"": false, ""volume_factor"": 0.0}",3.246713795816709
XAUUSD..,33,26,7,78.78787878787878,1.3520148788861803,2.6000000000000822,1025.0468106539297,2.5046810653929663,3.3627432920954767,0,17,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,1.0,24,"{""breakout_fraction"": 0.03, ""distribution_rr"": 3.0, ""enable_distribution"": false, ""enable_fade"": true, ""fade_rr"": 3.0, ""london_window_minutes"": 240, ""max_trades_per_day"": 2, ""ny_window_minutes"": 180, ""retest_tolerance_fraction"": 0.04, ""stop_buffer_fraction"": 0.03, ""sweep_max_fraction"": 0.6, ""sweep_min_fraction"": 0.02, ""trade_london"": true, ""trade_new_york"": true, ""use_regime_filter"": true, ""volume_factor"": 0.0}",2.7722562295312305
