starting_balance,ending_balance,net_profit,return_pct,trades,wins,losses,win_rate,net_r,avg_r,avg_spread_r,max_drawdown_pct,timeframe
300.0,325.8,25.8,8.6,10,6,4,60.0,1.87,0.1873,0.0211,8.89,M15
300.0,327.75,27.75,9.25,9,5,4,55.56,2.05,0.2282,0.0118,6.31,M30
