symbol,range_minutes,rr,month,date,opened_at,closed_at,direction,entry,stop_loss,take_profit,exit_price,result,r_multiple,spread_r,spread_points,pnl,range_high,range_low,range_atr,risk_per_lot,lot_min,lot_max,lot_step,setup_score
US100,30,1.3333333333333333,2025-12,2025-12-30,2025-12-31 00:45:00,2025-12-31 06:15:00,SELL,25455.57,25493.07,25405.57,25405.57,win,1.2757,0.0576,216.0,50.0,25478.17,25455.57,1.1787,37.5,0.01,500.0,0.01,100
US100,30,1.3333333333333333,2026-01,2026-01-01,2026-01-02 00:45:00,2026-01-02 02:00:00,BUY,25339.57,25302.07,25389.57,25389.57,win,1.2757,0.0576,216.0,50.0,25339.57,25305.86,1.037,37.5,0.01,500.0,0.01,100
US100,30,1.3333333333333333,2026-01,2026-01-06,2026-01-07 00:30:00,2026-01-07 06:30:00,SELL,25660.51,25698.01,25610.51,25610.51,win,1.2757,0.0576,216.0,50.0,25681.42,25660.51,1.494,37.5,0.01,500.0,0.01,100
US100,30,1.3333333333333333,2026-01,2026-01-07,2026-01-08 00:30:00,2026-01-08 02:45:00,BUY,25670.83,25633.33,25720.83,25633.33,loss,-1.0576,0.0576,216.0,-37.5,25670.83,25649.59,0.9807,37.5,0.01,500.0,0.01,100
US100,30,1.3333333333333333,2026-01,2026-01-08,2026-01-09 00:30:00,2026-01-09 01:15:00,BUY,25540.05,25502.55,25590.05,25502.55,loss,-1.0576,0.0576,216.0,-37.5,25540.05,25518.19,0.8234,37.5,0.01,500.0,0.01,100
US100,30,1.3333333333333333,2026-01,2026-01-13,2026-01-14 00:30:00,2026-01-14 01:45:00,BUY,25778.15,25740.65,25828.15,25740.65,loss,-1.0576,0.0576,216.0,-37.5,25778.15,25739.61,1.5567,37.5,0.01,500.0,0.01,100
US100,30,1.3333333333333333,2026-01,2026-01-15,2026-01-16 00:30:00,2026-01-16 04:15:00,BUY,25615.79,25578.29,25665.79,25665.79,win,1.2757,0.0576,216.0,50.0,25615.79,25593.75,0.7678,37.5,0.01,500.0,0.01,100
US100,30,1.3333333333333333,2026-01,2026-01-20,2026-01-21 00:30:00,2026-01-21 01:15:00,BUY,25034.87,24997.37,25084.87,25084.87,win,1.2821,0.0512,192.0,50.0,25034.87,24992.57,1.1979,37.5,0.01,500.0,0.01,100
US100,30,1.3333333333333333,2026-01,2026-01-21,2026-01-22 01:15:00,2026-01-22 05:30:00,BUY,25459.79,25422.29,25509.79,25422.29,loss,-1.0576,0.0576,216.0,-37.5,25459.79,25416.95,0.7656,37.5,0.01,500.0,0.01,100
US100,30,1.3333333333333333,2026-01,2026-01-22,2026-01-23 00:30:00,2026-01-23 02:15:00,BUY,25518.57,25481.07,25568.57,25568.57,win,1.2757,0.0576,216.0,50.0,25518.57,25477.89,1.1419,37.5,0.01,500.0,0.01,100
US100,30,1.3333333333333333,2026-01,2026-01-27,2026-01-28 00:30:00,2026-01-28 01:00:00,BUY,26063.11,26025.61,26113.11,26113.11,win,1.2757,0.0576,216.0,50.0,26063.11,26027.71,1.7603,37.5,0.01,500.0,0.01,100
US100,30,1.3333333333333333,2026-01,2026-01-28,2026-01-29 01:15:00,2026-01-29 01:15:00,SELL,25997.37,26034.87,25947.37,26034.87,loss,-1.0576,0.0576,216.0,-37.5,26072.83,25997.37,1.0741,37.5,0.01,500.0,0.01,100
US100,30,1.3333333333333333,2026-01,2026-01-29,2026-01-30 00:30:00,2026-01-30 00:30:00,BUY,25882.66,25845.16,25932.66,25845.16,loss,-1.0576,0.0576,216.0,-37.5,25882.66,25798.85,1.3423,37.5,0.01,500.0,0.01,100
US100,30,1.3333333333333333,2026-02,2026-02-03,2026-02-04 00:45:00,2026-02-04 01:00:00,SELL,25300.15,25337.65,25250.15,25337.65,loss,-1.0576,0.0576,216.0,-37.5,25343.92,25300.15,0.7812,37.5,0.01,500.0,0.01,100
US100,30,1.3333333333333333,2026-02,2026-02-04,2026-02-05 00:30:00,2026-02-05 02:00:00,BUY,25034.86,24997.36,25084.86,24997.36,loss,-1.0576,0.0576,216.0,-37.5,25034.86,24945.85,1.0509,37.5,0.01,500.0,0.01,100
US100,30,1.3333333333333333,2026-02,2026-02-05,2026-02-06 00:30:00,2026-02-06 01:00:00,BUY,24295.74,24258.24,24345.74,24345.74,win,1.2757,0.0576,216.0,50.0,24295.74,24161.85,1.4774,37.5,0.01,500.0,0.01,100
US100,30,1.3333333333333333,2026-02,2026-02-10,2026-02-11 00:30:00,2026-02-11 03:45:00,BUY,25215.56,25178.06,25265.56,25265.56,win,1.2757,0.0576,216.0,50.0,25215.56,25196.27,0.7036,37.5,0.01,500.0,0.01,100
US100,30,1.3333333333333333,2026-02,2026-02-11,2026-02-12 00:30:00,2026-02-12 01:30:00,BUY,25186.33,25148.83,25236.33,25236.33,win,1.2821,0.0512,192.0,50.0,25186.33,25146.45,1.1903,37.5,0.01,500.0,0.01,100
US100,30,1.3333333333333333,2026-02,2026-02-12,2026-02-13 00:30:00,2026-02-13 00:45:00,SELL,24698.07,24735.57,24648.07,24648.07,win,1.2821,0.0512,192.0,50.0,24795.64,24698.07,1.7651,37.5,0.01,500.0,0.01,100
US100,30,1.3333333333333333,2026-02,2026-02-17,2026-02-18 02:00:00,2026-02-18 04:00:00,BUY,24698.72,24661.22,24748.72,24748.72,win,1.2821,0.0512,192.0,50.0,24698.72,24652.9,1.0453,37.5,0.01,500.0,0.01,100
US100,30,1.3333333333333333,2026-02,2026-02-18,2026-02-19 01:00:00,2026-02-19 07:00:00,BUY,24912.21,24874.71,24962.21,24962.21,win,1.2821,0.0512,192.0,50.0,24912.21,24855.6,1.2851,37.5,0.01,500.0,0.01,100
US100,30,1.3333333333333333,2026-02,2026-02-19,2026-02-20 00:30:00,2026-02-20 05:30:00,BUY,24842.44,24804.94,24892.44,24892.44,win,1.2821,0.0512,192.0,50.0,24842.44,24805.77,1.1217,37.5,0.01,500.0,0.01,100
US100,30,1.3333333333333333,2026-02,2026-02-26,2026-02-27 00:30:00,2026-02-27 02:45:00,SELL,24947.07,24984.57,24897.07,24984.57,loss,-1.0576,0.0576,216.0,-37.5,24991.82,24947.07,1.2309,37.5,0.01,500.0,0.01,100
US100,30,1.3333333333333333,2026-03,2026-03-03,2026-03-04 01:15:00,2026-03-04 01:15:00,SELL,24660.03,24697.53,24610.03,24697.53,loss,-1.0512,0.0512,192.0,-37.5,24786.15,24660.03,2.3959,37.5,0.01,500.0,0.01,95
US100,30,1.3333333333333333,2026-03,2026-03-04,2026-03-05 01:15:00,2026-03-05 01:30:00,SELL,25146.46,25183.96,25096.46,25096.46,win,1.2757,0.0576,216.0,50.0,25228.8,25146.46,2.3729,37.5,0.01,500.0,0.01,95
US100,30,1.3333333333333333,2026-03,2026-03-05,2026-03-06 01:15:00,2026-03-06 02:00:00,SELL,25042.73,25080.23,24992.73,25080.23,loss,-1.0512,0.0512,192.0,-37.5,25080.72,25042.73,0.7403,37.5,0.01,500.0,0.01,100
US100,30,1.3333333333333333,2026-03,2026-03-10,2026-03-10 23:45:00,2026-03-11 00:00:00,BUY,24992.29,24954.79,25042.29,25042.29,win,1.2821,0.0512,192.0,50.0,24992.29,24961.24,0.6576,37.5,0.01,500.0,0.01,100
US100,30,1.3333333333333333,2026-03,2026-03-11,2026-03-11 23:30:00,2026-03-11 23:30:00,SELL,24796.29,24833.79,24746.29,24746.29,win,1.2757,0.0576,216.0,50.0,24852.32,24796.29,1.4032,37.5,0.01,500.0,0.01,100
US100,30,1.3333333333333333,2026-03,2026-03-12,2026-03-12 23:30:00,2026-03-13 00:00:00,SELL,24562.4,24599.9,24512.4,24512.4,win,1.2757,0.0576,216.0,50.0,24612.54,24562.4,1.2542,37.5,0.01,500.0,0.01,100
US100,30,1.3333333333333333,2026-03,2026-03-17,2026-03-18 00:00:00,2026-03-18 00:45:00,BUY,24823.37,24785.87,24873.37,24873.37,win,1.2821,0.0512,192.0,50.0,24823.37,24795.24,1.4037,37.5,0.01,500.0,0.01,100
US100,30,1.3333333333333333,2026-03,2026-03-18,2026-03-18 23:30:00,2026-03-19 02:00:00,BUY,24427.29,24389.79,24477.29,24477.29,win,1.2821,0.0512,192.0,50.0,24427.29,24397.03,0.6165,37.5,0.01,500.0,0.01,100
US100,30,1.3333333333333333,2026-03,2026-03-19,2026-03-19 23:30:00,2026-03-20 01:30:00,SELL,24416.91,24454.41,24366.91,24454.41,loss,-1.0512,0.0512,192.0,-37.5,24466.37,24416.91,0.9078,37.5,0.01,500.0,0.01,100
US100,30,1.3333333333333333,2026-03,2026-03-26,2026-03-26 23:30:00,2026-03-27 00:15:00,BUY,23701.58,23664.08,23751.58,23664.08,loss,-1.0512,0.0512,192.0,-37.5,23701.58,23663.95,0.5806,37.5,0.01,500.0,0.01,100
US100,30,1.3333333333333333,2026-03,2026-03-31,2026-03-31 23:30:00,2026-03-31 23:45:00,BUY,23823.14,23785.64,23873.14,23873.14,win,1.2821,0.0512,192.0,50.0,23823.14,23782.91,0.8752,37.5,0.01,500.0,0.01,100
