month,day,symbol,side,leg,legs,entry_time,exit_time,entry,sl,initial_sl,tp,exit_price,lot,pnl,balance_after,exit_kind,execution_mode
2025-06,2025-06-02,CL-OIL-VIP,buy,1,1,2025-06-02T15:40:00+00:00,2025-06-02T18:00:00+00:00,62.865,62.17813,62.17813,63.95775,62.295,0.1,-57.0,943.0,regime,silver_optimized
2025-06,2025-06-04,CL-OIL-VIP,buy,1,1,2025-06-04T13:00:00+00:00,2025-06-04T13:20:00+00:00,63.555,63.09332,63.09332,64.2895,63.21923,0.1,-33.58,909.42,trail,silver_optimized
2025-06,2025-06-09,CL-OIL-VIP,buy,1,1,2025-06-09T14:00:00+00:00,2025-06-09T15:20:00+00:00,64.72,64.32642,64.32642,65.34615,64.94876,0.1,22.88,932.3,trail,silver_optimized
2025-06,2025-06-27,CL-OIL-VIP,buy,1,1,2025-06-27T11:40:00+00:00,2025-06-27T12:20:00+00:00,65.75,65.35653,65.35653,66.37597,65.565,0.1,-18.5,913.8,regime,silver_optimized
2025-06,2025-06-27,CL-OIL-VIP,buy,1,1,2025-06-27T13:00:00+00:00,2025-06-27T13:40:00+00:00,65.825,65.40383,65.40383,66.49505,65.66369,0.1,-16.13,897.67,trail,silver_optimized
2025-07,2025-07-02,CL-OIL-VIP,buy,1,1,2025-07-02T15:00:00+00:00,2025-07-02T15:40:00+00:00,65.935,65.458,65.458,66.69386,66.32809,0.1,39.31,936.98,trail,silver_optimized
2025-07,2025-07-09,CL-OIL-VIP,buy,1,1,2025-07-09T14:40:00+00:00,2025-07-09T18:00:00+00:00,68.345,67.87112,67.87112,69.0989,68.49036,0.1,14.54,951.52,trail,silver_optimized
2025-07,2025-07-24,CL-OIL-VIP,buy,1,1,2025-07-24T12:20:00+00:00,2025-07-24T13:00:00+00:00,65.935,65.50942,65.50942,66.61206,65.97,0.1,3.5,955.02,regime,silver_optimized
2025-07,2025-07-24,CL-OIL-VIP,buy,1,1,2025-07-24T11:40:00+00:00,2025-07-24T13:20:00+00:00,65.78,65.37046,65.37046,66.43154,65.87715,0.1,9.72,964.74,trail,silver_optimized
2025-07,2025-07-24,CL-OIL-VIP,buy,1,1,2025-07-24T13:40:00+00:00,2025-07-24T15:00:00+00:00,65.995,65.50685,65.50685,66.7716,66.065,0.1,7.0,971.74,regime,silver_optimized
2025-07,2025-07-30,CL-OIL-VIP,buy,1,1,2025-07-30T11:40:00+00:00,2025-07-30T12:00:00+00:00,68.925,68.50346,68.50346,69.59563,69.23342,0.1,30.84,1002.58,trail,silver_optimized
2025-07,2025-07-30,CL-OIL-VIP,buy,1,1,2025-07-30T12:00:00+00:00,2025-07-30T12:20:00+00:00,69.29,68.80193,68.80193,70.06648,69.27004,0.1,-2.0,1000.58,trail,silver_optimized
2025-08,2025-08-13,CL-OIL-VIP,sell,1,1,2025-08-13T13:40:00+00:00,2025-08-13T14:20:00+00:00,62.875,63.28142,63.28142,62.22843,62.815,0.1,6.0,1006.58,regime,silver_optimized
2025-08,2025-08-19,CL-OIL-VIP,sell,1,1,2025-08-19T14:20:00+00:00,2025-08-19T15:00:00+00:00,62.055,62.47222,62.47222,61.39124,62.135,0.1,-8.0,998.58,regime,silver_optimized
