month,day,symbol,side,leg,legs,entry_time,exit_time,entry,sl,initial_sl,tp,exit_price,lot,pnl,balance_after,exit_kind,execution_mode
2025-05,2025-05-28,XAGUSD-VIP,sell,1,1,2025-05-28T20:44:00+00:00,2025-05-28T20:48:00+00:00,32.974,33.01277,33.01277,32.91261,32.91908,0.1,27.46,1027.46,trail,silver_optimized
2025-05,2025-05-28,XAGUSD-VIP,sell,1,1,2025-05-28T23:00:00+00:00,2025-05-28T23:08:00+00:00,32.944,32.99173,32.99173,32.86843,32.8948,0.1,24.6,1052.06,trail,silver_optimized
2025-05,2025-05-29,XAGUSD-VIP,sell,1,1,2025-05-29T00:16:00+00:00,2025-05-29T00:24:00+00:00,32.833,32.95696,32.95696,32.63673,32.877,0.1,-22.0,1030.06,regime,silver_optimized
2025-05,2025-05-29,XAGUSD-VIP,sell,1,1,2025-05-29T01:00:00+00:00,2025-05-29T01:08:00+00:00,32.899,33.01659,33.01659,32.71282,32.937,0.1,-19.0,1011.06,regime,silver_optimized
2025-05,2025-05-29,XAGUSD-VIP,sell,1,1,2025-05-29T01:12:00+00:00,2025-05-29T01:20:00+00:00,32.904,33.03426,33.03426,32.69775,32.953,0.1,-24.5,986.56,regime,silver_optimized
2025-05,2025-05-29,XAUUSD-VIP,sell,1,1,2025-05-29T06:05:00+00:00,2025-05-29T06:15:00+00:00,3270.43,3276.55557,3276.55557,3260.62909,3272.79,0.1,-23.6,962.96,regime,silver_optimized
2025-05,2025-05-30,XAGUSD-VIP,sell,1,1,2025-05-30T00:04:00+00:00,2025-05-30T01:00:00+00:00,33.254,33.29152,33.29152,33.19459,33.23314,0.1,10.43,973.39,trail,silver_optimized
2025-05,2025-05-30,XAGUSD-VIP,sell,1,1,2025-05-30T05:04:00+00:00,2025-05-30T05:12:00+00:00,32.975,33.0276,33.0276,32.89171,32.987,0.1,-6.0,967.39,regime,silver_optimized
2025-05,2025-05-30,XAUUSD-VIP,sell,1,1,2025-05-30T06:05:00+00:00,2025-05-30T06:10:00+00:00,3295.87,3301.6638,3301.6638,3286.59993,3295.86535,0.1,0.05,967.44,trail,silver_optimized
2025-05,2025-05-30,XAUUSD-VIP,sell,1,1,2025-05-30T06:40:00+00:00,2025-05-30T06:50:00+00:00,3295.88,3302.22781,3302.22781,3285.72351,3300.94,0.1,-50.6,916.84,regime,silver_optimized
