symbol,config,side,pivot_time,entry_time,exit_time,entry,initial_stop,exit,exit_reason,bars_held,result_r,risk_pct,applied_risk_pct,loss_streak_before,risk_cash,pnl_cash,balance,drawdown_pct
XAUUSD,trail_start_1.5R_distance_1R_cap_1.7R,sell,2025-08-14T00:00:00+00:00,2025-08-15T00:00:00+00:00,2025-08-22T16:00:00+00:00,3336.21,3375.01,3375.01,stop,34,-1.0,0.5,0.5,0,125.0,-125.0,24875.0,0.5
XAUUSD,trail_start_1.5R_distance_1R_cap_1.7R,buy,2025-08-22T12:00:00+00:00,2025-08-25T12:00:00+00:00,2025-08-29T16:00:00+00:00,3364.14,3321.4,3436.7979999999993,target,25,1.6999999999999957,0.5,0.5,1,124.375,211.43749999999946,25086.4375,0.0
XAUUSD,trail_start_1.5R_distance_1R_cap_1.7R,buy,2025-09-04T04:00:00+00:00,2025-09-05T04:00:00+00:00,2025-09-08T12:00:00+00:00,3552.39,3511.1,3622.5829999999996,target,8,1.6999999999999955,0.5,0.5,0,125.4321875,213.23471874999944,25299.672218749998,0.0
XAUUSD,trail_start_1.5R_distance_1R_cap_1.7R,buy,2025-09-10T00:00:00+00:00,2025-09-11T00:00:00+00:00,2025-09-11T12:00:00+00:00,3642.27,3618.92,3618.92,stop,3,-1.0,0.5,0.5,0,126.49836109374999,-126.49836109374999,25173.17385765625,0.4999999999999954
XAUUSD,trail_start_1.5R_distance_1R_cap_1.7R,buy,2025-09-11T12:00:00+00:00,2025-09-12T12:00:00+00:00,2025-09-16T04:00:00+00:00,3641.23,3614.09,3687.368,target,10,1.700000000000005,0.5,0.5,1,125.86586928828125,213.97197779007877,25387.14583544633,0.0
XAUUSD,trail_start_1.5R_distance_1R_cap_1.7R,buy,2025-09-18T16:00:00+00:00,2025-09-19T16:00:00+00:00,2025-09-22T00:00:00+00:00,3649.29,3627.92,3685.6189999999997,target,2,1.6999999999999957,0.5,0.5,0,126.93572917723164,215.79073960129324,25602.93657504762,0.0
XAUUSD,trail_start_1.5R_distance_1R_cap_1.7R,buy,2025-09-24T20:00:00+00:00,2025-09-25T20:00:00+00:00,2025-09-26T16:00:00+00:00,3733.92,3717.44,3761.936,target,5,1.7000000000000028,0.5,0.5,0,128.0146828752381,217.62496088790513,25820.561535935525,0.0
XAUUSD,trail_start_1.5R_distance_1R_cap_1.7R,buy,2025-09-30T12:00:00+00:00,2025-10-01T12:00:00+00:00,2025-10-09T20:00:00+00:00,3893.16,3793.13,3956.4800000000005,stop,38,0.6330100969709165,0.5,0.5,0,129.10280767967762,81.72338080853031,25902.284916744054,0.0
XAUUSD,trail_start_1.5R_distance_1R_cap_1.7R,buy,2025-10-09T20:00:00+00:00,2025-10-10T20:00:00+00:00,2025-10-13T00:00:00+00:00,3983.59,3943.43,4051.8620000000005,target,1,1.6999999999999966,0.5,0.5,0,129.51142458372027,220.16942179232402,26122.45433853638,0.0
XAUUSD,trail_start_1.5R_distance_1R_cap_1.7R,buy,2025-10-17T20:00:00+00:00,2025-10-20T20:00:00+00:00,2025-10-21T16:00:00+00:00,4348.06,4186.03,4186.03,stop,5,-1.0,0.5,0.5,0,130.6122716926819,-130.6122716926819,25991.8420668437,0.4999999999999936
XAUUSD,trail_start_1.5R_distance_1R_cap_1.7R,buy,2025-10-22T00:00:00+00:00,2025-10-23T00:00:00+00:00,2025-10-27T16:00:00+00:00,4095.83,4003.74,4003.74,stop,16,-1.0,0.5,0.5,1,129.95921033421848,-129.95921033421848,25861.88285650948,0.9974999999999932
XAUUSD,trail_start_1.5R_distance_1R_cap_1.7R,buy,2025-10-30T04:00:00+00:00,2025-10-31T04:00:00+00:00,2025-11-13T04:00:00+00:00,4025.48,3915.41,4212.599,target,54,1.6999999999999988,0.5,0.5,2,129.3094142825474,219.82600428033044,26081.70886078981,0.15597874999999387
XAUUSD,trail_start_1.5R_distance_1R_cap_1.7R,buy,2025-11-14T16:00:00+00:00,2025-11-17T16:00:00+00:00,2025-11-17T20:00:00+00:00,4065.52,4032.21,4032.21,stop,1,-1.0,0.5,0.5,0,130.40854430394904,-130.40854430394904,25951.300316485864,0.6551988562499882
XAUUSD,trail_start_1.5R_distance_1R_cap_1.7R,buy,2025-11-18T08:00:00+00:00,2025-11-19T08:00:00+00:00,2025-12-01T12:00:00+00:00,4095.7,3997.96,4261.857999999999,target,47,1.6999999999999982,0.5,0.5,1,129.7565015824293,220.58605269012958,26171.886369175994,0.0
XAUUSD,trail_start_1.5R_distance_1R_cap_1.7R,buy,2025-12-02T16:00:00+00:00,2025-12-03T16:00:00+00:00,2025-12-18T16:00:00+00:00,4237.42,4163.32,4363.39,target,66,1.699999999999995,0.5,0.5,0,130.85943184587998,222.4610341379953,26394.34740331399,0.0
XAUUSD,trail_start_1.5R_distance_1R_cap_1.7R,buy,2025-12-18T16:00:00+00:00,2025-12-19T16:00:00+00:00,2025-12-22T00:00:00+00:00,4328.61,4308.71,4362.439999999999,target,2,1.6999999999999817,0.5,0.5,0,131.97173701656996,224.35195292816653,26618.699356242156,0.0
XAUUSD,trail_start_1.5R_distance_1R_cap_1.7R,buy,2025-12-24T16:00:00+00:00,2025-12-26T16:00:00+00:00,2025-12-29T08:00:00+00:00,4525.35,4448.32,4448.32,stop,4,-1.0,0.5,0.5,0,133.09349678121077,-133.09349678121077,26485.605859460946,0.499999999999997
XAUUSD,trail_start_1.5R_distance_1R_cap_1.7R,buy,2025-12-29T16:00:00+00:00,2025-12-30T16:00:00+00:00,2025-12-31T04:00:00+00:00,4388.68,4303.01,4303.01,stop,3,-1.0,0.5,0.5,1,132.42802929730473,-132.42802929730473,26353.17783016364,0.9974999999999993
XAUUSD,trail_start_1.5R_distance_1R_cap_1.7R,buy,2025-12-31T08:00:00+00:00,2026-01-02T08:00:00+00:00,2026-01-12T00:00:00+00:00,4380.97,4274.66,4561.697000000001,target,34,1.7000000000000008,0.5,0.5,2,131.7658891508182,224.00201155639104,26577.17984172003,0.1559787500000053
XAUUSD,trail_start_1.5R_distance_1R_cap_1.7R,buy,2026-01-13T20:00:00+00:00,2026-01-14T20:00:00+00:00,2026-01-16T16:00:00+00:00,4614.14,4569.26,4569.26,stop,11,-1.0,0.5,0.5,0,132.88589920860014,-132.88589920860014,26444.29394251143,0.6551988562500004
XAUUSD,trail_start_1.5R_distance_1R_cap_1.7R,buy,2026-01-16T16:00:00+00:00,2026-01-19T16:00:00+00:00,2026-01-21T08:00:00+00:00,4666.37,4536.54,4887.081,target,10,1.7000000000000028,0.5,0.5,1,132.22146971255717,224.77649851134757,26669.070441022777,0.0
XAUUSD,trail_start_1.5R_distance_1R_cap_1.7R,buy,2026-01-21T20:00:00+00:00,2026-01-22T20:00:00+00:00,2026-01-27T20:00:00+00:00,4904.59,4755.95,5157.278,target,18,1.6999999999999968,0.5,0.5,0,133.3453522051139,226.68709874869322,26895.75753977147,0.0
XAUUSD,trail_start_1.5R_distance_1R_cap_1.7R,buy,2026-02-02T08:00:00+00:00,2026-02-03T08:00:00+00:00,2026-03-18T08:00:00+00:00,4825.48,4402.4,4986.98,opposite_signal,186,0.38172449654911605,0.5,0.5,0,134.47878769885736,51.33384753088178,26947.091387302353,0.0
XAUUSD,trail_start_1.5R_distance_1R_cap_1.7R,sell,2026-03-17T08:00:00+00:00,2026-03-18T08:00:00+00:00,2026-03-18T12:00:00+00:00,4986.98,5044.68,4888.8899999999985,target,1,1.6999999999999968,0.5,0.5,0,134.73545693651175,229.05027679206955,27176.141664094423,0.0
XAUUSD,trail_start_1.5R_distance_1R_cap_1.7R,sell,2026-03-25T04:00:00+00:00,2026-03-26T04:00:00+00:00,2026-03-26T08:00:00+00:00,4535.67,4602.85,4421.464,target,1,1.6999999999999946,0.5,0.5,0,135.8807083204721,230.99720414480186,27407.138868239224,0.0
XAUUSD,trail_start_1.5R_distance_1R_cap_1.7R,sell,2026-04-02T00:00:00+00:00,2026-04-06T00:00:00+00:00,2026-04-08T00:00:00+00:00,4667.81,4800.61,4800.61,stop,12,-1.0,0.5,0.5,0,137.03569434119612,-137.03569434119612,27270.103173898027,0.5000000000000034
XAUUSD,trail_start_1.5R_distance_1R_cap_1.7R,sell,2026-04-08T00:00:00+00:00,2026-04-09T00:00:00+00:00,2026-04-15T04:00:00+00:00,4720.31,4857.64,4857.64,stop,25,-1.0,0.5,0.5,1,136.35051586949012,-136.35051586949012,27133.752658028538,0.997500000000002
XAUUSD,trail_start_1.5R_distance_1R_cap_1.7R,buy,2026-04-20T00:00:00+00:00,2026-04-21T00:00:00+00:00,2026-04-21T16:00:00+00:00,4821.5,4737.07,4737.07,stop,4,-1.0,0.5,0.5,2,135.6687632901427,-135.6687632901427,26998.083894738396,1.4925124999999968
XAUUSD,trail_start_1.5R_distance_1R_cap_1.7R,sell,2026-04-21T00:00:00+00:00,2026-04-22T00:00:00+00:00,2026-04-29T16:00:00+00:00,4720.85,4833.23,4529.804000000002,target,34,1.6999999999999984,0.5,0.5,3,134.990419473692,229.48371310527617,27227.567607843674,0.6551988562499934
XAUUSD,trail_start_1.5R_distance_1R_cap_1.7R,sell,2026-04-30T12:00:00+00:00,2026-05-01T12:00:00+00:00,2026-05-01T16:00:00+00:00,4569.21,4647.14,4647.14,stop,1,-1.0,0.5,0.5,0,136.13783803921837,-136.13783803921837,27091.429769804454,1.1519228619687487
XAUUSD,trail_start_1.5R_distance_1R_cap_1.7R,sell,2026-05-01T16:00:00+00:00,2026-05-04T16:00:00+00:00,2026-05-06T08:00:00+00:00,4568.32,4660.46,4660.46,stop,10,-1.0,0.5,0.5,1,135.45714884902227,-135.45714884902227,26955.972620955432,1.6461632476589037
XAUUSD,trail_start_1.5R_distance_1R_cap_1.7R,sell,2026-05-07T16:00:00+00:00,2026-05-08T16:00:00+00:00,2026-05-11T00:00:00+00:00,4724.4,4764.96,4683.16,opposite_signal,2,1.0167652859960399,0.5,0.5,2,134.77986310477715,137.03948605623583,27093.01210701167,1.1461494128873884
XAUUSD,trail_start_1.5R_distance_1R_cap_1.7R,buy,2026-05-08T00:00:00+00:00,2026-05-11T00:00:00+00:00,2026-05-11T00:00:00+00:00,4683.16,4677.51,4677.51,stop,0,-1.0,0.5,0.5,0,135.46506053505834,-135.46506053505834,26957.54704647661,1.6404186658229503
XAUUSD,trail_start_1.5R_distance_1R_cap_1.7R,sell,2026-05-08T16:00:00+00:00,2026-05-11T16:00:00+00:00,2026-05-12T00:00:00+00:00,4699.93,4749.56,4749.56,stop,2,-1.0,0.5,0.5,1,134.78773523238306,-134.78773523238306,26822.759311244226,2.132216572493842
XAUUSD,trail_start_1.5R_distance_1R_cap_1.7R,buy,2026-05-11T08:00:00+00:00,2026-05-12T08:00:00+00:00,2026-05-12T16:00:00+00:00,4714.37,4648.09,4648.09,stop,2,-1.0,0.5,0.5,2,134.11379655622113,-134.11379655622113,26688.645514688003,2.6215554896313797
XAUUSD,trail_start_1.5R_distance_1R_cap_1.7R,sell,2026-05-12T00:00:00+00:00,2026-05-13T00:00:00+00:00,2026-05-15T04:00:00+00:00,4711.66,4773.67,4606.2429999999995,target,13,1.7,0.5,0.5,3,133.44322757344003,226.85348687484804,26915.49900156285,1.7938387112932517
XAUUSD,trail_start_1.5R_distance_1R_cap_1.7R,sell,2026-05-14T08:00:00+00:00,2026-05-15T08:00:00+00:00,2026-05-27T16:00:00+00:00,4605.93,4718.97,4413.762000000001,target,50,1.6999999999999975,0.5,0.5,0,134.57749500781426,228.78174151328392,27144.280743076135,0.9590863403392417
XAUUSD,trail_start_1.5R_distance_1R_cap_1.7R,sell,2026-05-29T16:00:00+00:00,2026-06-01T16:00:00+00:00,2026-06-05T16:00:00+00:00,4502.76,4595.55,4345.017,target,24,1.7000000000000048,0.5,0.5,0,135.7214037153807,230.72638631614782,27375.00712939228,0.11723857423212905
XAUUSD,trail_start_1.5R_distance_1R_cap_1.7R,sell,2026-06-09T16:00:00+00:00,2026-06-10T16:00:00+00:00,2026-06-15T16:00:00+00:00,4147.06,4363.7,4363.7,stop,18,-1.0,0.5,0.5,0,136.8750356469614,-136.8750356469614,27238.13209374532,0.6166523813609665
XAUUSD,trail_start_1.5R_distance_1R_cap_1.7R,sell,2026-06-15T16:00:00+00:00,2026-06-16T16:00:00+00:00,2026-06-16T16:00:00+00:00,4354.39,4369.73,4328.312000000002,target,0,1.699999999999994,0.5,0.5,1,136.1906604687266,231.5241227968344,27469.656216542153,0.0
XAUUSD,trail_start_1.5R_distance_1R_cap_1.7R,sell,2026-06-17T20:00:00+00:00,2026-06-18T20:00:00+00:00,2026-06-30T04:00:00+00:00,4219.92,4382.41,3943.6870000000004,target,43,1.7000000000000006,0.5,0.5,0,137.34828108271077,233.4920778406084,27703.14829438276,0.0
XAUUSD,trail_start_1.5R_distance_1R_cap_1.7R,sell,2026-06-30T16:00:00+00:00,2026-07-01T16:00:00+00:00,2026-07-01T16:00:00+00:00,4023.07,4063.6,4063.6,stop,0,-1.0,0.5,0.5,0,138.5157414719138,-138.5157414719138,27564.632552910847,0.5000000000000014
XAUUSD,trail_start_1.5R_distance_1R_cap_1.7R,sell,2026-07-06T04:00:00+00:00,2026-07-07T04:00:00+00:00,2026-07-08T12:00:00+00:00,4146.06,4203.25,4048.837000000001,target,8,1.7000000000000033,0.5,0.5,1,137.82316276455424,234.29937669974265,27798.93192961059,0.0
XAUUSD,trail_start_1.5R_distance_1R_cap_1.7R,sell,2026-07-07T16:00:00+00:00,2026-07-08T16:00:00+00:00,2026-07-31T20:00:00+00:00,4072.18,4180.7,4046.83,end_of_period,103,0.23359749354957532,0.5,0.5,0,138.99465964805296,32.46880411056147,27831.40073372115,0.0
