entry_time,previous_time,gap_hours,days_to_month_end,previous_future_close,entry_future,previous_spot_close,entry_spot,spot_move,basis_open,basis_mean,basis_std,basis_z,direction
2024-09-08 22:00:00+00:00,2024-09-06 20:00:00+00:00,50.0,22,53055.0,54565.0,52827.2890625,54464.77734375,0.030997015184949017,0.0018401370782707982,0.003766670620167437,0.001152507813818366,-1.6716012844319494,0
2024-09-15 22:00:00+00:00,2024-09-13 20:00:00+00:00,50.0,15,60145.0,59920.0,59947.96484375,59642.32421875,-0.005098432045134937,0.004655683441033842,0.003519192768863389,0.0010802361397117086,1.0520761437159079,0
2024-09-22 22:00:00+00:00,2024-09-20 20:00:00+00:00,50.0,8,62945.0,62935.0,62837.63671875,62825.37890625,-0.00019507118886197272,0.0017448536826747407,0.0017045339136298643,0.0009396791430134519,0.04290801742770961,0
2024-10-06 22:00:00+00:00,2024-10-04 20:00:00+00:00,50.0,25,62720.0,62675.0,62449.66796875,62308.5546875,-0.0022596322100641997,0.005881139665939283,0.0040409067863526795,0.001031760429739237,1.7835854395498545,0
2024-10-13 22:00:00+00:00,2024-10-11 20:00:00+00:00,50.0,18,63280.0,63150.0,63020.0234375,62895.58984375,-0.001974508845960843,0.004044960177367329,0.0031193958599246637,0.000979784390138807,0.9446612201196022,0
2024-10-20 22:00:00+00:00,2024-10-18 20:00:00+00:00,50.0,11,68540.0,69295.0,68410.046875,68752.5546875,0.005006688756197475,0.00788982045780795,0.003267951467654513,0.0009733326666451351,4.748498790330349,-1
2024-11-03 23:00:00+00:00,2024-11-01 20:00:00+00:00,51.0,27,69620.0,69000.0,69190.09375,68756.09375,-0.006272574244055029,0.0035474128429524576,0.009621443846177736,0.002209828901915634,-2.748643118007862,1
2024-11-10 23:00:00+00:00,2024-11-08 21:00:00+00:00,50.0,20,77100.0,81210.0,76506.5546875,80385.390625,0.0506993937100364,0.010258199513476507,0.007246412679698602,0.0018332213516296285,1.642893167865735,-1
2024-11-17 23:00:00+00:00,2024-11-15 21:00:00+00:00,50.0,13,92260.0,90195.0,91668.015625,89536.2421875,-0.02325536800339134,0.007357443158274135,0.006600969381712889,0.0019606712826938173,0.385823867181809,0
2024-12-01 23:00:00+00:00,2024-11-29 17:30:00+00:00,53.5,30,98345.0,98875.0,97158.4296875,97623.84375,0.004790259208562242,0.012816092892265374,0.0019956552203038726,0.0032796186807837364,3.299297487040695,0
2024-12-08 23:00:00+00:00,2024-12-06 21:00:00+00:00,50.0,23,101580.0,101300.0,100548.515625,100291.34375,-0.0025576894238711345,0.010057261297787834,0.009938391333608741,0.0020721289298997678,0.057366104234084996,0
2024-12-15 23:00:00+00:00,2024-12-13 21:00:00+00:00,50.0,16,101840.0,103670.0,101414.6484375,103247.34375,0.018071307653641844,0.004093628316709008,0.005774796939825047,0.001119206118636184,-1.5021081417644842,0
2024-12-22 23:00:00+00:00,2024-12-20 21:00:00+00:00,50.0,9,96770.0,95730.0,96542.8046875,95459.7109375,-0.011218793088784484,0.002831446479834465,0.0035580397402732475,0.0019827485964741824,-0.36645758404814655,0
2025-01-02 05:00:00+00:00,2024-12-31 21:00:00+00:00,32.0,29,94420.0,96025.0,93746.2421875,95515.953125,0.018877673346739954,0.005329443494468622,0.007227713076262674,0.0032033998194737514,-0.592579661849983,0
2025-01-05 23:00:00+00:00,2025-01-03 21:00:00+00:00,50.0,26,99140.0,99450.0,98252.515625,98673.53125,0.0042850365949600455,0.007869068231000309,0.008281912941165372,0.00123688928674208,-0.33377660764811085,0
2025-01-12 23:00:00+00:00,2025-01-10 21:00:00+00:00,50.0,19,95020.0,94500.0,94697.40625,94055.7109375,-0.006776271261389466,0.004723679807122183,0.005209225802001734,0.0024919165648799963,-0.1948484157626414,0
2025-01-19 23:00:00+00:00,2025-01-17 21:00:00+00:00,50.0,12,105120.0,103510.0,104668.9765625,102608.9765625,-0.019681094319002224,0.008781136579714133,0.004335784789810452,0.0009187724083646969,4.838360130792202,0
2025-02-02 23:00:00+00:00,2025-01-31 21:00:00+00:00,50.0,26,102530.0,98445.0,102110.6015625,97869.859375,-0.04153087066972494,0.005876585791303457,0.002050622233557371,0.0031010004323635595,1.2337836260248325,0
2025-02-09 23:00:00+00:00,2025-02-07 21:00:00+00:00,50.0,19,96240.0,95990.0,95993.8359375,95876.4453125,-0.0012228975314251267,0.0011843856656332807,0.004755156665334986,0.001059777510066472,-3.369359102060712,0
2025-02-16 23:00:00+00:00,2025-02-14 21:00:00+00:00,50.0,12,97845.0,97110.0,97487.7890625,96876.203125,-0.006273461972841621,0.0024133571244358,0.0029829429706245214,0.0009245622812592559,-0.6160600077832987,1
2025-03-02 23:00:00+00:00,2025-02-28 21:00:00+00:00,50.0,29,84830.0,95000.0,84189.390625,94288.296875,0.11995461868803625,0.007548159724886316,0.0005318495503358278,0.002413953602197127,2.906563808088274,-1
2025-03-09 22:00:00+00:00,2025-03-07 21:00:00+00:00,49.0,22,86430.0,82110.0,86367.4453125,81810.984375,-0.052756694620450295,0.0036549569386599146,0.004243419902392366,0.0015587076370513343,-0.377532610827306,0
2025-03-16 22:00:00+00:00,2025-03-14 20:00:00+00:00,50.0,15,84405.0,82945.0,84184.984375,82733.265625,-0.01724439056178184,0.002559241115414279,0.002309508047076858,0.0010240129763224534,0.24387685909439308,0
2025-03-23 22:00:00+00:00,2025-03-21 20:00:00+00:00,50.0,8,84185.0,85135.0,84184.140625,85267.2734375,0.0128662335263936,-0.0015512802528739877,0.0013117144448573398,0.0007889290864428837,-3.6289632958520666,0
2025-04-06 22:00:00+00:00,2025-04-04 20:00:00+00:00,50.0,24,84525.0,79590.0,84154.28125,78901.71875,-0.06241586787956788,0.008723273217669858,0.0036228813411040054,0.0011366150039464164,4.487352233480019,0
2025-04-13 22:00:00+00:00,2025-04-11 20:00:00+00:00,50.0,17,84060.0,83765.0,83822.8046875,83560.4140625,-0.003130301186869411,0.0024483595467463815,0.0023313435225483688,0.0013311798525688472,0.08790399281674881,0
2025-04-20 22:00:00+00:00,2025-04-17 20:00:00+00:00,74.0,10,85420.0,85235.0,85121.4921875,85002.0703125,-0.001402957959629525,0.002740282520692361,0.002322318215819415,0.000821146932590714,0.509000628613774,0
2025-05-04 22:00:00+00:00,2025-05-02 20:00:00+00:00,50.0,27,97680.0,96455.0,97043.5,95703.0625,-0.013812748921875229,0.00785698472292884,0.0073985663226950335,0.0009400144248443619,0.4876716655807765,0
2025-05-11 22:00:00+00:00,2025-05-09 20:00:00+00:00,50.0,20,103640.0,104685.0,103185.5703125,104376.625,0.011542841541630988,0.0029544450206164807,0.004744166196014841,0.0007252638196152719,-2.4676829685889294,0
2025-05-18 22:00:00+00:00,2025-05-16 20:00:00+00:00,50.0,13,104095.0,104425.0,103622.4140625,104234.65625,0.005908395331638561,0.0018261080992436618,0.0035507529573088853,0.0006382941917339202,-2.70195919123162,0
