timeframe_minutes,maximum_body_range,minimum_upper_wick_body,maximum_lower_wick_range,trend_lookback_bars,minimum_trend_atr,location_lookback_bars,volume_multiplier,entry_mode,stop_mode,stop_buffer_atr,reward_risk,maximum_hold_hours,management,train_trades,train_wins,train_losses,train_win_rate_pct,train_profit_factor,train_net_r,train_mean_r,train_return_pct,train_max_drawdown_pct,train_final_balance,validation_trades,validation_wins,validation_losses,validation_win_rate_pct,validation_profit_factor,validation_net_r,validation_mean_r,validation_return_pct,validation_max_drawdown_pct,validation_final_balance,robust_score
15,0.4,3.0,0.1,8,0.5,20,1.25,2,1,0.25,3.0,24,0,47,17,30,36.170212765957444,1.6542975973890612,19.997107690525812,0.42547037639416624,21.0496537092737,7.734007981473821,12104.96537092737,8,3,5,37.5,1.7646568655080712,3.883699315081505,0.4854624143851881,3.79675315817094,3.4131774870337694,10379.675315817094,45.61131481303994
15,0.4,3.0,0.1,8,0.5,20,1.25,2,1,0.25,3.0,48,0,47,17,30,36.170212765957444,1.6542975973890612,19.997107690525812,0.42547037639416624,21.0496537092737,7.734007981473821,12104.96537092737,8,3,5,37.5,1.7646568655080712,3.883699315081505,0.4854624143851881,3.79675315817094,3.4131774870337694,10379.675315817094,45.61131481303994
15,0.25,3.0,0.1,8,0.5,20,1.25,2,1,0.25,3.0,48,0,47,17,30,36.170212765957444,1.6542975973890612,19.997107690525812,0.42547037639416624,21.0496537092737,7.734007981473821,12104.96537092737,8,3,5,37.5,1.7646568655080712,3.883699315081505,0.4854624143851881,3.79675315817094,3.4131774870337694,10379.675315817094,45.61131481303994
15,0.25,3.0,0.1,8,0.5,20,1.25,2,1,0.25,3.0,24,0,47,17,30,36.170212765957444,1.6542975973890612,19.997107690525812,0.42547037639416624,21.0496537092737,7.734007981473821,12104.96537092737,8,3,5,37.5,1.7646568655080712,3.883699315081505,0.4854624143851881,3.79675315817094,3.4131774870337694,10379.675315817094,45.61131481303994
15,0.4,3.0,0.2,3,1.0,10,1.25,2,0,0.25,3.0,48,0,71,26,45,36.61971830985915,1.6450460418534314,29.326595004280254,0.41305063386310215,32.31539259884742,9.546964201682853,13231.539259884741,19,7,12,36.8421052631579,1.725483392379505,8.80796139183909,0.4635769153599521,8.805072856500097,7.698701188950858,10880.50728565001,44.32191084527151
15,0.25,3.0,0.2,3,1.0,10,1.25,2,0,0.25,3.0,48,0,71,26,45,36.61971830985915,1.6450460418534314,29.326595004280254,0.41305063386310215,32.31539259884742,9.546964201682853,13231.539259884741,19,7,12,36.8421052631579,1.725483392379505,8.80796139183909,0.4635769153599521,8.805072856500097,7.698701188950858,10880.50728565001,44.32191084527151
15,0.25,3.0,0.2,3,1.0,20,1.25,2,0,0.1,3.0,48,1,66,18,48,27.272727272727273,1.8833479984476251,25.20013388975233,0.3818202104507929,27.468424254591795,9.037780927103652,12746.84242545918,16,5,11,31.25,1.8399044354912968,6.827162326563878,0.42669764541024235,6.787050419375329,6.018121275535631,10678.705041937532,41.60288439484128
15,0.4,3.0,0.2,3,1.0,20,1.25,2,0,0.1,3.0,48,1,66,18,48,27.272727272727273,1.8833479984476251,25.20013388975233,0.3818202104507929,27.468424254591795,9.037780927103652,12746.84242545918,16,5,11,31.25,1.8399044354912968,6.827162326563878,0.42669764541024235,6.787050419375329,6.018121275535631,10678.705041937532,41.60288439484128
15,0.25,3.0,0.2,3,1.0,10,1.25,2,0,0.25,3.0,48,1,71,19,52,26.760563380281692,1.8584820269111335,26.20397712341345,0.3690701003297669,28.684799589311737,7.4910216533037834,12868.479958931173,19,6,13,31.57894736842105,1.7696652256566905,7.8079613918390915,0.41094533641258374,7.781016324540757,7.0534109433496,10778.101632454076,40.296452412447245
15,0.4,3.0,0.2,3,1.0,10,1.25,2,0,0.25,3.0,48,1,71,19,52,26.760563380281692,1.8584820269111335,26.20397712341345,0.3690701003297669,28.684799589311737,7.4910216533037834,12868.479958931173,19,6,13,31.57894736842105,1.7696652256566905,7.8079613918390915,0.41094533641258374,7.781016324540757,7.0534109433496,10778.101632454076,40.296452412447245
15,0.4,3.0,0.2,3,1.0,10,1.25,2,0,0.25,3.0,24,0,71,27,44,38.028169014084504,1.587489912965292,26.120451474577305,0.3678936827405254,28.24832683210343,9.991603206945095,12824.832683210343,19,7,12,36.8421052631579,1.6004680006673018,7.29017234917729,0.38369328153564686,7.20170661387709,7.698701188950882,10720.170661387709,39.66442513492182
15,0.25,3.0,0.2,3,1.0,10,1.25,2,0,0.25,3.0,24,0,71,27,44,38.028169014084504,1.587489912965292,26.120451474577305,0.3678936827405254,28.24832683210343,9.991603206945095,12824.832683210343,19,7,12,36.8421052631579,1.6004680006673018,7.29017234917729,0.38369328153564686,7.20170661387709,7.698701188950882,10720.170661387709,39.66442513492182
15,0.25,3.0,0.1,8,0.5,20,1.25,2,0,0.0,2.0,24,0,47,22,25,46.808510638297875,1.6863481203095214,17.033526299229393,0.3624154531750935,17.93905776547746,9.224512579084722,11793.905776547746,8,4,4,50.0,1.9687932747797894,3.919379901399276,0.4899224876749095,3.8944370459748967,3.716456188283716,10389.44370459749,39.28049326111693
15,0.4,3.0,0.1,8,0.5,20,1.25,2,0,0.0,2.0,24,0,47,22,25,46.808510638297875,1.6863481203095214,17.033526299229393,0.3624154531750935,17.93905776547746,9.224512579084722,11793.905776547746,8,4,4,50.0,1.9687932747797894,3.919379901399276,0.4899224876749095,3.8944370459748967,3.716456188283716,10389.44370459749,39.28049326111693
15,0.25,3.0,0.1,8,0.5,20,1.25,2,0,0.25,3.0,24,1,47,13,34,27.659574468085108,1.8581215471889743,16.61823148890697,0.3535793933809994,17.34624131838034,7.6410436169974645,11734.624131838034,8,4,4,50.0,2.962713190312364,7.929638980339997,0.9912048725424997,8.04039155487153,2.8909191531946714,10804.039155487153,38.83544227319167
