status,research_status,instrument,symbol,timeframe,timeframe_minutes,maximum_body_range,minimum_upper_wick_body,maximum_lower_wick_range,trend_lookback_bars,minimum_trend_atr,location_lookback_bars,volume_multiplier,entry_mode,stop_mode,stop_buffer_atr,reward_risk,maximum_hold_hours,management,full_trades,full_win_rate_pct,full_pf,full_return_pct,full_cagr_pct,full_max_dd_pct,confirm_trades,confirm_win_rate_pct,confirm_pf,confirm_return_pct,confirm_max_dd_pct
REJECT,FAILED_CONFIRMATION,XAU,XAUUSD..,M30,30,0.25,3.0,0.1,8,0.5,20,1.25,1,1,0.0,1.0,2,0,84,51.19047619047619,1.0119089956149792,0.08118822547100724,0.017667540180488217,8.48300604007853,8,37.5,0.5935144007159288,-2.0613812603329285,5.568587503787933
REJECT,FAILED_CONFIRMATION,XAG,XAGUSD..,M240,240,0.4,2.0,0.2,8,1.0,10,0.0,0,0,0.25,1.5,48,1,63,39.682539682539684,1.3927014051362847,10.05167945234373,2.1030318891292366,6.3713798601867255,8,25.0,0.9880037732823302,-0.07365186621426378,2.1947973286263323
REJECT,FAILED_CONFIRMATION,US30,US30,M60,60,0.4,2.0,0.1,8,0.5,20,1.25,0,0,0.1,1.5,6,0,59,40.67796610169491,1.0708555329025582,1.5002949247629571,0.32468577779765084,10.099036844983159,12,25.0,0.48819610459340396,-3.6031952299624526,5.41354969139811
REJECT,FAILED_CONFIRMATION,US100,UT100,M15,15,0.4,3.0,0.1,8,0.5,20,1.25,2,1,0.25,3.0,24,0,60,35.0,1.5741611643877829,24.212896149700747,4.833064974517898,7.734007981473821,5,20.0,0.7337679671973804,-1.1402818664149494,3.779234246619809
REJECT,POSITIVE_CONFIRMATION,BTC,BTCUSD,M30,30,0.25,3.0,0.1,3,0.5,20,0.0,2,0,0.0,2.0,48,1,87,33.333333333333336,1.4032697533771368,16.952489650931636,3.4633169110855233,6.341238321890401,13,30.76923076923077,1.8683091405905352,3.650483734228871,3.929986667270544
REJECT,FAILED_CONFIRMATION,ETH,ETHUSD,M60,60,0.4,3.0,0.1,8,1.0,20,0.0,2,0,0.0,3.0,48,0,48,37.5,1.6345271733351634,20.615789451482968,4.156912716246408,9.26293580857055,4,50.0,2.725969063993407,3.6781026448039933,2.333079986763058
