entry_time_utc,exit_time_utc,direction,entry,initial_stop,target,exit_reason,r_multiple,balance
2022-01-11 17:00:00+00:00,2022-01-11 18:04:00+00:00,short,1815.0675,1818.1653571428571,1811.969642857143,stop,-1.0201752363384835,9897.98247636615
2022-02-09 06:00:00+00:00,2022-02-09 07:00:00+00:00,short,1827.2975,1828.4067857142857,1826.1882142857141,stop,-1.0563425627817105,9793.42587461162
2022-03-04 15:01:00+00:00,2022-03-04 15:02:00+00:00,short,1949.6775,1954.8867857142857,1944.4682142857143,target,0.9880021938845467,9890.18513710924
2022-03-17 10:00:00+00:00,2022-03-17 10:20:00+00:00,short,1939.0675,1942.251785714286,1935.8832142857143,target,0.9803723642889194,9987.14577897047
2022-04-04 08:47:00+00:00,2022-04-04 09:53:00+00:00,short,1929.6175,1932.7353571428573,1926.4996428571428,target,0.9799541809851094,10085.015231592568
2022-04-22 06:34:00+00:00,2022-04-22 08:01:00+00:00,short,1952.9575,1955.8082142857143,1950.1067857142857,target,0.9780756702580806,10183.654311914595
2022-06-15 12:00:00+00:00,2022-06-15 12:31:00+00:00,short,1830.8475,1834.9453571428571,1826.749642857143,stop,-1.015251873801639,10080.2645706914
2022-06-15 13:00:00+00:00,2022-06-15 13:32:00+00:00,short,1830.0475,1834.4160714285713,1825.6789285714285,target,0.9856932635709613,10179.625059514836
2022-08-18 12:03:00+00:00,2022-08-18 12:30:00+00:00,short,1770.2475,1772.3946428571428,1768.100357142857,target,0.9708915502328676,10278.458179063053
2022-08-29 14:33:00+00:00,2022-08-29 16:33:00+00:00,short,1740.3775,1744.1203571428573,1736.6346428571428,time,0.5490458015267193,10334.891622156878
2022-09-08 12:14:00+00:00,2022-09-08 12:16:00+00:00,short,1723.2175,1726.170357142857,1720.264642857143,stop,-1.0211659409772624,10229.3552288745
2022-09-14 09:01:00+00:00,2022-09-14 11:01:00+00:00,short,1703.7175,1706.5375,1700.8975,time,-0.1932624113475479,10209.58573029387
2022-10-07 09:30:00+00:00,2022-10-07 10:21:00+00:00,short,1711.3875,1714.2589285714287,1708.5160714285714,target,0.9782338308457715,10309.459351896805
2022-10-17 14:01:00+00:00,2022-10-17 15:21:00+00:00,short,1663.9675,1667.8060714285714,1660.1289285714286,target,0.983717901004838,10410.875349038231
2022-11-09 15:34:00+00:00,2022-11-09 17:34:00+00:00,short,1710.7975,1715.0460714285714,1706.5489285714284,time,-0.6484532616005536,10343.365688276224
2022-11-24 10:30:00+00:00,2022-11-24 11:38:00+00:00,short,1756.0475,1758.1917857142857,1753.903214285714,stop,-1.0291472351765472,10236.91722627113
2022-12-21 16:00:00+00:00,2022-12-21 18:00:00+00:00,short,1817.4875,1820.5167857142856,1814.4582142857143,time,0.12709266682386383,10249.927597374552
2022-12-30 07:30:00+00:00,2022-12-30 07:40:00+00:00,short,1819.2675,1820.8739285714287,1817.6610714285712,target,0.9610938194753267,10348.439018013614
2023-01-12 13:30:00+00:00,2023-01-12 13:30:00+00:00,short,1886.6975,1889.1767857142856,1884.2182142857143,target,0.9747911264765191,10449.314683290044
2023-02-01 13:33:00+00:00,2023-02-01 14:18:00+00:00,short,1929.4275,1932.1075,1926.7475,stop,-1.0233208955223876,10342.384662697048
2023-02-13 07:00:00+00:00,2023-02-13 07:21:00+00:00,short,1862.6675,1865.3789285714286,1859.9560714285715,stop,-1.0230505795574292,10236.576836465267
2023-03-10 16:03:00+00:00,2023-03-10 16:19:00+00:00,short,1862.5475,1867.8567857142857,1857.238214285714,target,0.9882281716668911,10337.737572577544
2023-04-17 07:55:00+00:00,2023-04-17 09:55:00+00:00,short,2011.0975,2014.1782142857144,2008.0167857142858,time,0.13795501970791865,10351.999000483147
2023-04-18 09:26:00+00:00,2023-04-18 10:40:00+00:00,short,2001.7275,2004.495357142857,1998.9596428571429,stop,-1.0225806451612907,10246.141462316917
2023-06-06 12:30:00+00:00,2023-06-06 13:38:00+00:00,short,1962.6475,1965.2817857142857,1960.0132142857144,target,0.976274403470715,10346.171918756918
2023-06-09 13:32:00+00:00,2023-06-09 13:40:00+00:00,short,1961.9975,1964.8674999999998,1959.1275,target,0.9782229965156786,10447.380551725246
2023-07-21 02:07:00+00:00,2023-07-21 03:16:00+00:00,short,1971.6975,1973.2303571428572,1970.1646428571428,target,0.9592264678471593,10547.594591174111
2023-08-21 12:33:00+00:00,2023-08-21 12:36:00+00:00,short,1892.8175,1895.1610714285716,1890.4739285714286,stop,-1.0266686985675089,10439.305739054726
2023-08-23 06:00:00+00:00,2023-08-23 06:28:00+00:00,short,1902.4875,1903.9624999999999,1901.0125,stop,-1.0423728813559348,10330.489247028985
2023-08-23 08:31:00+00:00,2023-08-23 08:44:00+00:00,short,1903.3975,1905.0875,1901.7075,stop,-1.036982248520709,10223.363907351953
2023-09-08 03:15:00+00:00,2023-09-08 05:15:00+00:00,short,1925.7475,1927.0660714285714,1924.4289285714285,time,0.2692307692307825,10250.88834864098
2023-09-11 07:36:00+00:00,2023-09-11 08:06:00+00:00,short,1927.7475,1929.4846428571427,1926.0103571428572,target,0.9640213815789456,10349.709104123664
2023-09-20 12:30:00+00:00,2023-09-20 12:45:00+00:00,short,1931.4775,1933.1253571428572,1929.8296428571427,stop,-1.0379280450801889,10242.286570747747
2023-09-29 13:37:00+00:00,2023-09-29 13:50:00+00:00,short,1873.5875,1876.271785714286,1870.9032142857143,target,0.9767163384779146,10342.32465711797
2023-10-11 09:30:00+00:00,2023-10-11 09:56:00+00:00,short,1869.0375,1871.1010714285712,1866.9739285714286,stop,-1.0302872966424383,10235.768999998165
2023-10-19 08:39:00+00:00,2023-10-19 10:39:00+00:00,short,1949.0375,1952.1553571428572,1945.9196428571427,time,-0.5532646048110219,10179.138113090956
2024-01-03 06:21:00+00:00,2024-01-03 06:53:00+00:00,short,2063.4275,2065.2482142857143,2061.6067857142853,stop,-1.0343271871322042,10073.85252017152
2024-01-04 10:03:00+00:00,2024-01-04 10:26:00+00:00,short,2047.0475,2049.5596428571425,2044.5353571428573,stop,-1.024879158373616,9970.607705246986
2024-01-08 16:30:00+00:00,2024-01-08 17:33:00+00:00,short,2033.5075,2038.0996428571427,2028.9153571428571,target,0.9863897962358062,10068.956762274243
2024-01-10 10:56:00+00:00,2024-01-10 12:45:00+00:00,short,2035.2475,2038.3103571428571,2032.1846428571428,target,0.9795942164179107,10167.591680371102
2024-01-19 13:00:00+00:00,2024-01-19 13:11:00+00:00,short,2032.6275,2035.1239285714287,2030.1310714285714,stop,-1.0250357653791125,10063.370229169588
2024-02-01 17:38:00+00:00,2024-02-01 17:45:00+00:00,short,2058.7875,2064.8575,2052.7174999999997,target,0.989703459637562,10162.967752483815
2024-03-01 07:31:00+00:00,2024-03-01 08:00:00+00:00,short,2046.3375,2047.7067857142858,2044.9682142857143,target,0.9543557642149204,10259.958621044949
2024-03-28 13:30:00+00:00,2024-03-28 13:57:00+00:00,short,2209.7175,2214.8175,2204.6175000000003,stop,-1.0122549019607845,10156.101686964274
2024-03-28 18:15:00+00:00,2024-03-28 20:15:00+00:00,short,2218.5675,2225.6775000000002,2211.4575,time,-0.42123769338956923,10113.320358479807
2024-04-24 15:30:00+00:00,2024-04-24 16:09:00+00:00,short,2329.5475,2335.4475,2323.6475,target,0.9894067796610171,10213.382235755444
2024-04-25 08:30:00+00:00,2024-04-25 10:30:00+00:00,short,2324.8075,2329.2817857142854,2320.3332142857143,time,-0.5576309067688348,10156.429259782433
2024-05-01 12:31:00+00:00,2024-05-01 12:32:00+00:00,short,2294.1275,2297.5553571428572,2290.699642857143,stop,-1.0182329652010833,10053.013148972
2024-05-14 12:30:00+00:00,2024-05-14 12:30:00+00:00,short,2343.3075,2347.000357142857,2339.614642857143,target,0.9830754352030944,10151.841851737281
2024-06-27 12:30:00+00:00,2024-06-27 12:30:00+00:00,short,2316.5775,2320.224642857143,2312.930357142857,stop,-1.0171367019193096,10048.583742342456
2024-07-03 13:00:00+00:00,2024-07-03 13:12:00+00:00,short,2348.2075,2352.8146428571426,2343.6003571428573,stop,-1.0135658914728687,9946.734724953985
2024-07-15 17:00:00+00:00,2024-07-15 17:19:00+00:00,short,2429.4575,2434.9839285714284,2423.9310714285716,target,0.9886907069923739,10045.077166828789
2024-07-24 06:30:00+00:00,2024-07-24 08:30:00+00:00,short,2415.0875,2418.884642857143,2411.2903571428574,time,0.31471030850268833,10076.690060169849
2024-07-26 03:09:00+00:00,2024-07-26 03:19:00+00:00,short,2372.6175,2376.741071428571,2368.4939285714286,stop,-1.015156764247359,9974.395859411794
2024-09-10 16:00:00+00:00,2024-09-10 18:00:00+00:00,short,2512.0275,2516.779642857143,2507.2753571428575,time,-0.19464903051250204,9954.98079457197
2024-09-11 03:03:00+00:00,2024-09-11 03:32:00+00:00,short,2517.2775,2519.6096428571427,2514.9453571428576,stop,-1.026799387442576,9852.763112753279
2024-09-20 09:13:00+00:00,2024-09-20 09:45:00+00:00,short,2609.0875,2612.591785714286,2605.5832142857143,target,0.9821646962902569,9949.53347365585
2024-10-18 06:01:00+00:00,2024-10-18 06:23:00+00:00,short,2710.4175,2714.028214285714,2706.806785714286,target,0.9826904055390691,10047.306584497364
2024-10-30 08:09:00+00:00,2024-10-30 08:42:00+00:00,short,2786.0175,2789.6175,2782.4175,target,0.9826388888888884,10146.03532628253
2024-11-08 14:35:00+00:00,2024-11-08 14:45:00+00:00,short,2695.6975,2701.641785714286,2689.7532142857144,target,0.9894857005527519,10246.428895009127
2024-11-19 01:30:00+00:00,2024-11-19 01:38:00+00:00,short,2612.9875,2615.635357142857,2610.339642857143,stop,-1.0236039924467237,10141.546039756598
2024-11-22 03:30:00+00:00,2024-11-22 03:43:00+00:00,short,2685.6275,2689.024642857143,2682.230357142857,target,0.9816021867115235,10241.095677449206
2024-11-26 13:30:00+00:00,2024-11-26 14:32:00+00:00,short,2629.9275,2635.6717857142858,2624.183214285714,target,0.9891196219845815,10342.392364301071
2024-12-16 09:00:00+00:00,2024-12-16 10:48:00+00:00,short,2657.6575,2660.8467857142855,2654.468214285714,stop,-1.01959686450168,10236.941656040197
2025-01-28 15:00:00+00:00,2025-01-28 15:18:00+00:00,short,2752.8675,2756.365357142857,2749.3696428571425,stop,-1.0178680824994883,10132.743094299269
2025-03-25 15:30:00+00:00,2025-03-25 16:12:00+00:00,short,3027.1575,3032.511071428571,3021.8039285714285,target,0.9883255503669109,10232.887583253269
2025-04-16 01:30:00+00:00,2025-04-16 01:32:00+00:00,short,3264.1975,3270.839642857143,3257.5553571428572,target,0.9905903860630176,10334.253583869611
2025-04-16 08:30:00+00:00,2025-04-16 08:31:00+00:00,short,3299.3775,3309.1189285714286,3289.6360714285715,target,0.9935841032409444,10436.933084667548
2025-05-20 13:00:00+00:00,2025-05-20 13:50:00+00:00,short,3240.6675,3248.514642857143,3232.820357142857,stop,-1.0079646823229564,10331.732485256418
2025-08-28 12:00:00+00:00,2025-08-28 12:07:00+00:00,short,3403.8375,3407.7439285714286,3399.9310714285716,stop,-1.0159992686048642,10226.762158772002
2025-09-08 13:30:00+00:00,2025-09-08 13:44:00+00:00,short,3623.3075,3630.4967857142856,3616.118214285714,stop,-1.0086934923000497,10123.605474403465
2025-09-09 06:01:00+00:00,2025-09-09 06:05:00+00:00,short,3654.4475,3660.8375,3648.0575000000003,target,0.9902190923317682,10223.851348643351
2025-09-22 06:05:00+00:00,2025-09-22 06:18:00+00:00,short,3695.8475,3701.2160714285715,3690.4789285714282,stop,-1.0116418307610426,10120.422591685649
2025-12-09 17:00:00+00:00,2025-12-09 17:59:00+00:00,short,4211.5475,4221.291071428571,4201.8039285714285,target,0.9935855142584853,10220.97764453838
2025-12-11 01:30:00+00:00,2025-12-11 02:37:00+00:00,short,4235.1375,4248.259642857142,4222.015357142857,target,0.9952370584072722,10322.700601788349
2025-12-11 15:01:00+00:00,2025-12-11 15:13:00+00:00,short,4228.9275,4238.0525,4219.8025,stop,-1.0068493150684932,10218.766561482671
2026-01-02 09:21:00+00:00,2026-01-02 10:37:00+00:00,short,4384.1275,4392.4117857142855,4375.843214285714,stop,-1.0075444042076218,10115.807950813414
2026-01-05 01:31:00+00:00,2026-01-05 02:52:00+00:00,short,4394.1475,4408.114642857143,4380.180357142857,stop,-1.0044747877672089,10014.197210368542
2026-04-13 17:07:00+00:00,2026-04-13 17:20:00+00:00,short,4728.5075,4745.425357142857,4711.589642857142,stop,-1.003694321300401,9913.68528164425
2026-05-05 07:46:00+00:00,2026-05-05 08:53:00+00:00,short,4547.4275,4557.891071428571,4536.963928571428,stop,-1.005973103966141,9813.956274099059
2026-06-08 14:00:00+00:00,2026-06-08 15:54:00+00:00,short,4326.0875,4342.738928571428,4309.436071428571,stop,-1.0037534317089911,9715.44835121137
2026-06-15 15:01:00+00:00,2026-06-15 16:24:00+00:00,short,4352.2575,4363.760357142857,4340.754642857142,target,0.9945665673124691,9812.074952377028
2026-07-06 02:01:00+00:00,2026-07-06 02:35:00+00:00,short,4184.9975,4197.584642857143,4172.410357142858,target,0.9950346158211326,9909.708494683495
2026-07-20 12:00:00+00:00,2026-07-20 12:13:00+00:00,short,4021.4375,4030.4560714285712,4012.4189285714288,target,0.9930698558530016,10008.1188225471
