period,symbol,direction,exit_london,return_pct,profit_factor,win_rate_pct,max_drawdown_pct,trades,sharpe,recovery_factor,history_quality
3y,USDJPY,momentum,16.0,12.6997,1.08,49.16,10.7,771,0.82,0.96,100%
3y,USDJPY,momentum,16.5,3.3076999999999996,1.02,49.03,12.08,771,0.21,0.24,100%
3y,USDJPY,momentum,17.0,3.438,1.02,47.99,12.92,771,0.21,0.23,100%
3y,GBPJPY,momentum,16.0,-19.8673,0.85,47.54,24.66,772,-1.79,-0.78,100%
3y,GBPJPY,momentum,16.5,-24.182199999999998,0.82,48.06,28.78,772,-2.11,-0.82,100%
3y,GBPJPY,momentum,17.0,-23.1344,0.83,47.41,27.95,772,-1.92,-0.8,100%
3y,GBPUSD,reverse,16.0,-8.2286,0.95,48.05,19.23,768,-0.58,-0.41,100%
3y,GBPUSD,reverse,16.5,-0.4398,1.0,48.96,15.8,768,-0.03,-0.03,100%
3y,GBPUSD,reverse,17.0,-2.2338999999999998,0.99,48.31,17.53,768,-0.14,-0.12,100%
3y,EURUSD,momentum,16.0,8.776100000000001,1.05,52.6,11.74,770,0.54,0.7,100%
3y,EURUSD,momentum,16.5,0.7792,1.0,51.43,15.82,770,0.05,0.05,100%
3y,EURUSD,momentum,17.0,-1.567,0.99,51.04,17.75,770,-0.09,-0.08,100%
1y,USDJPY,momentum,16.0,2.9457,1.06,51.94,10.72,258,0.69,0.24,100%
1y,USDJPY,momentum,16.5,0.3749,1.01,50.78,12.18,258,0.08,0.03,100%
1y,USDJPY,momentum,17.0,-1.1844999999999999,0.98,48.06,13.02,258,-0.26,-0.08,100%
1y,GBPJPY,momentum,16.0,-7.7622,0.83,45.74,12.16,258,-1.96,-0.63,100%
1y,GBPJPY,momentum,16.5,-8.6448,0.82,48.84,13.12,258,-2.07,-0.65,100%
1y,GBPJPY,momentum,17.0,-8.9042,0.82,46.9,13.33,258,-2.04,-0.66,100%
1y,GBPUSD,reverse,16.0,1.1534,1.02,49.61,11.24,256,0.25,0.09,100%
1y,GBPUSD,reverse,16.5,5.2032,1.1,51.56,10.56,256,1.04,0.45,100%
1y,GBPUSD,reverse,17.0,4.6279,1.09,50.78,10.68,256,0.89,0.39,100%
1y,EURUSD,momentum,16.0,9.3874,1.19,56.47,6.07,255,1.88,1.41,100%
1y,EURUSD,momentum,16.5,8.0634,1.16,56.08,6.99,255,1.52,1.06,100%
1y,EURUSD,momentum,17.0,8.9145,1.17,54.12,6.39,255,1.6,1.29,100%
