instrument,broker_symbol,timeframe,distance,signal_filter,ema_slope_bars,exit,sample,trades,wins,losses,win_rate_pct,net_r,profit_factor,cash_profit_factor,cash_gross_profit,cash_gross_loss,expectancy_r,risk_pct,progression_enabled,progression_multiplier,max_risk_pct,maximum_applied_risk_pct,final_loss_streak,processed_trades,ruined,max_drawdown_pct,ending_balance,max_dd_pct_at_1pct,ending_balance_at_1pct,selection_score
XAUUSD,XAUUSD..,M15,3,none,1,fixed_0.5R,training,274,160,113,58.3941605839416,-13.4418615237834,0.841666274209161,0.8432250367195726,714.4902775248648,847.3304828619308,-0.049057888772932115,1.0,False,1.6,,1.0,0,274,False,18.035767685642597,867.159794662934,18.035767685642597,867.159794662934,-1.4072333184945687
XAUUSD,XAUUSD..,M15,3,none,1,fixed_0.75R,training,265,130,134,49.056603773584904,-18.32645081780871,0.8101742546259578,0.8101054862454732,748.193503865077,923.5754066210138,-0.06915641818041023,1.0,False,1.6,,1.0,0,265,False,20.098398520797804,824.6180972440632,20.098398520797804,824.6180972440632,-1.8081947272657646
XAUUSD,XAUUSD..,M15,3,none,1,fixed_1R,training,264,127,136,48.10606060606061,-6.203440364381571,0.9363240402648303,0.9286172081746727,916.2601618036787,986.6930676470193,-0.02349788016811201,1.0,False,1.6,,1.0,0,264,False,16.87767568923935,929.5670941566593,16.87767568923935,929.5670941566593,-0.9164537833564008
XAUUSD,XAUUSD..,M15,3,none,1,fixed_1.5R,training,259,113,145,43.62934362934363,-4.925140140913066,0.9530118205834139,0.943486224604686,1017.8863754636831,1078.8566371386823,-0.019015985100050446,1.0,False,1.6,,1.0,0,259,False,19.145640307801965,939.0297383250007,19.145640307801965,939.0297383250007,-0.9289071569127935
XAUUSD,XAUUSD..,M15,3,none,1,fixed_1.7R,training,259,108,150,41.6988416988417,-12.790862342190469,0.8806053845929773,0.8754524420363732,929.094744906534,1061.2738057425306,-0.04938556888876629,1.0,False,1.6,,1.0,0,259,False,19.413786395599296,867.8209391640033,19.413786395599296,867.8209391640033,-1.4392461621870707
XAUUSD,XAUUSD..,M15,3,none,1,trail_start_0.5R_distance_0.25R_cap_1.7R,training,262,128,133,48.854961832061065,-8.900076344773709,0.9075806634393901,0.8992622679109281,854.2137821199076,949.905063963517,-0.033969757041121026,1.0,False,1.6,,1.0,0,262,False,16.104669521708875,904.3087181563906,16.104669521708875,904.3087181563906,-1.0578982342098595
XAUUSD,XAUUSD..,M15,3,none,1,trail_start_1R_distance_0.5R_cap_1.7R,training,260,114,145,43.84615384615385,-12.321599195458187,0.8831733747443579,0.8766167933780811,906.4922637709335,1034.080422162261,-0.047390766136377646,1.0,False,1.6,,1.0,0,260,False,18.746153482350458,872.4118416086726,18.746153482350458,872.4118416086726,-1.381523276043995
XAUUSD,XAUUSD..,M15,3,none,1,trail_start_1.5R_distance_0.5R_cap_1.7R,training,259,108,150,41.6988416988417,-13.43669567552411,0.8745769386299508,0.8694735304653136,917.1921610681662,1054.8822119717838,-0.05187913388233247,1.0,False,1.6,,1.0,0,259,False,19.413786395599374,862.3099490963823,19.413786395599374,862.3099490963823,-1.4802805598024578
XAUUSD,XAUUSD..,M15,3,ema200_slope,3,fixed_0.5R,training,96,55,41,57.291666666666664,-19.001521102243398,0.5913785043619388,0.6009733687217567,267.5354441891818,445.1702157089218,-0.19793251148170207,1.0,False,1.6,,1.0,4,96,False,19.327166530252523,822.36522848026,19.327166530252523,822.36522848026,-2.6237145121067815
XAUUSD,XAUUSD..,M15,3,ema200_slope,3,fixed_0.75R,training,70,35,35,50.0,-13.373319185754875,0.662488669284355,0.6652251042430576,258.2428387077,388.2036878351845,-0.19104741693935537,1.0,False,1.6,,1.0,4,70,False,15.779224442159261,870.0391508725155,15.779224442159261,870.0391508725155,-2.1302130465511935
XAUUSD,XAUUSD..,M15,3,ema200_slope,3,fixed_1R,training,61,23,38,37.704918032786885,-18.741439188412752,0.5510111880949401,0.5526604879635955,216.98759752745752,392.6236853425114,-0.30723670800676645,1.0,False,1.6,,1.0,6,61,False,17.563608781505387,824.3639121849461,17.563608781505387,824.3639121849461,-3.0194880721824497
XAUUSD,XAUUSD..,M15,3,ema200_slope,3,fixed_1.5R,training,55,18,37,32.72727272727273,-13.74143918841274,0.6627159113141753,0.6609699116930258,261.3888007126452,395.4624803466727,-0.24984434888023163,1.0,False,1.6,,1.0,6,55,False,15.179988460837201,865.9263203659725,15.179988460837201,865.9263203659725,-2.3606874339113366
XAUUSD,XAUUSD..,M15,3,ema200_slope,3,fixed_1.7R,training,52,14,38,26.923076923076923,-17.941439188412737,0.570176794637373,0.5709130879157438,225.82740424793712,395.55478588233916,-0.3450276767002449,1.0,False,1.6,,1.0,6,52,False,18.161089635714948,830.272618365598,18.161089635714948,830.272618365598,-3.1289470258268817
XAUUSD,XAUUSD..,M15,3,ema200_slope,3,trail_start_0.5R_distance_0.25R_cap_1.7R,training,75,37,38,49.333333333333336,-13.21104474411977,0.6967869904248696,0.6958723013194259,296.13876423330976,425.56481077319575,-0.17614726325493027,1.0,False,1.6,,1.0,4,75,False,15.272290680336148,870.573953460114,15.272290680336148,870.573953460114,-2.0318536265084637
