starting_balance,ending_balance,net_profit,return_pct,trades,wins,losses,win_rate,net_r,avg_r,avg_spread_r,max_drawdown_pct,symbol
300.0,407.93,107.93,35.98,86,39,47,45.35,7.94,0.0923,0.0213,37.98,US30
300.0,335.9,35.9,11.97,22,10,12,45.45,2.8,0.1273,0.0001,15.14,XAUUSD
