period,date,signal,asia_mid,close_4pm,correct,regime_same_day,regime_prior_day
full,2022-01-04,bearish,16511.114999999998,16297.71,True,downtrend,uptrend
full,2022-01-13,bearish,15869.57,15492.45,True,downtrend,downtrend
full,2022-01-14,bearish,15475.325,15613.17,False,downtrend,downtrend
full,2022-01-20,bearish,15081.31,14838.02,True,downtrend,downtrend
full,2022-01-21,bearish,14693.630000000001,14496.62,True,downtrend,downtrend
full,2022-01-24,bullish,14558.645,14514.43,False,downtrend,downtrend
full,2022-01-25,bullish,14362.875,14163.38,False,downtrend,downtrend
full,2022-01-28,bullish,14127.255000000001,14431.5,True,downtrend,downtrend
full,2022-02-01,bearish,14860.61,15017.42,False,uptrend,ranging
full,2022-02-03,bearish,14789.415,14521.24,True,downtrend,downtrend
full,2022-02-04,bearish,14749.720000000001,14706.05,True,downtrend,downtrend
full,2022-02-07,bearish,14668.05,14554.96,True,downtrend,downtrend
full,2022-02-08,bullish,14601.135,14744.25,True,ranging,downtrend
full,2022-02-22,bullish,13690.765,13863.31,True,downtrend,downtrend
full,2022-02-24,bullish,13314.14,13951.93,True,downtrend,downtrend
full,2022-02-25,bullish,13877.555,14177.1,True,ranging,downtrend
full,2022-02-28,bearish,13858.150000000001,14232.84,False,ranging,downtrend
full,2022-03-01,bearish,14222.855,14007.83,True,downtrend,ranging
full,2022-03-02,bullish,14024.665,14241.98,True,ranging,downtrend
full,2022-03-07,bearish,13578.055,13338.63,True,downtrend,downtrend
full,2022-03-08,bullish,13323.77,13256.87,False,downtrend,downtrend
full,2022-03-10,bullish,13717.485,13604.71,False,downtrend,downtrend
full,2022-03-11,bearish,13527.875,13302.47,True,downtrend,downtrend
full,2022-03-17,bearish,13952.04,14093.91,False,uptrend,uptrend
full,2022-03-18,bearish,14013.56,14404.02,False,uptrend,uptrend
full,2022-03-21,bullish,14381.895,14370.3,False,uptrend,uptrend
full,2022-03-24,bearish,14489.515,14758.54,False,uptrend,uptrend
full,2022-03-28,bullish,14718.58,14985.73,True,uptrend,uptrend
full,2022-03-31,bearish,15135.46,14886.19,True,uptrend,uptrend
full,2022-04-01,bearish,14909.119999999999,14870.0,True,uptrend,uptrend
full,2022-04-04,bearish,14832.115,15158.42,False,uptrend,uptrend
full,2022-04-05,bearish,15154.415,14813.02,True,uptrend,uptrend
full,2022-04-13,bearish,14009.685000000001,14223.17,False,downtrend,downtrend
full,2022-04-14,bearish,14244.78,13892.43,True,downtrend,downtrend
full,2022-04-19,bullish,13981.95,14213.36,True,downtrend,downtrend
full,2022-04-20,bearish,14088.779999999999,14008.68,True,downtrend,downtrend
full,2022-04-22,bearish,13672.39,13360.17,True,downtrend,downtrend
full,2022-04-25,bullish,13303.265,13538.57,True,downtrend,downtrend
full,2022-04-26,bullish,13551.675,13042.46,False,downtrend,downtrend
full,2022-04-27,bearish,13020.535,13005.85,True,downtrend,downtrend
full,2022-04-29,bearish,13298.17,12849.38,True,downtrend,downtrend
full,2022-05-02,bearish,12907.900000000001,13081.61,False,downtrend,downtrend
full,2022-05-06,bullish,12838.880000000001,12703.08,False,downtrend,downtrend
full,2022-05-12,bullish,11999.005000000001,11949.65,False,downtrend,downtrend
full,2022-05-13,bearish,12044.675,12375.96,False,downtrend,downtrend
full,2022-05-17,bearish,12293.295,12552.8,False,downtrend,downtrend
full,2022-05-19,bullish,11878.075,11886.42,True,downtrend,downtrend
full,2022-05-20,bearish,11950.275000000001,11835.85,True,downtrend,downtrend
full,2022-05-23,bearish,11964.33,12033.94,False,downtrend,downtrend
full,2022-05-26,bullish,11926.095000000001,12279.65,True,downtrend,downtrend
full,2022-05-31,bullish,12750.005000000001,12652.24,False,uptrend,uptrend
full,2022-06-01,bullish,12691.939999999999,12567.69,False,uptrend,uptrend
full,2022-06-07,bullish,12548.495,12720.68,True,uptrend,ranging
full,2022-06-08,bullish,12677.529999999999,12602.09,False,ranging,uptrend
full,2022-06-13,bullish,11620.59,11292.81,False,downtrend,downtrend
full,2022-06-14,bearish,11363.355,11320.39,True,downtrend,downtrend
full,2022-06-24,bearish,11738.265,12095.99,False,uptrend,ranging
full,2022-06-27,bearish,12124.865,12000.44,True,uptrend,uptrend
full,2022-06-28,bearish,12007.835,11651.13,True,downtrend,uptrend
full,2022-06-29,bullish,11659.11,11679.36,True,downtrend,downtrend
full,2022-07-05,bullish,11672.95,11776.65,True,ranging,downtrend
full,2022-07-06,bullish,11798.134999999998,11852.31,True,uptrend,ranging
full,2022-07-07,bearish,11847.215,12116.28,False,uptrend,uptrend
full,2022-07-11,bullish,12051.075,11855.24,False,ranging,uptrend
full,2022-07-12,bullish,11824.525000000001,11751.97,False,ranging,ranging
full,2022-07-13,bearish,11768.485,11753.95,True,downtrend,ranging
full,2022-07-15,bullish,11810.39,11975.95,True,uptrend,ranging
full,2022-07-20,bullish,12303.975,12437.49,True,uptrend,uptrend
full,2022-07-21,bearish,12398.075,12615.14,False,uptrend,uptrend
full,2022-07-26,bearish,12277.955,12083.63,True,uptrend,uptrend
full,2022-07-29,bearish,12877.175,12949.83,False,uptrend,uptrend
full,2022-08-01,bearish,12903.470000000001,12941.74,False,uptrend,uptrend
full,2022-08-03,bearish,12881.46,13256.15,False,uptrend,uptrend
full,2022-08-10,bullish,13012.66,13375.33,True,uptrend,uptrend
full,2022-08-11,bearish,13398.505000000001,13289.86,True,uptrend,uptrend
full,2022-08-16,bullish,13649.14,13646.64,False,uptrend,uptrend
full,2022-08-18,bullish,13440.98,13497.64,True,uptrend,uptrend
full,2022-08-23,bullish,12924.24,12881.53,False,downtrend,downtrend
full,2022-08-26,bullish,13131.36,12616.81,False,downtrend,ranging
full,2022-08-29,bearish,12437.38,12499.04,False,downtrend,downtrend
full,2022-08-31,bearish,12391.985,12287.44,True,downtrend,downtrend
full,2022-09-01,bullish,12165.25,12269.56,True,downtrend,downtrend
full,2022-09-02,bullish,12272.44,12077.65,False,downtrend,downtrend
full,2022-09-06,bearish,12178.935000000001,12011.75,True,downtrend,downtrend
full,2022-09-12,bearish,12608.005000000001,12737.66,False,uptrend,ranging
full,2022-09-13,bearish,12756.675,12053.7,True,downtrend,uptrend
full,2022-09-14,bearish,12046.83,12143.83,False,downtrend,downtrend
full,2022-09-19,bullish,11834.475,11954.06,True,downtrend,downtrend
full,2022-09-21,bullish,11859.48,11655.06,False,downtrend,downtrend
full,2022-09-22,bearish,11526.125,11522.15,True,downtrend,downtrend
full,2022-09-28,bullish,11227.02,11504.75,True,downtrend,downtrend
full,2022-10-03,bearish,10905.415,11231.52,False,downtrend,downtrend
full,2022-10-05,bullish,11533.86,11556.46,True,uptrend,ranging
full,2022-10-06,bullish,11625.735,11472.96,False,downtrend,uptrend
full,2022-10-07,bullish,11469.689999999999,11048.26,False,downtrend,downtrend
full,2022-10-11,bullish,10923.665,10793.61,False,downtrend,downtrend
full,2022-10-12,bearish,10823.615000000002,10790.18,True,downtrend,downtrend
full,2022-10-13,bullish,10808.305,11047.1,True,downtrend,downtrend
full,2022-10-18,bearish,11204.68,11131.41,True,uptrend,uptrend
full,2022-10-21,bearish,10983.494999999999,11312.91,False,uptrend,downtrend
full,2022-10-27,bullish,11462.849999999999,11185.38,False,downtrend,uptrend
full,2022-11-08,bullish,11004.98,11064.12,True,ranging,downtrend
full,2022-11-17,bearish,11743.5,11676.33,True,uptrend,uptrend
full,2022-11-18,bullish,11709.24,11678.65,False,uptrend,uptrend
full,2022-11-21,bullish,11666.065,11570.48,False,uptrend,uptrend
full,2022-11-22,bullish,11592.93,11736.37,True,uptrend,uptrend
full,2022-11-23,bearish,11721.615,11843.63,False,uptrend,uptrend
