prague_day;start_balance;min_equity;daily_loss_usd;end_balance;max_margin_usd
2026.07.19;10000.00;10000.00;0.00;10000.00;0.00
2026.07.20;10000.00;9980.59;19.41;10014.99;1201.79
2026.07.21;10014.99;10014.99;0.00;10014.99;0.00
2026.07.22;10014.99;10014.99;0.00;10014.99;0.00
2026.07.23;10014.99;9976.34;38.65;9997.90;674.52
2026.07.24;9997.90;9997.90;0.00;9997.90;0.00
2026.07.27;9997.90;9997.90;0.00;9997.90;0.00
2026.07.28;9997.90;9997.90;0.00;9997.90;0.00
2026.07.29;9997.90;9995.97;1.93;10078.81;1470.02
2026.07.30;10078.81;10078.81;0.00;10078.81;0.00
2026.07.31;10078.81;10078.81;0.00;10078.81;0.00
2026.08.03;10078.81;10078.81;0.00;10078.81;0.00
2026.08.04;10078.81;10078.81;0.00;10078.81;0.00
2026.08.05;10078.81;10062.54;16.27;10155.81;981.39
2026.08.06;10155.81;10155.81;0.00;10155.81;0.00
2026.08.07;10155.81;10095.56;60.25;10171.17;579.15
2026.08.10;10171.17;10149.06;22.11;10259.35;1014.01
2026.08.11;10259.35;10259.35;0.00;10259.35;0.00
2026.08.12;10259.35;10155.65;103.70;10155.65;737.95
2026.08.13;10155.65;10155.65;0.00;10155.65;0.00
2026.08.14;10155.65;10155.65;0.00;10155.65;0.00
2026.08.17;10155.65;10155.65;0.00;10155.65;0.00
2026.08.18;10155.65;10155.65;0.00;10155.65;0.00
2026.08.19;10155.65;10155.65;0.00;10155.65;0.00
2026.08.20;10155.65;10155.65;0.00;10155.65;0.00
2026.08.21;10155.65;10155.65;0.00;10155.65;0.00
2026.08.24;10155.65;10155.65;0.00;10155.65;0.00
2026.08.25;10155.65;10155.65;0.00;10155.65;0.00
2026.08.26;10155.65;10155.65;0.00;10155.65;0.00
2026.08.27;10155.65;10155.65;0.00;10155.65;0.00
2026.08.28;10155.65;10131.36;24.29;10235.28;1382.93
2026.08.31;10235.28;10235.28;0.00;10235.28;0.00
2026.09.01;10235.28;10235.28;0.00;10235.28;0.00
2026.09.02;10235.28;10235.28;0.00;10235.28;0.00
2026.09.03;10235.28;10226.12;9.16;10321.20;897.14
2026.09.04;10321.20;10232.83;88.37;10331.13;591.19
2026.09.07;10331.13;10331.13;0.00;10331.13;0.00
2026.09.08;10331.13;10331.13;0.00;10331.13;0.00
2026.09.09;10331.13;10331.13;0.00;10331.13;0.00
2026.09.10;10331.13;10331.13;0.00;10331.13;0.00
2026.09.11;10331.13;10331.13;0.00;10331.13;0.00
2026.09.14;10331.13;10217.11;114.02;10217.11;999.09
2026.09.15;10217.11;10217.11;0.00;10217.11;0.00
2026.09.16;10217.11;10217.11;0.00;10217.11;0.00
2026.09.17;10217.11;10103.23;113.88;10103.23;729.56
2026.09.18;10103.23;10103.23;0.00;10103.23;0.00
