time,open,high,low,close,tick_volume,spread,real_volume
2025.09.04 08:00:00,3541.17,3549.917,3536.638,3545.544,34112,0,0
2025.09.04 12:00:00,3545.499,3558.905,3535.167,3552.908,66009,0,0
2025.09.04 16:00:00,3552.946,3556.307,3542.606,3549.88,25947,0,0
2025.09.04 20:00:00,3549.916,3554.629,3539.989,3552.632,14278,0,0
2025.09.05 00:00:00,3552.612,3559.182,3546.038,3558.373,31254,0,0
2025.09.05 04:00:00,3558.439,3561.23,3546.715,3548.277,26305,0,0
2025.09.05 08:00:00,3548.241,3555.281,3544.801,3553.308,26332,0,0
2025.09.05 12:00:00,3553.334,3597.973,3548.882,3592.085,113014,0,0
2025.09.05 16:00:00,3592.126,3600.156,3590.584,3594.817,35214,0,0
2025.09.05 20:00:00,3594.784,3595.434,3586.456,3586.677,5908,0,0
2025.09.07 20:00:00,3591.936,3596.796,3587.192,3591.247,23711,0,0
2025.09.08 00:00:00,3591.19,3597.24,3583.006,3583.69,45074,0,0
2025.09.08 04:00:00,3583.654,3613.654,3579.7,3609.563,31506,0,0
2025.09.08 08:00:00,3609.658,3622.6,3607.212,3620.006,32300,0,0
2025.09.08 12:00:00,3619.966,3646.416,3614.84,3639.353,65009,0,0
2025.09.08 16:00:00,3639.411,3641.852,3631.931,3636.608,28305,0,0
2025.09.08 20:00:00,3636.635,3638.025,3628.276,3635.072,14007,0,0
2025.09.09 00:00:00,3635.103,3654.677,3633.554,3645.918,39738,0,0
2025.09.09 04:00:00,3645.949,3659.379,3636.565,3644.443,43758,0,0
2025.09.09 08:00:00,3644.378,3656.76,3642.049,3648.08,33231,0,0
2025.09.09 12:00:00,3648.152,3674.645,3626.925,3645.521,105187,0,0
2025.09.09 16:00:00,3645.543,3649.537,3628.529,3629.442,29817,0,0
2025.09.09 20:00:00,3629.405,3640.833,3623.2,3633.648,19630,0,0
2025.09.10 00:00:00,3633.623,3638.405,3620.26,3636.559,41520,0,0
2025.09.10 04:00:00,3636.657,3648.547,3636.568,3644.183,28097,0,0
2025.09.10 08:00:00,3644.221,3657.657,3642.075,3649.362,28449,0,0
2025.09.10 12:00:00,3649.378,3657.497,3638.518,3644.575,57560,0,0
2025.09.10 16:00:00,3644.545,3649.8,3635.144,3641.978,25489,0,0
2025.09.10 20:00:00,3641.944,3645.632,3638.077,3644.995,12578,0,0
2025.09.11 00:00:00,3644.955,3649.214,3629.899,3632.085,31387,0,0
2025.09.11 04:00:00,3632.152,3638.076,3622.746,3629.891,33861,0,0
2025.09.11 08:00:00,3629.925,3631.796,3614.216,3616.87,30275,0,0
2025.09.11 12:00:00,3616.936,3643.987,3613.213,3633.146,76346,0,0
2025.09.11 16:00:00,3633.182,3641.984,3630.378,3637.025,27481,0,0
2025.09.11 20:00:00,3636.989,3638.341,3631.651,3631.922,9641,0,0
2025.09.12 00:00:00,3631.89,3653.366,3630.577,3652.929,33732,0,0
2025.09.12 04:00:00,3652.89,3656.7,3647.852,3648.381,25464,0,0
2025.09.12 08:00:00,3648.322,3652.187,3637.81,3647.124,32010,0,0
2025.09.12 12:00:00,3647.156,3654.4,3638.322,3644.595,46546,0,0
2025.09.12 16:00:00,3644.652,3650.695,3642.753,3644.244,18894,0,0
2025.09.12 20:00:00,3644.284,3645.469,3641.427,3643.564,4080,0,0
2025.09.14 20:00:00,3644.69,3646.076,3636.852,3638.321,7116,0,0
2025.09.15 00:00:00,3638.317,3646.502,3626.621,3646.099,32591,0,0
2025.09.15 04:00:00,3646.11,3646.972,3633.834,3643.901,24247,0,0
2025.09.15 08:00:00,3643.98,3646.781,3635.791,3642.741,28356,0,0
2025.09.15 12:00:00,3642.766,3682.018,3637.004,3680.515,47417,0,0
2025.09.15 16:00:00,3680.577,3685.703,3674.855,3681.035,29631,0,0
2025.09.15 20:00:00,3680.992,3682.066,3676.211,3677.069,10761,0,0
2025.09.16 00:00:00,3676.966,3689.56,3674.798,3681.215,33604,0,0
2025.09.16 04:00:00,3681.142,3694.29,3680.259,3686.55,25418,0,0
2025.09.16 08:00:00,3686.511,3699.555,3686.187,3697.174,28484,0,0
2025.09.16 12:00:00,3697.283,3703.225,3678.948,3686.222,60375,0,0
2025.09.16 16:00:00,3686.29,3691.257,3684.693,3689.69,23148,0,0
