time,open,high,low,close,tick_volume,spread,real_volume
2025.09.04 08:00:00,23462.6,23508.56,23451.22,23470.94,20530,0,0
2025.09.04 12:00:00,23471.07,23530.34,23384.82,23513.3,134552,0,0
2025.09.04 16:00:00,23513.11,23654.0,23486.93,23640.0,48912,0,0
2025.09.04 20:00:00,23640.28,23690.52,23632.9,23681.02,15378,0,0
2025.09.05 00:00:00,23681.03,23716.93,23677.03,23715.92,9391,0,0
2025.09.05 04:00:00,23716.19,23761.7,23714.95,23730.53,13245,0,0
2025.09.05 08:00:00,23730.32,23773.69,23722.94,23743.3,14046,0,0
2025.09.05 12:00:00,23743.45,23876.22,23480.96,23594.18,322831,0,0
2025.09.05 16:00:00,23594.43,23668.15,23561.78,23666.0,137552,0,0
2025.09.05 20:00:00,23665.76,23670.61,23641.56,23647.78,4560,0,0
2025.09.07 20:00:00,23668.99,23766.3,23633.58,23760.14,13809,0,0
2025.09.08 00:00:00,23760.3,23774.08,23717.09,23737.6,16710,0,0
2025.09.08 04:00:00,23737.55,23765.43,23708.85,23737.24,20366,0,0
2025.09.08 08:00:00,23737.42,23772.59,23725.18,23745.28,17831,0,0
2025.09.08 12:00:00,23745.47,23869.48,23726.84,23856.48,140904,0,0
2025.09.08 16:00:00,23856.59,23857.28,23743.54,23785.31,87309,0,0
2025.09.08 20:00:00,23785.38,23816.9,23776.35,23794.52,8288,0,0
2025.09.09 00:00:00,23794.83,23834.91,23778.92,23826.85,11870,0,0
2025.09.09 04:00:00,23827.06,23872.86,23802.91,23845.48,15215,0,0
2025.09.09 08:00:00,23845.32,23850.53,23803.24,23840.77,22449,0,0
2025.09.09 12:00:00,23840.58,23848.41,23718.66,23773.14,172258,0,0
2025.09.09 16:00:00,23772.91,23877.46,23770.36,23856.84,81948,0,0
2025.09.09 20:00:00,23856.92,23908.48,23837.67,23879.25,15488,0,0
2025.09.10 00:00:00,23878.95,23911.43,23870.96,23910.18,10150,0,0
2025.09.10 04:00:00,23910.36,23946.35,23905.14,23931.89,12890,0,0
2025.09.10 08:00:00,23932.08,23949.26,23874.36,23940.95,17445,0,0
2025.09.10 12:00:00,23940.69,24034.54,23892.35,23941.9,179007,0,0
2025.09.10 16:00:00,23942.09,23942.42,23783.16,23869.29,106045,0,0
2025.09.10 20:00:00,23869.21,23910.93,23852.03,23898.21,11139,0,0
2025.09.11 00:00:00,23898.14,23915.87,23869.08,23910.86,11612,0,0
2025.09.11 04:00:00,23910.7,23932.01,23868.82,23927.88,17351,0,0
2025.09.11 08:00:00,23927.95,23952.17,23905.17,23943.21,14587,0,0
