server_time,event,direction,zone_created,first_time,third_time,zone_low,zone_high,entry,stop,target,volume,risk_cash,equity,detail
2026.03.06 08:00:00,zone,1,2026.03.06 08:00:00,2026.03.05 20:00:00,2026.03.06 04:00:00,25053.91,25076.29,0.0,24814.72,0.0,0.0,0.0,0.0,
2026.03.06 08:10:16,accepted,1,2026.03.06 08:00:00,2026.03.05 20:00:00,2026.03.06 04:00:00,25053.91,25076.29,25075.57,24814.72,25597.27,0.39,101.73,10000.0,done at 25075.57
2026.03.06 16:00:00,zone,-1,2026.03.06 16:00:00,2026.03.06 04:00:00,2026.03.06 12:00:00,24881.85,25076.29,0.0,25127.04,0.0,0.0,0.0,0.0,
2026.03.06 16:04:04,accepted,-1,2026.03.06 16:00:00,2026.03.06 04:00:00,2026.03.06 12:00:00,24881.85,25076.29,24881.94,25127.04,24391.74,0.41,100.49,9898.02,done at 24881.94
2026.03.09 00:00:00,zone,-1,2026.03.09 00:00:00,2026.03.06 16:00:00,2026.03.08 20:00:00,24465.28,24733.47,0.0,24908.6,0.0,0.0,0.0,0.0,
2026.03.09 04:00:00,zone,-1,2026.03.09 04:00:00,2026.03.06 20:00:00,2026.03.09 00:00:00,24235.07,24594.71,0.0,24842.18,0.0,0.0,0.0,0.0,
2026.03.09 05:51:06,accepted,-1,2026.03.09 04:00:00,2026.03.06 20:00:00,2026.03.09 00:00:00,24235.07,24594.71,24235.32,24842.18,23021.6,0.17,103.17,10100.0,done at 24235.32
2026.03.09 20:00:00,zone,1,2026.03.09 20:00:00,2026.03.09 08:00:00,2026.03.09 16:00:00,24489.29,24569.54,0.0,24226.43,0.0,0.0,0.0,0.0,
2026.03.10 00:00:00,zone,1,2026.03.10 00:00:00,2026.03.09 12:00:00,2026.03.09 20:00:00,24651.69,24855.45,0.0,24305.69,0.0,0.0,0.0,0.0,
2026.03.10 00:07:55,accepted,1,2026.03.10 00:00:00,2026.03.09 12:00:00,2026.03.09 20:00:00,24651.69,24855.45,24854.06,24305.69,25950.8,0.19,104.19,9996.48,done at 24854.06
2026.03.12 04:00:00,zone,-1,2026.03.12 04:00:00,2026.03.11 16:00:00,2026.03.12 00:00:00,24842.04,24870.76,0.0,25021.64,0.0,0.0,0.0,0.0,
2026.03.12 07:59:52,invalidate,-1,2026.03.12 04:00:00,2026.03.11 16:00:00,2026.03.12 00:00:00,24842.04,24870.76,24870.85,25021.64,0.0,0.0,0.0,9997.31,far edge crossed
2026.03.12 20:00:00,zone,-1,2026.03.12 20:00:00,2026.03.12 08:00:00,2026.03.12 16:00:00,24736.02,24813.69,0.0,24927.79,0.0,0.0,0.0,0.0,
2026.03.16 04:00:00,zone,1,2026.03.16 04:00:00,2026.03.13 20:00:00,2026.03.16 00:00:00,24400.46,24442.86,0.0,24343.69,0.0,0.0,0.0,0.0,
2026.03.16 08:00:00,zone,1,2026.03.16 08:00:00,2026.03.15 20:00:00,2026.03.16 04:00:00,24505.76,24512.76,0.0,24289.06,0.0,0.0,0.0,0.0,
2026.03.16 08:40:28,accepted,1,2026.03.16 08:00:00,2026.03.15 20:00:00,2026.03.16 04:00:00,24505.76,24512.76,24512.46,24289.06,24959.26,0.45,100.53,9882.59,done at 24512.46
2026.03.16 16:00:00,zone,1,2026.03.16 16:00:00,2026.03.16 04:00:00,2026.03.16 12:00:00,24594.4,24631.22,0.0,24512.75,0.0,0.0,0.0,0.0,
2026.03.16 19:10:01,invalidate,-1,2026.03.12 20:00:00,2026.03.12 08:00:00,2026.03.12 16:00:00,24736.02,24813.69,24814.24,24927.79,0.0,0.0,0.0,10018.11,far edge crossed
2026.03.17 02:59:09,invalidate,1,2026.03.16 16:00:00,2026.03.16 04:00:00,2026.03.16 12:00:00,24594.4,24631.22,24594.36,24512.75,0.0,0.0,0.0,9916.52,far edge crossed
2026.03.17 20:00:00,zone,1,2026.03.17 20:00:00,2026.03.17 08:00:00,2026.03.17 16:00:00,24659.45,24745.31,0.0,24539.79,0.0,0.0,0.0,0.0,
2026.03.18 08:00:00,zone,1,2026.03.18 08:00:00,2026.03.17 20:00:00,2026.03.18 04:00:00,24829.27,24931.51,0.0,24791.64,0.0,0.0,0.0,0.0,
