server_time,event,direction,zone_created,first_time,third_time,zone_low,zone_high,entry,stop,target,volume,risk_cash,equity,detail
2026.03.05 20:00:00,zone,-1,2026.03.05 20:00:00,2026.03.05 08:00:00,2026.03.05 16:00:00,5104.604,5137.715,0.0,5180.371,0.0,0.0,0.0,0.0,
2026.03.06 01:36:44,accepted,-1,2026.03.05 20:00:00,2026.03.05 08:00:00,2026.03.05 16:00:00,5104.604,5137.715,5104.646,5180.371,4953.196,0.02,151.45,10000.0,done at 5104.646
2026.03.06 08:00:00,zone,1,2026.03.06 08:00:00,2026.03.05 20:00:00,2026.03.06 04:00:00,5102.039,5105.645,0.0,5061.659,0.0,0.0,0.0,0.0,
2026.03.06 08:28:03,invalidate,1,2026.03.06 08:00:00,2026.03.05 20:00:00,2026.03.06 04:00:00,5102.039,5105.645,5101.976,5061.659,0.0,0.0,0.0,10005.23,far edge crossed
2026.03.06 20:00:00,zone,1,2026.03.06 20:00:00,2026.03.06 08:00:00,2026.03.06 16:00:00,5123.329,5125.928,0.0,5062.789,0.0,0.0,0.0,0.0,
2026.03.08 22:07:42,accepted,1,2026.03.06 20:00:00,2026.03.06 08:00:00,2026.03.06 16:00:00,5123.329,5125.928,5124.625,5062.789,5248.297,0.02,123.67,9848.27,done at 5124.625
2026.03.09 04:00:00,zone,-1,2026.03.09 04:00:00,2026.03.06 20:00:00,2026.03.09 00:00:00,5102.577,5149.478,0.0,5176.745,0.0,0.0,0.0,0.0,
2026.03.09 05:23:17,accepted,-1,2026.03.09 04:00:00,2026.03.06 20:00:00,2026.03.09 00:00:00,5102.577,5149.478,5102.603,5176.745,4954.319,0.02,148.28,9724.45,done at 5102.603
2026.03.10 00:00:00,zone,1,2026.03.10 00:00:00,2026.03.09 12:00:00,2026.03.09 20:00:00,5116.144,5117.877,0.0,5060.935,0.0,0.0,0.0,0.0,
2026.03.12 15:11:04,accepted,1,2026.03.10 00:00:00,2026.03.09 12:00:00,2026.03.09 20:00:00,5116.144,5117.877,5117.782,5060.935,5231.476,0.02,113.69,9576.04,done at 5117.782
2026.03.12 20:00:00,zone,-1,2026.03.12 20:00:00,2026.03.12 08:00:00,2026.03.12 16:00:00,5138.17,5172.687,0.0,5191.831,0.0,0.0,0.0,0.0,
2026.03.13 00:00:00,zone,-1,2026.03.13 00:00:00,2026.03.12 12:00:00,2026.03.12 20:00:00,5101.137,5109.787,0.0,5186.302,0.0,0.0,0.0,0.0,
2026.03.13 00:00:24,accepted,-1,2026.03.13 00:00:00,2026.03.12 12:00:00,2026.03.12 20:00:00,5101.137,5109.787,5101.155,5186.302,4930.861,0.02,170.29,9461.38,done at 5101.155
2026.03.15 22:01:30,zone,-1,2026.03.15 20:00:00,2026.03.13 12:00:00,2026.03.13 20:00:00,5025.603,5031.867,0.0,5122.023,0.0,0.0,0.0,0.0,
2026.03.16 06:16:00,invalidate,-1,2026.03.15 20:00:00,2026.03.13 12:00:00,2026.03.13 20:00:00,5025.603,5031.867,5031.898,5122.023,0.0,0.0,0.0,9599.55,far edge crossed
2026.03.18 16:00:00,zone,-1,2026.03.18 16:00:00,2026.03.18 04:00:00,2026.03.18 12:00:00,4932.531,4981.713,0.0,5016.348,0.0,0.0,0.0,0.0,
2026.03.18 20:00:00,zone,-1,2026.03.18 20:00:00,2026.03.18 08:00:00,2026.03.18 16:00:00,4899.353,4924.945,0.0,4996.762,0.0,0.0,0.0,0.0,
2026.03.19 12:00:00,zone,-1,2026.03.19 12:00:00,2026.03.19 00:00:00,2026.03.19 08:00:00,4740.424,4832.955,0.0,4867.012,0.0,0.0,0.0,0.0,
2026.03.19 16:00:00,zone,-1,2026.03.19 16:00:00,2026.03.19 04:00:00,2026.03.19 12:00:00,4654.054,4727.176,0.0,4853.902,0.0,0.0,0.0,0.0,
