strategy,segment,from_date,to_date,model,initial,final,net,return_pct,profit_factor,win_rate_pct,equity_dd_amount,equity_dd_pct,balance_dd_pct,trades,wins,losses,gross_profit,gross_loss,largest_win,largest_loss,average_win,average_loss,expected_payoff,recovery_factor,sharpe,history_quality,report_path,chart_path
Developed,Training,2020-01-01,2023-12-31,1-minute OHLC,10000.0,10118.95,118.95,1.1895,1.01,52.08,882.45,8.19,7.36,432,225,207,10177.06,-10058.11,155.95,-106.29,45.23,-47.88,0.28,0.13,0.17,98%,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Overnight Value Area Breakout Research 2026-08-26\Backtest Reports\selected-training-2020-2023.htm,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Overnight Value Area Breakout Research 2026-08-26\Backtest Reports\selected-training-2020-2023.png
Developed,Validation,2024-01-01,2025-06-30,1-minute OHLC,10000.0,10515.26,515.26,5.1526000000000005,1.17,50.33,679.61,6.7,5.9,151,76,75,3549.67,-3034.41,158.31,-104.31,46.71,-39.94,3.41,0.76,1.97,98%,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Overnight Value Area Breakout Research 2026-08-26\Backtest Reports\selected-validation-2024-2025h1.htm,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Overnight Value Area Breakout Research 2026-08-26\Backtest Reports\selected-validation-2024-2025h1.png
Developed,Locked,2025-07-01,2026-08-25,real ticks,10000.0,10249.78,249.78,2.4978,1.1,53.91,506.7,4.83,4.1,128,69,59,2758.39,-2508.61,145.66,-102.35,39.98,-42.06,1.95,0.49,1.56,56% real ticks,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Overnight Value Area Breakout Research 2026-08-26\Backtest Reports\selected-locked-real-ticks.htm,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Overnight Value Area Breakout Research 2026-08-26\Backtest Reports\selected-locked-real-ticks.png
Developed,One year,2025-08-26,2026-08-25,real ticks,10000.0,10213.75,213.75,2.1375,1.09,53.57,503.5,4.82,4.08,112,60,52,2476.3,-2262.55,145.66,-102.29,41.27,-43.09,1.91,0.42,1.45,64% real ticks,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Overnight Value Area Breakout Research 2026-08-26\Backtest Reports\selected-one-year-real-ticks.htm,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Overnight Value Area Breakout Research 2026-08-26\Backtest Reports\selected-one-year-real-ticks.png
Developed,One year,2025-08-26,2026-08-25,Every Tick,10000.0,10204.32,204.32,2.0431999999999997,1.09,52.68,512.73,4.91,4.11,112,59,53,2471.06,-2266.74,145.38,-102.29,41.88,-42.35,1.82,0.4,1.12,100%,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Overnight Value Area Breakout Research 2026-08-26\Backtest Reports\selected-one-year-every-tick.htm,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Overnight Value Area Breakout Research 2026-08-26\Backtest Reports\selected-one-year-every-tick.png
Developed,Full,2020-01-01,2026-08-25,1-minute OHLC,10000.0,10839.02,839.02,8.3902,1.05,51.83,1198.2,11.12,10.38,712,369,343,16688.61,-15849.59,158.31,-108.81,45.23,-45.58,1.18,0.7,0.7,98%,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Overnight Value Area Breakout Research 2026-08-26\Backtest Reports\selected-full-2020-2026.htm,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Overnight Value Area Breakout Research 2026-08-26\Backtest Reports\selected-full-2020-2026.png
Literal,Training,2020-01-01,2023-12-31,1-minute OHLC,10000.0,6782.780000000001,-3217.22,-32.1722,0.79,62.65,3324.91,33.23,32.83,514,322,192,12341.64,-15558.86,49.03,-99.92,38.33,-78.7,-6.26,-0.97,-5.0,98%,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Overnight Value Area Breakout Research 2026-08-26\Backtest Reports\literal-training-2020-2023.htm,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Overnight Value Area Breakout Research 2026-08-26\Backtest Reports\literal-training-2020-2023.png
Literal,Validation,2024-01-01,2025-06-30,1-minute OHLC,10000.0,8685.76,-1314.24,-13.142400000000002,0.8,62.5,1683.3,16.62,15.94,192,120,72,5279.78,-6594.02,50.2,-100.76,44.0,-88.97,-6.84,-0.78,-5.0,98%,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Overnight Value Area Breakout Research 2026-08-26\Backtest Reports\literal-validation-2024-2025h1.htm,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Overnight Value Area Breakout Research 2026-08-26\Backtest Reports\literal-validation-2024-2025h1.png
Literal,One year,2025-08-26,2026-08-25,real ticks,10000.0,10211.86,211.86,2.1186,1.04,68.39,769.4,7.06,6.63,155,106,49,5462.5,-5250.64,65.42,-172.13,51.53,-102.72,1.37,0.28,2.64,64% real ticks,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Overnight Value Area Breakout Research 2026-08-26\Backtest Reports\literal-one-year-real-ticks.htm,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Overnight Value Area Breakout Research 2026-08-26\Backtest Reports\literal-one-year-real-ticks.png
Literal,One year,2025-08-26,2026-08-25,Every Tick,10000.0,10465.17,465.17,4.6517,1.09,68.83,642.8,5.9,4.97,154,106,48,5485.71,-5020.54,54.24,-108.84,51.75,-101.21,3.02,0.72,4.19,100%,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Overnight Value Area Breakout Research 2026-08-26\Backtest Reports\literal-one-year-every-tick.htm,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Overnight Value Area Breakout Research 2026-08-26\Backtest Reports\literal-one-year-every-tick.png
