symbol,period,return_pct,profit_factor,win_rate_pct,max_drawdown_pct,trades,sharpe,recovery_factor,commission,swap,decision
xauusd,,-9.2989,0.89,38.24,23.81,170,-2.47,-0.37,-60.39,-15.36,REJECT
xauusd,,-1.6151,0.98,37.5,16.5,136,-0.32,-0.09,-34.09,-34.29,REJECT
xauusd,,25.9357,1.09,38.96,19.38,444,1.19,1.01,-368.31,-346.28,REJECT
xagusd,,-10.488900000000001,0.91,39.09,22.41,197,-2.4,-0.41,-542.5,-3.69,REJECT
xagusd,,-4.9864,0.82,30.43,11.94,46,-3.81,-0.39,-109.85,-3.69,REJECT
xagusd,,-0.8348999999999999,0.97,34.55,12.03,55,-0.49,-0.06,-174.96,-9.43,REJECT
btcusd,,-19.7761,0.83,37.05,27.04,224,-3.51,-0.73,-251.56,-22.92,WATCH / insufficient robustness
btcusd,,4.2713,1.07,47.27,13.91,110,1.38,0.28,-124.51,-29.72,WATCH / insufficient robustness
btcusd,,37.248400000000004,1.16,47.71,15.65,371,3.27,1.85,-530.11,-106.08,WATCH / insufficient robustness
us30,,11.9733,1.14,44.22,10.64,147,2.69,1.08,-148.6,-67.37,WATCH / insufficient robustness
us30,,4.15,1.11,54.02,10.39,87,2.31,0.38,-62.22,-89.26,WATCH / insufficient robustness
us30,,12.9804,1.11,54.76,10.37,252,2.36,1.1,-193.12,-138.26,WATCH / insufficient robustness
ustec,,-15.409999999999998,0.84,37.04,22.65,162,-3.89,-0.63,-183.42,-40.47,REJECT
ustec,,-0.426,0.94,55.0,3.91,20,-0.49,-0.11,-8.23,-8.92,REJECT
ustec,,1.1861,1.03,51.22,10.25,82,0.39,0.1,-51.32,-88.34,REJECT
gbpjpy,,-18.8934,0.8,36.81,23.15,144,-5.0,-0.77,-590.33,-32.85,REJECT
gbpjpy,,-17.0094,0.5,34.55,19.19,55,-5.0,-0.88,-172.21,0.0,REJECT
gbpjpy,,7.822799999999999,1.09,53.95,19.99,152,2.43,0.3,-504.58,-10.96,REJECT
