symbol,variant,return_pct,profit_factor,win_rate_pct,max_drawdown_pct,trades,sharpe,recovery_factor,selection_score,history_quality,commission,swap,path
btcusd,signal,5.538,1.02,41.34,29.55,433,0.48,0.13,-18.936368472445842,100%,-727.57,-90.99,Backtest Reports\stop\btcusd--signal--stop.htm
btcusd,atr150,2.0164,1.01,41.19,25.24,454,0.19,0.07,-19.15119602976198,100%,-678.06,-87.0,Backtest Reports\stop\btcusd--atr150--stop.htm
btcusd,atr200,-22.997600000000002,0.9,38.63,29.09,422,-2.08,-0.78,-50.82142618789392,100%,-395.64,-81.34,Backtest Reports\stop\btcusd--atr200--stop.htm
btcusd,atr100,-20.8918,0.93,39.26,38.01,484,-3.14,-0.46,-56.587148314018016,100%,-1049.21,-23.07,Backtest Reports\stop\btcusd--atr100--stop.htm
btcusd,swing3,-31.6029,0.84,37.8,34.83,381,-2.62,-0.88,-65.57364064573734,100%,-319.25,-189.6,Backtest Reports\stop\btcusd--swing3--stop.htm
btcusd,swing8,-31.832300000000004,0.8,38.37,34.03,344,-2.62,-0.92,-65.72252261577053,100%,-211.05,-146.23,Backtest Reports\stop\btcusd--swing8--stop.htm
btcusd,swing5,-34.489599999999996,0.8,37.78,38.74,360,-2.98,-0.86,-72.63232261577052,100%,-248.51,-159.36,Backtest Reports\stop\btcusd--swing5--stop.htm
gbpjpy,atr150,31.358400000000003,1.61,53.19,6.85,94,9.05,4.3,39.54321014795647,100%,-274.29,-14.97,Backtest Reports\stop\gbpjpy--atr150--stop.htm
gbpjpy,swing8,24.219899999999996,1.53,52.27,6.76,88,5.61,2.9,28.799612824852126,100%,-158.59,-55.75,Backtest Reports\stop\gbpjpy--swing8--stop.htm
gbpjpy,signal,17.0797,1.3,48.45,11.23,97,6.01,1.4,15.68007117360989,100%,-358.74,-25.92,Backtest Reports\stop\gbpjpy--signal--stop.htm
gbpjpy,swing3,16.1186,1.29,48.39,10.22,93,4.52,1.23,14.30780662048297,100%,-229.97,-42.71,Backtest Reports\stop\gbpjpy--swing3--stop.htm
gbpjpy,atr200,10.6032,1.2,46.15,7.73,91,2.98,1.2,8.875558681527455,100%,-191.14,-30.41,Backtest Reports\stop\gbpjpy--atr200--stop.htm
gbpjpy,swing5,11.4968,1.22,46.15,11.74,91,2.92,0.79,6.370510304941984,100%,-183.06,-46.68,Backtest Reports\stop\gbpjpy--swing5--stop.htm
gbpjpy,atr100,10.4824,1.18,46.0,13.5,100,4.75,0.76,4.82207326173088,100%,-396.16,-15.54,Backtest Reports\stop\gbpjpy--atr100--stop.htm
us30,atr200,10.9255,1.12,43.83,11.91,162,2.16,0.86,4.082944223684039,98%,-122.72,-119.13,Backtest Reports\stop\us30--atr200--stop.htm
us30,swing5,-5.2251,0.94,41.51,11.72,159,-1.01,-0.44,-16.84110484461705,98%,-117.41,-134.84,Backtest Reports\stop\us30--swing5--stop.htm
us30,signal,-4.6413,0.95,40.72,13.96,167,-1.11,-0.31,-18.063819532650605,98%,-179.72,-59.31,Backtest Reports\stop\us30--signal--stop.htm
us30,swing8,-5.506,0.94,40.91,13.8,154,-1.03,-0.38,-18.88400484461705,98%,-105.28,-139.97,Backtest Reports\stop\us30--swing8--stop.htm
us30,swing3,-8.273800000000001,0.91,40.36,14.76,166,-1.81,-0.54,-23.4980281536549,98%,-136.09,-99.76,Backtest Reports\stop\us30--swing3--stop.htm
us30,atr150,-14.9403,0.85,37.72,23.02,167,-3.97,-0.61,-39.648527153973305,98%,-154.03,-104.59,Backtest Reports\stop\us30--atr150--stop.htm
us30,atr100,-25.0792,0.75,34.29,27.9,175,-5.0,-0.89,-56.30788486942137,98%,-226.55,0.0,Backtest Reports\stop\us30--atr100--stop.htm
ustec,swing8,-14.032300000000001,0.76,34.31,18.1,102,-3.55,-0.74,-35.63204214842113,98%,-83.33,-117.32,Backtest Reports\stop\ustec--swing8--stop.htm
ustec,swing5,-16.200799999999997,0.73,33.65,20.21,104,-4.17,-0.76,-40.54932893807639,98%,-92.8,-137.94,Backtest Reports\stop\ustec--swing5--stop.htm
ustec,atr200,-19.773699999999998,0.72,33.04,22.62,115,-5.0,-0.84,-46.986748803664426,98%,-114.57,-132.03,Backtest Reports\stop\ustec--atr200--stop.htm
ustec,signal,-18.5327,0.75,33.33,26.88,114,-5.0,-0.62,-48.79988486942136,98%,-179.35,-122.33,Backtest Reports\stop\ustec--signal--stop.htm
ustec,atr150,-21.0608,0.72,33.05,24.88,118,-5.0,-0.81,-50.18434880366443,98%,-157.61,-102.36,Backtest Reports\stop\ustec--atr150--stop.htm
ustec,swing3,-20.3476,0.69,33.03,25.92,109,-5.0,-0.73,-50.83786417668998,98%,-111.39,-116.13,Backtest Reports\stop\ustec--swing3--stop.htm
ustec,atr100,-33.003499999999995,0.56,27.5,35.16,120,-5.0,-0.91,-73.9158219430353,98%,-221.72,-48.16,Backtest Reports\stop\ustec--atr100--stop.htm
