symbol,variant,return_pct,profit_factor,win_rate_pct,max_drawdown_pct,trades,sharpe,recovery_factor,selection_score,history_quality,commission,swap,path
btcusd,newyork,31.0922,1.19,47.89,15.6,261,4.09,1.54,23.526139685481258,100%,-366.33,-66.91,Backtest Reports\session\btcusd--newyork--session.htm
btcusd,london,25.286599999999996,1.14,46.79,10.81,280,3.63,1.71,20.991439148876847,100%,-498.78,-29.72,Backtest Reports\session\btcusd--london--session.htm
btcusd,overlap,21.6667,1.21,48.28,9.15,174,4.9,2.0,20.551644315303793,100%,-240.71,-22.58,Backtest Reports\session\btcusd--overlap--session.htm
btcusd,all,13.1582,1.05,45.43,22.77,438,1.17,0.42,-4.586318029966813,100%,-729.02,-90.0,Backtest Reports\session\btcusd--all--session.htm
btcusd,asia,-15.703599999999998,0.82,41.03,23.48,156,-4.52,-0.63,-41.65351126468606,100%,-228.09,0.0,Backtest Reports\session\btcusd--asia--session.htm
gbpjpy,all,29.695,1.75,64.95,5.23,97,12.53,5.51,43.29088945522507,100%,-280.0,-10.96,Backtest Reports\session\gbpjpy--all--session.htm
gbpjpy,newyork,12.8746,2.2,69.7,3.66,33,13.41,3.49,28.054088324371243,100%,-80.87,-10.7,Backtest Reports\session\gbpjpy--newyork--session.htm
gbpjpy,asia,11.283499999999998,1.84,66.67,3.73,36,16.7,2.94,27.58418685945073,100%,-114.96,0.0,Backtest Reports\session\gbpjpy--asia--session.htm
gbpjpy,london,12.985299999999999,1.49,61.29,4.73,62,9.23,2.46,21.533613439488413,100%,-164.14,-10.95,Backtest Reports\session\gbpjpy--london--session.htm
gbpjpy,overlap,8.703,1.83,65.52,3.79,29,11.02,2.28,17.946291602239953,100%,-73.24,-10.7,Backtest Reports\session\gbpjpy--overlap--session.htm
us30,asia,6.1412,1.82,63.16,2.79,19,11.38,2.09,12.872238013064448,98%,-20.37,0.0,Backtest Reports\session\us30--asia--session.htm
us30,all,8.8063,1.12,55.15,9.26,165,2.49,0.91,4.48124422368404,98%,-125.86,-41.55,Backtest Reports\session\us30--all--session.htm
us30,newyork,0.897,1.02,55.28,7.76,123,0.33,0.11,-5.175368472445844,98%,-74.91,-53.91,Backtest Reports\session\us30--newyork--session.htm
us30,overlap,0.6233,1.01,51.16,8.99,86,0.39,0.07,-6.581796029761984,98%,-57.51,-14.92,Backtest Reports\session\us30--overlap--session.htm
us30,london,1.137,1.02,50.39,11.03,127,0.48,0.1,-7.605868472445841,98%,-100.57,-15.02,Backtest Reports\session\us30--london--session.htm
ustec,overlap,1.6763,1.06,50.0,10.33,62,0.7,0.15,-5.82747310251229,98%,-43.07,-79.66,Backtest Reports\session\ustec--overlap--session.htm
ustec,newyork,1.0465,1.03,50.68,10.84,73,0.37,0.09,-7.503794373101467,98%,-52.08,-94.6,Backtest Reports\session\ustec--newyork--session.htm
ustec,london,-4.6403,0.89,46.59,15.95,88,-1.56,-0.26,-20.857205795071415,98%,-74.62,-90.3,Backtest Reports\session\ustec--london--session.htm
ustec,all,-6.225,0.87,49.06,15.12,106,-1.78,-0.38,-22.21614480800209,98%,-90.59,-104.95,Backtest Reports\session\ustec--all--session.htm
ustec,asia,-5.9666999999999994,0.14,41.67,7.35,12,-5.0,-0.81,-49.64105427647399,98%,-14.24,0.0,Backtest Reports\session\ustec--asia--session.htm
xagusd,asia,4.555199999999999,2.19,55.56,2.3,9,1.61,1.88,3.022518525940912,98%,-60.34,-5.74,Backtest Reports\session\xagusd--asia--session.htm
xagusd,london,-3.1805,0.84,33.33,8.01,33,-2.33,-0.38,-16.411740645737332,98%,-148.28,-52.07,Backtest Reports\session\xagusd--london--session.htm
xagusd,all,-4.3950000000000005,0.8,32.43,7.43,37,-3.0,-0.57,-16.887722615770517,98%,-163.01,-50.84,Backtest Reports\session\xagusd--all--session.htm
xagusd,overlap,-7.1051,0.49,29.17,7.51,24,-5.0,-0.94,-31.72779865452958,98%,-76.06,-49.2,Backtest Reports\session\xagusd--overlap--session.htm
xagusd,newyork,-8.9071,0.43,26.92,9.31,26,-5.0,-0.95,-35.930740843534345,98%,-79.87,-48.79,Backtest Reports\session\xagusd--newyork--session.htm
xauusd,all,17.1663,1.09,38.31,14.83,308,1.15,0.99,6.8039323548926305,98%,-328.07,-303.79,Backtest Reports\session\xauusd--all--session.htm
xauusd,asia,13.0705,1.13,37.58,15.55,157,1.91,0.8,3.032111592690988,98%,-190.98,-64.55,Backtest Reports\session\xauusd--asia--session.htm
xauusd,london,7.231,1.05,38.08,17.35,239,0.66,0.39,-6.2995180299668165,98%,-213.09,-242.83,Backtest Reports\session\xauusd--london--session.htm
xauusd,newyork,-14.852799999999998,0.84,35.91,16.96,181,-1.89,-0.86,-33.07954064573733,98%,-104.58,-217.77,Backtest Reports\session\xauusd--newyork--session.htm
xauusd,overlap,-19.9296,0.76,33.74,21.25,163,-2.92,-0.92,-43.79734214842112,98%,-95.43,-158.3,Backtest Reports\session\xauusd--overlap--session.htm
