symbol,variant,return_pct,profit_factor,win_rate_pct,max_drawdown_pct,trades,sharpe,recovery_factor,selection_score,history_quality,commission,swap,path
btcusd,be100,13.1582,1.05,45.43,22.77,438,1.17,0.42,-4.586318029966813,100%,-729.02,-90.0,Backtest Reports\trailing\btcusd--be100--trailing.htm
btcusd,atr100-200,12.472000000000001,1.04,42.56,25.26,437,1.1,0.35,-7.580851442160624,100%,-739.07,-91.31,Backtest Reports\trailing\btcusd--atr100-200--trailing.htm
btcusd,none,5.538,1.02,41.34,29.55,433,0.48,0.13,-18.936368472445842,100%,-727.57,-90.99,Backtest Reports\trailing\btcusd--none--trailing.htm
btcusd,be075,-5.9266,0.98,48.64,26.04,442,-0.63,-0.19,-28.842032487810236,100%,-658.73,-84.51,Backtest Reports\trailing\btcusd--be075--trailing.htm
btcusd,dynamic5020-atr,-14.5424,0.93,54.97,32.82,453,-1.99,-0.37,-44.932248314018025,100%,-685.1,-73.9,Backtest Reports\trailing\btcusd--dynamic5020-atr--trailing.htm
btcusd,dynamic5020,-15.7316,0.93,54.97,33.27,453,-2.16,-0.4,-46.64194831401803,100%,-682.69,-73.9,Backtest Reports\trailing\btcusd--dynamic5020--trailing.htm
gbpjpy,atr100-200,29.695,1.75,64.95,5.23,97,12.53,5.51,43.29088945522507,100%,-280.0,-10.96,Backtest Reports\trailing\gbpjpy--atr100-200--trailing.htm
gbpjpy,be100,29.695,1.75,64.95,5.23,97,12.53,5.51,43.29088945522507,100%,-280.0,-10.96,Backtest Reports\trailing\gbpjpy--be100--trailing.htm
gbpjpy,none,29.695,1.75,64.95,5.23,97,12.53,5.51,43.29088945522507,100%,-280.0,-10.96,Backtest Reports\trailing\gbpjpy--none--trailing.htm
gbpjpy,be075,27.4532,1.73,66.33,6.08,98,12.31,4.37,39.62465690211625,100%,-277.73,-10.96,Backtest Reports\trailing\gbpjpy--be075--trailing.htm
