symbol,variant,return_pct,profit_factor,win_rate_pct,max_drawdown_pct,trades,sharpe,recovery_factor,selection_score,history_quality,commission,swap,path
btcusd,breakout10,5.538,1.02,41.34,29.55,433,0.48,0.13,-18.936368472445842,100%,-727.57,-90.99,Backtest Reports\screen\btcusd--breakout10--screen.htm
btcusd,retest10,-11.2672,0.86,37.32,20.36,142,-3.9,-0.53,-33.493574676815,100%,-203.83,-24.74,Backtest Reports\screen\btcusd--retest10--screen.htm
btcusd,raw20,-10.2133,0.96,39.92,31.47,511,-0.83,-0.3,-38.18016393424306,100%,-902.76,-36.52,Backtest Reports\screen\btcusd--raw20--screen.htm
btcusd,auto10,-12.6219,0.96,40.0,33.24,510,-1.04,-0.29,-42.247263934243065,100%,-800.11,-47.47,Backtest Reports\screen\btcusd--auto10--screen.htm
btcusd,bounce10,-31.782,0.8,36.33,34.65,311,-5.0,-0.9,-67.97722261577051,100%,-435.97,-41.84,Backtest Reports\screen\btcusd--bounce10--screen.htm
btcusd,raw5,-43.8548,0.86,37.76,52.4,670,-3.54,-0.76,-93.12567467681501,100%,-1046.47,-66.24,Backtest Reports\screen\btcusd--raw5--screen.htm
gbpjpy,retest10,17.0797,1.3,48.45,11.23,97,6.01,1.4,15.68007117360989,100%,-358.74,-25.92,Backtest Reports\screen\gbpjpy--retest10--screen.htm
gbpjpy,bounce10,-15.478800000000001,0.86,38.02,20.02,192,-3.47,-0.76,-37.174174676815,100%,-606.55,-36.13,Backtest Reports\screen\gbpjpy--bounce10--screen.htm
gbpjpy,breakout10,-19.1096,0.89,38.75,31.24,320,-2.57,-0.58,-49.19250579507142,100%,-853.24,-55.85,Backtest Reports\screen\gbpjpy--breakout10--screen.htm
gbpjpy,auto10,-30.7767,0.84,37.18,40.44,355,-4.29,-0.72,-70.71244064573732,100%,-958.76,-47.06,Backtest Reports\screen\gbpjpy--auto10--screen.htm
gbpjpy,raw20,-51.748000000000005,0.74,35.25,54.63,417,-5.0,-0.91,-105.86526111340706,100%,-1214.6,-40.33,Backtest Reports\screen\gbpjpy--raw20--screen.htm
gbpjpy,raw5,-58.302200000000006,0.74,35.11,60.73,487,-5.0,-0.93,-117.61146111340706,100%,-1545.17,-60.66,Backtest Reports\screen\gbpjpy--raw5--screen.htm
us30,bounce10,-4.6413,0.95,40.72,13.96,167,-1.11,-0.31,-18.063819532650605,98%,-179.72,-59.31,Backtest Reports\screen\us30--bounce10--screen.htm
us30,raw20,-13.1301,0.94,39.18,18.08,365,-1.46,-0.71,-30.58410484461705,98%,-479.37,-66.3,Backtest Reports\screen\us30--raw20--screen.htm
us30,breakout10,-12.1515,0.92,40.07,21.43,272,-1.54,-0.52,-32.70457930726862,98%,-242.89,-173.93,Backtest Reports\screen\us30--breakout10--screen.htm
us30,auto10,-15.300600000000001,0.91,39.81,21.1,309,-1.8,-0.7,-35.962328153654894,98%,-280.75,-169.38,Backtest Reports\screen\us30--auto10--screen.htm
us30,retest10,-13.512099999999998,0.76,36.36,23.47,99,-5.0,-0.56,-40.70084214842112,98%,-94.35,-76.78,Backtest Reports\screen\us30--retest10--screen.htm
