symbol,variant,return_pct,profit_factor,win_rate_pct,max_drawdown_pct,trades,sharpe,recovery_factor,selection_score,history_quality,commission,swap,path
btcusd,rr150,5.538,1.02,41.34,29.55,433,0.48,0.13,-26.94099727935982,100%,-727.57,-90.99,Backtest Reports\rr\btcusd--rr150--rr.htm
btcusd,rr200,-4.7965,0.98,34.35,36.94,425,-0.34,-0.09,-36.72443248781023,100%,-685.62,-136.63,Backtest Reports\rr\btcusd--rr200--rr.htm
btcusd,rr100,-15.795499999999999,0.93,48.89,25.62,450,-2.11,-0.56,-40.22184831401803,100%,-628.69,-62.77,Backtest Reports\rr\btcusd--rr100--rr.htm
btcusd,rr075,-17.0066,0.92,55.84,26.2,462,-2.99,-0.59,-42.72617930726861,100%,-656.59,-51.97,Backtest Reports\rr\btcusd--rr075--rr.htm
btcusd,rr050,-32.9129,0.8,62.18,36.08,476,-5.0,-0.88,-57.90092312694466,100%,-638.8,-25.4,Backtest Reports\rr\btcusd--rr050--rr.htm
btcusd,rr300,-26.2148,0.92,26.15,47.02,413,-1.48,-0.41,-68.4358793072686,100%,-609.92,-196.59,Backtest Reports\rr\btcusd--rr300--rr.htm
btcusd,rr400,-31.0101,0.89,22.93,40.93,410,-1.53,-0.66,-68.57750579507143,100%,-548.63,-227.45,Backtest Reports\rr\btcusd--rr400--rr.htm
btcusd,rr500,-35.7094,0.87,21.23,41.65,405,-1.65,-0.79,-71.72325225218329,100%,-517.67,-250.57,Backtest Reports\rr\btcusd--rr500--rr.htm
gbpjpy,rr100,29.695,1.75,64.95,5.23,97,12.53,5.51,41.6044337669542,100%,-280.0,-10.96,Backtest Reports\rr\gbpjpy--rr100--rr.htm
gbpjpy,rr150,31.358400000000003,1.61,53.19,6.85,94,9.05,4.3,39.54321014795647,100%,-274.29,-14.97,Backtest Reports\rr\gbpjpy--rr150--rr.htm
gbpjpy,rr400,38.8762,1.48,31.18,14.67,93,5.07,1.84,34.97190953221108,100%,-296.59,-67.96,Backtest Reports\rr\gbpjpy--rr400--rr.htm
gbpjpy,rr300,35.325700000000005,1.46,35.48,12.45,93,5.7,1.99,34.25593722864295,100%,-296.5,-57.22,Backtest Reports\rr\gbpjpy--rr300--rr.htm
gbpjpy,rr200,27.5459,1.45,44.09,7.97,93,6.55,2.82,32.536486225343715,100%,-277.23,-17.51,Backtest Reports\rr\gbpjpy--rr200--rr.htm
gbpjpy,rr075,19.9075,1.59,69.39,6.21,98,13.18,3.09,31.160308194785678,100%,-271.52,-10.96,Backtest Reports\rr\gbpjpy--rr075--rr.htm
gbpjpy,rr050,12.7487,1.48,76.77,5.02,99,13.9,2.25,27.441426466975315,100%,-269.88,0.0,Backtest Reports\rr\gbpjpy--rr050--rr.htm
gbpjpy,rr500,10.871099999999998,1.14,26.09,18.38,92,1.28,0.47,14.87068380587279,100%,-265.2,-64.93,Backtest Reports\rr\gbpjpy--rr500--rr.htm
us30,rr150,10.9255,1.12,43.83,11.91,162,2.16,0.86,-5.744654447383157,98%,-122.72,-119.13,Backtest Reports\rr\us30--rr150--rr.htm
us30,rr100,-3.1383,0.96,50.0,15.74,164,-0.91,-0.19,-17.756163934243062,98%,-117.77,-77.97,Backtest Reports\rr\us30--rr100--rr.htm
us30,rr075,-8.7646,0.88,54.55,16.53,165,-3.32,-0.52,-27.021100458118617,98%,-116.05,-31.82,Backtest Reports\rr\us30--rr075--rr.htm
us30,rr200,-11.805,0.88,32.48,18.36,157,-1.96,-0.63,-30.63550045811862,98%,-107.98,-163.43,Backtest Reports\rr\us30--rr200--rr.htm
us30,rr050,-13.908199999999999,0.77,61.31,17.33,168,-5.0,-0.79,-31.850362649440463,98%,-116.35,-31.42,Backtest Reports\rr\us30--rr050--rr.htm
us30,rr300,-19.2069,0.81,26.32,23.78,152,-2.66,-0.76,-44.20955237578784,98%,-104.06,-231.27,Backtest Reports\rr\us30--rr300--rr.htm
