id,core,offset,stop,trail_start,trail_distance,use_session,session_start,session_end,long,short,max_spread,volume_ratio,range_atr,stage,from,to,report,initial,final,net,return_pct,pf,win_rate,dd_amount,dd_pct,trades,wins,commission,swap,quality,min_balance,survived
literal-all,literal,0.4,0.5,0.8,0.45,False,0,0,True,True,0.5,0.0,0.0,Development,2026.07.01,2026.07.31,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\high frecency ea\Audit\Small Balance 50 USD 2026-09-01\Reports\Development\literal-all.htm,50.0,21398.26,21348.26,42696.52,3.42,60.92,30.59,0.18,32648,19890,-1958.879999998702,-3.64,100.0,49.94,True
literal-asia,literal,0.4,0.5,0.8,0.45,True,0,8,True,True,0.5,0.0,0.0,Development,2026.07.01,2026.07.31,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\high frecency ea\Audit\Small Balance 50 USD 2026-09-01\Reports\Development\literal-asia.htm,50.0,7081.99,7031.99,14063.980000000001,3.26,61.55,10.51,0.44,11689,7194,-701.3399999998456,0.0,100.0,49.94,True
literal-london,literal,0.4,0.5,0.8,0.45,True,7,12,True,True,0.5,0.0,0.0,Development,2026.07.01,2026.07.31,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\high frecency ea\Audit\Small Balance 50 USD 2026-09-01\Reports\Development\literal-london.htm,50.0,3037.24,2987.24,5974.48,2.57,56.87,10.57,0.38,6531,3714,-391.8600000000133,0.0,100.0,49.78,True
literal-ny-open,literal,0.4,0.5,0.8,0.45,True,13,18,True,True,0.5,0.0,0.0,Development,2026.07.01,2026.07.31,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\high frecency ea\Audit\Small Balance 50 USD 2026-09-01\Reports\Development\literal-ny-open.htm,50.0,7695.88,7645.88,15291.759999999998,4.61,65.87,9.57,0.17,8778,5782,-526.6800000000045,0.0,100.0,49.37,True
literal-ny-full,literal,0.4,0.5,0.8,0.45,True,13,21,True,True,0.5,0.0,0.0,Development,2026.07.01,2026.07.31,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\high frecency ea\Audit\Small Balance 50 USD 2026-09-01\Reports\Development\literal-ny-full.htm,50.0,9279.84,9229.84,18459.68,3.93,62.34,17.14,0.22,11955,7453,-717.2999999998311,-0.52,100.0,49.37,True
literal-overlap,literal,0.4,0.5,0.8,0.45,True,13,16,True,True,0.5,0.0,0.0,Development,2026.07.01,2026.07.31,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\high frecency ea\Audit\Small Balance 50 USD 2026-09-01\Reports\Development\literal-overlap.htm,50.0,6566.69,6516.69,13033.38,5.83,69.6,8.25,0.68,6116,4257,-366.96000000001237,0.0,100.0,49.37,True
balanced-all,balanced,0.4,0.6,0.9,0.45,False,0,0,True,True,0.5,0.0,0.0,Development,2026.07.01,2026.07.31,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\high frecency ea\Audit\Small Balance 50 USD 2026-09-01\Reports\Development\balanced-all.htm,50.0,19477.85,19427.85,38855.7,3.0,59.17,35.54,0.23,30302,17931,-1818.11999999883,-3.12,100.0,49.94,True
balanced-asia,balanced,0.4,0.6,0.9,0.45,True,0,8,True,True,0.5,0.0,0.0,Development,2026.07.01,2026.07.31,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\high frecency ea\Audit\Small Balance 50 USD 2026-09-01\Reports\Development\balanced-asia.htm,50.0,6339.03,6289.03,12578.06,2.81,59.27,13.02,0.24,10902,6462,-654.1199999998886,0.0,100.0,49.94,True
balanced-london,balanced,0.4,0.6,0.9,0.45,True,7,12,True,True,0.5,0.0,0.0,Development,2026.07.01,2026.07.31,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\high frecency ea\Audit\Small Balance 50 USD 2026-09-01\Reports\Development\balanced-london.htm,50.0,2696.96,2646.96,5293.92,2.28,55.32,28.89,1.16,6016,3328,-360.96000000001214,0.0,100.0,49.68,True
balanced-ny-open,balanced,0.4,0.6,0.9,0.45,True,13,18,True,True,0.5,0.0,0.0,Development,2026.07.01,2026.07.31,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\high frecency ea\Audit\Small Balance 50 USD 2026-09-01\Reports\Development\balanced-ny-open.htm,50.0,7132.45,7082.45,14164.9,3.98,63.99,12.85,0.83,8258,5284,-495.48000000001724,0.0,100.0,49.27,True
