symbol,broker_symbol,candles,days,status
AUDUSD,AUDUSDm,25209,313,ok
XAUUSD,XAUUSDm,23955,312,ok
BTCUSD,BTCUSDm,35534,365,ok
US30,US30m,23923,313,ok
