starting_balance,ending_balance,net_profit,return_pct,trades,wins,losses,win_rate,net_r,avg_r,avg_spread_r,max_drawdown_pct,symbol
300.0,324.77,24.77,8.26,59,26,33,44.07,2.65,0.0449,0.0208,30.02,US30
300.0,323.76,23.76,7.92,13,7,6,53.85,1.82,0.1399,0.0001,9.75,XAUUSD
