symbol,timeframe,month,opened_at,closed_at,direction,entry,stop_loss,take_profit,exit_price,result,r_multiple,spread_r,spread_points,setup_score,bpr_low,bpr_high,reason,pnl,balance
XAUUSD,M30,2026-06,2026-06-08 02:00:00,2026-06-08 06:00:00,SELL,4314.761,4347.73136,4248.82028,4305.97,SMART_EXIT,0.2666,0.0001,260.0,100,4329.822,4332.843,Opposing FVGs overlap into a balanced price range.; Entry waits for price to return into the BPR and reject it.; Stop is beyond BPR with 0.25 ATR buffer.; Dynamic stop widened to 1.97 ATR; lot sizing must preserve the configured dollar-risk cap.,4.0,304.0
XAUUSD,M30,2026-06,2026-06-08 12:00:00,2026-06-08 13:30:00,SELL,4329.836,4361.88846,4265.73107,4326.839,SMART_EXIT,0.0934,0.0001,280.0,100,4334.611,4339.512,Opposing FVGs overlap into a balanced price range.; Entry waits for price to return into the BPR and reject it.; Stop is beyond BPR with 0.25 ATR buffer.; Dynamic stop widened to 1.69 ATR; lot sizing must preserve the configured dollar-risk cap.,1.42,305.42
XAUUSD,M30,2026-06,2026-06-12 12:30:00,2026-06-12 13:30:00,BUY,4191.873,4168.72737,4238.16426,4186.499,SMART_EXIT,-0.2323,0.0001,260.0,100,4187.67,4189.401,Opposing FVGs overlap into a balanced price range.; Entry waits for price to return into the BPR and reject it.; Stop is beyond BPR with 0.25 ATR buffer.; Dynamic stop widened to 1.52 ATR; lot sizing must preserve the configured dollar-risk cap.,-3.55,301.87
XAUUSD,M30,2026-06,2026-06-23 01:30:00,2026-06-23 02:00:00,BUY,4161.202,4141.83706,4199.93188,4161.717,SMART_EXIT,0.0265,0.0001,260.0,99,4156.971,4165.195,Opposing FVGs overlap into a balanced price range.; Entry waits for price to return into the BPR and reject it.; Stop is beyond BPR with 0.25 ATR buffer.; Dynamic stop widened to 1.90 ATR; lot sizing must preserve the configured dollar-risk cap.,0.4,302.27
XAUUSD,M30,2026-06,2026-06-24 14:30:00,2026-06-24 15:00:00,BUY,4007.819,3924.085,4175.287,4014.907,SMART_EXIT,0.0846,0.0,260.0,95,3995.783,4006.366,Opposing FVGs overlap into a balanced price range.; Entry waits for price to return into the BPR and reject it.; Stop is beyond BPR with 0.25 ATR buffer.; Dynamic stop widened to 3.50 ATR; lot sizing must preserve the configured dollar-risk cap.,1.28,303.55
XAUUSD,M30,2026-06,2026-06-24 20:00:00,2026-06-24 23:30:00,SELL,3999.843,4045.71024,3908.10852,4012.325,SMART_EXIT,-0.2722,0.0001,260.0,96,3995.783,4006.067,Opposing FVGs overlap into a balanced price range.; Entry waits for price to return into the BPR and reject it.; Stop is beyond BPR with 0.25 ATR buffer.; Dynamic stop widened to 1.93 ATR; lot sizing must preserve the configured dollar-risk cap.,-4.13,299.42
XAUUSD,M30,2026-06,2026-06-25 13:30:00,2026-06-25 14:30:00,BUY,4002.3,3966.71165,4073.4767,4012.047,SMART_EXIT,0.2738,0.0001,240.0,94,3995.783,4006.366,Opposing FVGs overlap into a balanced price range.; Entry waits for price to return into the BPR and reject it.; Stop is beyond BPR with 0.25 ATR buffer.; Dynamic stop widened to 2.30 ATR; lot sizing must preserve the configured dollar-risk cap.,4.1,303.52
XAUUSD,M30,2026-06,2026-06-25 13:30:00,2026-06-25 14:30:00,BUY,4002.3,3966.71165,4073.4767,4012.047,SMART_EXIT,0.2738,0.0001,240.0,91,3991.154,4006.067,Opposing FVGs overlap into a balanced price range.; Entry waits for price to return into the BPR and reject it.; Stop is beyond BPR with 0.25 ATR buffer.; Dynamic stop widened to 2.30 ATR; lot sizing must preserve the configured dollar-risk cap.,4.16,307.67
XAUUSD,M30,2026-06,2026-06-26 04:00:00,2026-06-26 06:00:00,SELL,4007.554,4028.61582,3965.43036,4024.097,SMART_EXIT,-0.7856,0.0001,240.0,99,4009.248,4011.899,Opposing FVGs overlap into a balanced price range.; Entry waits for price to return into the BPR and reject it.; Stop is beyond BPR with 0.25 ATR buffer.; Dynamic stop widened to 1.50 ATR; lot sizing must preserve the configured dollar-risk cap.,-12.09,295.59
XAUUSD,M30,2026-06,2026-06-26 04:00:00,2026-06-26 06:00:00,SELL,4007.554,4028.61582,3965.43036,4024.097,SMART_EXIT,-0.7856,0.0001,240.0,98,4009.248,4014.165,Opposing FVGs overlap into a balanced price range.; Entry waits for price to return into the BPR and reject it.; Stop is beyond BPR with 0.25 ATR buffer.; Dynamic stop widened to 1.50 ATR; lot sizing must preserve the configured dollar-risk cap.,-11.61,283.98
