symbol,broker_symbol,timeframe,confirmation,pivot_len,atr_sl_mult,rr,session,trades,wins,losses,win_rate,start_balance,final_balance,profit,return_pct,max_drawdown_pct,profit_factor,avg_r,avg_lot,avg_actual_risk,max_trades_per_day,risk_mode,fixed_lot,risk_usd_cap,risk_usd_offset,max_consecutive_losses,loss_cooldown_days,weekly_loss_limit_r,monthly_loss_limit_r
EURJPY,EURJPY..,M5,EMA,3,1.2,1.0/1.5/2.0,LONDON,203,112,91,55.17,10000.0,17605.63,7605.63,76.06,21.05,1.28,0.151,3.358,297.69,3,RISK_PERCENT,0.01,12.0,0.5,3,5,2.0,6.0
USDSGD,USDSGD..,M5,EMA,3,2.0,1.0/2.0/3.0,ALL,207,109,97,52.66,10000.0,12047.62,2047.62,20.48,15.93,1.12,0.056,2.384,191.49,1,RISK_PERCENT,0.01,12.0,0.5,3,5,2.0,6.0
