symbol,period,return_pct,profit_factor,win_rate_pct,max_drawdown_pct,trades,sharpe,recovery_factor,net_profit
US500,latest-1y,-10.268900000000002,0.86,37.21,15.18,215,-2.68,-0.66,-1026.89
US500,recent-3y,-6.153899999999999,0.97,37.4,23.87,639,-0.54,-0.22,-615.39
US500,full-5y,-4.5141,0.99,37.53,28.21,1079,-0.23,-0.15,-451.41
USTEC,latest-1y,5.643800000000001,1.09,39.8,12.34,201,1.45,0.45,564.38
USTEC,recent-3y,27.834200000000003,1.14,40.0,17.69,590,2.24,1.2,2783.42
USTEC,full-5y,49.8625,1.14,39.28,17.66,1026,2.17,1.83,4986.25
