version,net_profit,return_pct,profit_factor,win_rate_pct,max_drawdown_pct,trades,sharpe,recovery_factor,expected_payoff,history_quality,commission,swap
baseline-locked,-5951.54,-59.5154,0.85,24.55,69.23,660,-2.91,-0.67,-9.02,99%,-2392.26,-486.31
optimized-locked,-386.84,-3.8683999999999994,0.93,30.57,17.82,157,-1.95,-0.21,-2.46,99%,-158.8,-55.47
optimized-latest-1y,567.87,5.6787,1.19,34.67,10.89,75,5.38,0.5,7.57,100%,-69.26,-28.27
optimized-full-5y,6188.57,61.8857,1.28,30.18,18.13,391,7.65,1.97,15.83,98%,-865.57,-1183.63
