symbol,range_minutes,rr,month,date,opened_at,closed_at,direction,entry,stop_loss,take_profit,exit_price,result,r_multiple,spread_r,spread_points,pnl,range_high,range_low,range_atr,risk_per_lot,lot_min,lot_max,lot_step
EURUSD,15,1.3333333333333333,2025-12,2025-12-30,2025-12-31 00:15:00,2025-12-31 07:00:00,BUY,1.17473,1.17323,1.17673,1.17338,timeout,-0.9533,0.0533,8.0,-135.0,1.17473,1.17444,1.0769,150.0,0.01,200.0,0.01
GBPUSD,15,1.3333333333333333,2025-12,2025-12-30,2025-12-31 00:15:00,2025-12-31 07:00:00,SELL,1.34631,1.34781,1.34431,1.34524,timeout,0.6467,0.0667,10.0,107.0,1.34671,1.34631,1.098,150.0,0.01,200.0,0.01
USDCAD,15,1.3333333333333333,2025-12,2025-12-30,2025-12-31 00:15:00,2025-12-31 07:00:00,SELL,1.36929,1.37079,1.36729,1.37071,timeout,-1.0467,0.1,15.0,-142.0,1.36953,1.36929,0.9282,105.69,0.01,200.0,0.01
AUDUSD,15,1.3333333333333333,2025-12,2025-12-30,2025-12-31 00:45:00,2025-12-31 07:00:00,SELL,0.66953,0.67103,0.66753,0.66846,timeout,0.6533,0.06,9.0,107.0,0.66992,0.66953,1.8571,150.0,0.01,200.0,0.01
AUDUSD,15,1.3333333333333333,2026-01,2026-01-01,2026-01-02 00:15:00,2026-01-02 03:15:00,BUY,0.668,0.6665,0.67,0.67,win,1.2733,0.06,9.0,200.0,0.668,0.66763,1.0951,150.0,0.01,200.0,0.01
GBPUSD,15,1.3333333333333333,2026-01,2026-01-01,2026-01-02 00:15:00,2026-01-02 02:00:00,SELL,1.34724,1.34874,1.34524,1.34874,loss,-1.0667,0.0667,10.0,-150.0,1.34762,1.34724,0.5479,150.0,0.01,200.0,0.01
USDCAD,15,1.3333333333333333,2026-01,2026-01-01,2026-01-02 00:15:00,2026-01-02 07:00:00,SELL,1.37155,1.37305,1.36955,1.37091,timeout,0.3267,0.1,15.0,64.0,1.37184,1.37155,0.6711,105.69,0.01,200.0,0.01
EURUSD,15,1.3333333333333333,2026-01,2026-01-01,2026-01-02 00:45:00,2026-01-02 07:00:00,BUY,1.1753,1.1738,1.1773,1.17448,timeout,-0.6,0.0533,8.0,-82.0,1.1753,1.17495,1.0,150.0,0.01,200.0,0.01
AUDUSD,15,1.3333333333333333,2026-01,2026-01-06,2026-01-07 00:15:00,2026-01-07 00:30:00,BUY,0.67362,0.67212,0.67562,0.67212,loss,-1.06,0.06,9.0,-150.0,0.67362,0.67322,1.4286,150.0,0.01,200.0,0.01
GBPUSD,15,1.3333333333333333,2026-01,2026-01-06,2026-01-07 00:15:00,2026-01-07 07:00:00,BUY,1.35024,1.34874,1.35224,1.35112,timeout,0.52,0.0667,10.0,88.0,1.35024,1.3497,1.3696,150.0,0.01,200.0,0.01
USDCAD,15,1.3333333333333333,2026-01,2026-01-06,2026-01-07 00:15:00,2026-01-07 07:00:00,BUY,1.38195,1.38045,1.38395,1.38157,timeout,-0.3533,0.1,15.0,-38.0,1.38195,1.38144,1.5488,105.69,0.01,200.0,0.01
EURUSD,15,1.3333333333333333,2026-01,2026-01-06,2026-01-07 00:30:00,2026-01-07 07:00:00,BUY,1.16893,1.16743,1.17093,1.16942,timeout,0.2733,0.0533,8.0,49.0,1.16893,1.16848,1.5479,150.0,0.01,200.0,0.01
AUDUSD,15,1.3333333333333333,2026-01,2026-01-07,2026-01-08 00:15:00,2026-01-08 05:30:00,SELL,0.67207,0.67357,0.67007,0.67007,win,1.2733,0.06,9.0,200.0,0.67232,0.67207,1.5351,150.0,0.01,200.0,0.01
GBPUSD,15,1.3333333333333333,2026-01,2026-01-07,2026-01-08 00:15:00,2026-01-08 07:00:00,SELL,1.34576,1.34726,1.34376,1.34521,timeout,0.3,0.0667,10.0,55.0,1.34602,1.34576,0.8708,150.0,0.01,200.0,0.01
USDCAD,15,1.3333333333333333,2026-01,2026-01-07,2026-01-08 00:15:00,2026-01-08 07:00:00,BUY,1.38597,1.38447,1.38797,1.38734,timeout,0.8133,0.1,15.0,137.0,1.38597,1.3857,0.7746,105.69,0.01,200.0,0.01
EURUSD,15,1.3333333333333333,2026-01,2026-01-08,2026-01-09 00:15:00,2026-01-09 07:00:00,SELL,1.16545,1.16695,1.16345,1.16448,timeout,0.5933,0.0533,8.0,97.0,1.16577,1.16545,1.0346,150.0,0.01,200.0,0.01
USDCAD,15,1.3333333333333333,2026-01,2026-01-08,2026-01-09 00:15:00,2026-01-09 07:00:00,BUY,1.38679,1.38529,1.38879,1.38723,timeout,0.1933,0.1,15.0,44.0,1.38679,1.38641,1.035,105.69,0.01,200.0,0.01
AUDUSD,15,1.3333333333333333,2026-01,2026-01-13,2026-01-14 00:15:00,2026-01-14 07:00:00,BUY,0.66835,0.66685,0.67035,0.66991,timeout,0.98,0.06,9.0,156.0,0.66835,0.66812,1.1027,150.0,0.01,200.0,0.01
USDCAD,15,1.3333333333333333,2026-01,2026-01-13,2026-01-14 00:15:00,2026-01-14 07:00:00,BUY,1.38914,1.38764,1.39114,1.38814,timeout,-0.7667,0.1,15.0,-100.0,1.38914,1.38864,1.5801,105.69,0.01,200.0,0.01
