starting_balance,ending_balance,net_profit,return_pct,trades,wins,losses,win_rate,net_r,avg_spread_r,max_drawdown_pct,bot,symbol
300.0,345.06,45.06,15.02,6,5,1,83.33,2.93,0.1443,5.85,Grid,AUDUSD
300.0,314.88,14.88,4.96,10,5,5,50.0,1.34,0.0162,17.17,Trend,BTCUSD
300.0,309.04,9.04,3.01,1,1,0,100.0,0.6,0.1515,0.0,NewsPulse,XAUUSD
300.0,286.93,-13.07,-4.36,6,3,3,50.0,-0.72,0.1366,16.19,Grid,GBPUSD
300.0,282.34,-17.66,-5.89,1,0,1,0.0,-1.18,0.1775,5.89,Grid,NZDUSD
300.0,219.81,-80.19,-26.73,7,1,6,14.29,-6.03,0.0763,26.73,Trend,GBPJPY
300.0,207.79,-92.21,-30.74,8,1,7,12.5,-7.13,0.0785,30.74,Trend,XAUUSD
300.0,200.74,-99.26,-33.09,12,2,10,16.67,-7.67,0.0142,33.09,Trend,US30
300.0,186.71,-113.29,-37.76,15,4,11,26.67,-9.02,0.1376,37.76,NewsPulse,XAGUSD
300.0,144.8,-155.2,-51.73,42,18,24,42.86,-13.53,0.0842,52.56,NewsPulse,US30
300.0,107.4,-192.6,-64.2,43,15,28,34.88,-19.36,0.114,68.47,NewsPulse,BTCUSD
