starting_balance,ending_balance,net_profit,return_pct,trades,wins,losses,win_rate,net_r,avg_spread_r,max_drawdown_pct,bot
300.0,310.6,10.6,3.53,13,8,5,61.54,1.04,0.1433,19.62,Grid
300.0,106.93,-193.07,-64.36,37,9,28,24.32,-19.49,0.0404,65.63,Trend
300.0,33.23,-266.77,-88.92,101,38,63,37.62,-41.31,0.1055,90.52,NewsPulse
