date,open,high,low,close,tick_volume
2015-01-01 00:00:00+00:00,1183.099,1187.398,1183.099,1186.723,1398
2015-01-02 00:00:00+00:00,1184.775,1194.776,1167.397,1188.392,112840
2015-01-04 00:00:00+00:00,1188.132,1188.373,1177.227,1183.75,3779
2015-01-05 00:00:00+00:00,1183.801,1207.278,1182.8,1203.201,62202
2015-01-06 00:00:00+00:00,1203.191,1222.853,1201.548,1216.006,67850
2015-01-07 00:00:00+00:00,1216.093,1218.436,1208.928,1212.263,56787
2015-01-08 00:00:00+00:00,1212.267,1216.299,1204.567,1208.02,50598
2015-01-09 00:00:00+00:00,1208.018,1223.846,1206.437,1223.012,99214
2015-01-11 00:00:00+00:00,1223.012,1226.228,1222.723,1225.455,2428
2015-01-12 00:00:00+00:00,1225.449,1235.777,1217.439,1231.237,100928
2015-01-13 00:00:00+00:00,1231.233,1243.995,1227.181,1232.905,134469
2015-01-14 00:00:00+00:00,1232.913,1244.179,1224.935,1230.756,157939
2015-01-15 00:00:00+00:00,1230.774,1266.547,1225.926,1261.772,173592
2015-01-16 00:00:00+00:00,1261.785,1281.813,1254.904,1280.29,151656
2015-01-18 00:00:00+00:00,1280.064,1281.411,1275.298,1278.447,2759
2015-01-19 00:00:00+00:00,1278.504,1278.961,1272.019,1275.358,87758
2015-01-20 00:00:00+00:00,1275.353,1296.913,1273.925,1291.927,180776
2015-01-21 00:00:00+00:00,1291.941,1304.83,1284.484,1291.684,179767
2015-01-22 00:00:00+00:00,1291.675,1307.326,1279.153,1300.776,182617
2015-01-23 00:00:00+00:00,1300.779,1301.728,1284.306,1294.096,142371
2015-01-25 00:00:00+00:00,1293.577,1297.811,1289.9,1296.859,3168
2015-01-26 00:00:00+00:00,1296.853,1298.999,1275.748,1279.773,142548
2015-01-27 00:00:00+00:00,1279.767,1297.433,1272.186,1293.294,137950
2015-01-28 00:00:00+00:00,1293.29,1293.541,1279.716,1284.865,125042
2015-01-29 00:00:00+00:00,1284.862,1285.766,1251.931,1260.595,139783
2015-01-30 00:00:00+00:00,1260.601,1284.544,1257.042,1283.248,114940
2015-02-01 00:00:00+00:00,1281.831,1282.482,1279.349,1280.566,2377
2015-02-02 00:00:00+00:00,1280.582,1283.21,1266.267,1274.499,125513
2015-02-03 00:00:00+00:00,1274.505,1285.539,1255.361,1261.378,114834
2015-02-04 00:00:00+00:00,1261.385,1273.802,1256.592,1272.315,78833
2015-02-05 00:00:00+00:00,1272.316,1273.617,1256.258,1265.265,116834
2015-02-06 00:00:00+00:00,1265.257,1268.637,1228.276,1232.849,116918
2015-02-08 00:00:00+00:00,1236.363,1238.697,1234.19,1237.829,2600
2015-02-09 00:00:00+00:00,1237.844,1243.475,1235.022,1238.576,47009
2015-02-10 00:00:00+00:00,1238.585,1245.741,1230.922,1233.358,106748
2015-02-11 00:00:00+00:00,1233.36,1238.592,1216.447,1220.405,97471
2015-02-12 00:00:00+00:00,1220.415,1232.359,1219.022,1223.506,110138
2015-02-13 00:00:00+00:00,1223.499,1234.807,1222.79,1229.407,100643
2015-02-15 00:00:00+00:00,1227.532,1229.322,1227.434,1228.878,1665
2015-02-16 00:00:00+00:00,1228.877,1236.432,1228.63,1231.788,32193
2015-02-17 00:00:00+00:00,1231.771,1233.777,1203.669,1209.294,94048
2015-02-18 00:00:00+00:00,1209.29,1214.244,1197.558,1213.012,50898
2015-02-19 00:00:00+00:00,1213.014,1222.823,1205.343,1208.801,54721
2015-02-20 00:00:00+00:00,1208.765,1215.09,1198.229,1201.671,52891
